"","week","age_group","perc_doses"
"1",2021-09-19,"0-17 years",0
"2",2021-09-19,"18-29 years",0.00238267369268371
"3",2021-09-19,"50-64 years",0.00372715186858754
"4",2021-09-19,"65-74 years",0.0136155465543978
"5",2021-09-19,"75+ years",0.0140395806011559
"6",2021-09-26,"0-17 years",0
"7",2021-09-26,"18-29 years",0.0128540043877919
"8",2021-09-26,"50-64 years",0.0171356154039136
"9",2021-09-26,"65-74 years",0.0598379687860494
"10",2021-09-26,"75+ years",0.0632167970423287
"11",2021-10-03,"0-17 years",0
"12",2021-10-03,"18-29 years",0.0139638530405918
"13",2021-10-03,"50-64 years",0.0195975772786056
"14",2021-10-03,"65-74 years",0.0505130897280724
"15",2021-10-03,"75+ years",0.0537279970476008
"16",2021-10-10,"0-17 years",0
"17",2021-10-10,"18-29 years",0.0132953172486759
"18",2021-10-10,"50-64 years",0.0201236137898937
"19",2021-10-10,"65-74 years",0.0413259424358549
"20",2021-10-10,"75+ years",0.0457048523470914
"21",2021-10-17,"0-17 years",0
"22",2021-10-17,"18-29 years",0.0158702414483925
"23",2021-10-17,"50-64 years",0.0260272941690126
"24",2021-10-17,"65-74 years",0.049946272351765
"25",2021-10-17,"75+ years",0.0524483824411332
"26",2021-10-24,"0-17 years",0
"27",2021-10-24,"18-29 years",0.0298015187765599
"28",2021-10-24,"50-64 years",0.0501284417102454
"29",2021-10-24,"65-74 years",0.102368415828657
"30",2021-10-24,"75+ years",0.104313204737019
"31",2021-10-31,"0-17 years",0
"32",2021-10-31,"18-29 years",0.0372151590833204
"33",2021-10-31,"50-64 years",0.0541817936989396
"34",2021-10-31,"65-74 years",0.087279030930424
"35",2021-10-31,"75+ years",0.0910516603950152
"36",2021-11-07,"0-17 years",0
"37",2021-11-07,"18-29 years",0.0398317078044682
"38",2021-11-07,"50-64 years",0.0530242358694462
"39",2021-11-07,"65-74 years",0.0688643740072385
"40",2021-11-07,"75+ years",0.0727132416420084
"41",2021-11-14,"0-17 years",0
"42",2021-11-14,"18-29 years",0.04902353690602
"43",2021-11-14,"50-64 years",0.0662130412521909
"44",2021-11-14,"65-74 years",0.069194534166036
"45",2021-11-14,"75+ years",0.0713475593280656
"46",2021-11-21,"0-17 years",0
