"","day","age_group","perc_doses"
"1",2021-12-25,"0-17 years",0
"2",2021-12-26,"0-17 years",0
"3",2021-12-27,"0-17 years",0
"4",2021-12-28,"0-17 years",0
"5",2021-12-29,"0-17 years",0
"6",2021-12-30,"0-17 years",0
"7",2021-12-31,"0-17 years",0
"8",2022-01-01,"0-17 years",0
"9",2022-01-02,"0-17 years",0
"10",2022-01-03,"0-17 years",0
"11",2022-01-04,"0-17 years",0
"12",2022-01-05,"0-17 years",0
"13",2022-01-06,"0-17 years",0
"14",2022-01-07,"0-17 years",0
"15",2022-01-08,"0-17 years",0
"16",2022-01-09,"0-17 years",0
"17",2022-01-10,"0-17 years",0
"18",2022-01-11,"0-17 years",0
"19",2022-01-12,"0-17 years",0
"20",2022-01-13,"0-17 years",0
"21",2022-01-14,"0-17 years",0
"22",2022-01-15,"0-17 years",0
"23",2022-01-16,"0-17 years",0
"24",2022-01-17,"0-17 years",0
"25",2022-01-18,"0-17 years",0
"26",2022-01-19,"0-17 years",0
"27",2022-01-20,"0-17 years",0
"28",2022-01-21,"0-17 years",0
"29",2022-01-22,"0-17 years",0
"30",2022-01-23,"0-17 years",0
"31",2022-01-24,"0-17 years",0
"32",2022-01-25,"0-17 years",0
"33",2022-01-26,"0-17 years",0
"34",2022-01-27,"0-17 years",0
"35",2022-01-28,"0-17 years",0
"36",2022-01-29,"0-17 years",0
"37",2022-01-30,"0-17 years",0
"38",2022-01-31,"0-17 years",0
"39",2022-02-01,"0-17 years",0
"40",2022-02-02,"0-17 years",0
"41",2022-02-03,"0-17 years",0
"42",2022-02-04,"0-17 years",0
"43",2022-02-05,"0-17 years",0
"44",2022-02-06,"0-17 years",0
"45",2022-02-07,"0-17 years",0
"46",2022-02-08,"0-17 years",0
"47",2022-02-09,"0-17 years",0
"48",2022-02-10,"0-17 years",0
"49",2022-02-11,"0-17 years",0
"50",2022-02-12,"0-17 years",0
"51",2022-02-13,"0-17 years",0
"52",2022-02-14,"0-17 years",0
"53",2022-02-15,"0-17 years",0
"54",2022-02-16,"0-17 years",0
"55",2022-02-17,"0-17 years",0
"56",2022-02-18,"0-17 years",0
"57",2022-02-19,"0-17 years",0
"58",2022-02-20,"0-17 years",0
"59",2022-02-21,"0-17 years",0
"60",2022-02-22,"0-17 years",0
"61",2022-02-23,"0-17 years",0
"62",2022-02-24,"0-17 years",0
"63",2022-02-25,"0-17 years",0
"64",2022-02-26,"0-17 years",0
"65",2022-02-27,"0-17 years",0
"66",2022-02-28,"0-17 years",0
"67",2022-03-01,"0-17 years",0
"68",2022-03-02,"0-17 years",0
"69",2022-03-03,"0-17 years",0
"70",2022-03-04,"0-17 years",0
"71",2022-03-05,"0-17 years",0
"72",2022-03-06,"0-17 years",0
"73",2022-03-07,"0-17 years",0
"74",2022-03-08,"0-17 years",0
"75",2022-03-09,"0-17 years",0
"76",2022-03-10,"0-17 years",0
"77",2022-03-11,"0-17 years",0
"78",2022-03-12,"0-17 years",0
"79",2022-03-13,"0-17 years",0
"80",2022-03-14,"0-17 years",0
"81",2022-03-15,"0-17 years",0
"82",2022-03-16,"0-17 years",0
"83",2022-03-17,"0-17 years",0
"84",2022-03-18,"0-17 years",0
"85",2022-03-19,"0-17 years",0
"86",2022-03-20,"0-17 years",0
"87",2022-03-21,"0-17 years",0
"88",2022-03-22,"0-17 years",0
"89",2022-03-23,"0-17 years",0
"90",2022-03-24,"0-17 years",0
"91",2022-03-25,"0-17 years",0
"92",2022-03-26,"0-17 years",0
"93",2022-03-27,"0-17 years",0
"94",2022-03-28,"0-17 years",0
"95",2022-03-29,"0-17 years",0
"96",2022-03-30,"0-17 years",0
"97",2022-03-31,"0-17 years",0
"98",2022-04-01,"0-17 years",0
"99",2022-04-02,"0-17 years",0
"100",2022-04-03,"0-17 years",0
"101",2022-04-04,"0-17 years",0
"102",2022-04-05,"0-17 years",0
"103",2022-04-06,"0-17 years",0
"104",2022-04-07,"0-17 years",0
"105",2022-04-08,"0-17 years",0
"106",2022-04-09,"0-17 years",0
"107",2022-04-10,"0-17 years",0.00611272455210587
"108",2022-04-11,"0-17 years",0.00611272455210587
"109",2022-04-12,"0-17 years",0.00611272455210587
"110",2022-04-13,"0-17 years",0.00611272455210587
"111",2022-04-14,"0-17 years",0.00611272455210587
"112",2022-04-15,"0-17 years",0.00611272455210587
"113",2022-04-16,"0-17 years",0.00611272455210587
"114",2022-04-17,"0-17 years",0.0054790089631384
"115",2022-04-18,"0-17 years",0.0054790089631384
"116",2022-04-19,"0-17 years",0.0054790089631384
"117",2022-04-20,"0-17 years",0.0054790089631384
"118",2022-04-21,"0-17 years",0.0054790089631384
"119",2022-04-22,"0-17 years",0.0054790089631384
"120",2022-04-23,"0-17 years",0.0054790089631384
"121",2022-04-24,"0-17 years",0.00572495363139738
"122",2022-04-25,"0-17 years",0.00572495363139738
"123",2022-04-26,"0-17 years",0.00572495363139738
"124",2022-04-27,"0-17 years",0.00572495363139738
"125",2022-04-28,"0-17 years",0.00572495363139738
"126",2022-04-29,"0-17 years",0.00572495363139738
"127",2022-04-30,"0-17 years",0.00572495363139738
"128",2022-05-01,"0-17 years",0.00535823747615217
"129",2022-05-02,"0-17 years",0.00535823747615217
"130",2022-05-03,"0-17 years",0.00535823747615217
"131",2022-05-04,"0-17 years",0.00535823747615217
"132",2022-05-05,"0-17 years",0.00535823747615217
"133",2022-05-06,"0-17 years",0.00535823747615217
"134",2022-05-07,"0-17 years",0.00535823747615217
"135",2022-05-08,"0-17 years",0.0055255018590397
"136",2022-05-09,"0-17 years",0.0055255018590397
"137",2022-05-10,"0-17 years",0.0055255018590397
"138",2022-05-11,"0-17 years",0.0055255018590397
"139",2022-05-12,"0-17 years",0.0055255018590397
"140",2022-05-13,"0-17 years",0.0055255018590397
"141",2022-05-14,"0-17 years",0.0055255018590397
"142",2022-05-15,"0-17 years",0.00583650907097122
"143",2022-05-16,"0-17 years",0.00583650907097122
"144",2022-05-17,"0-17 years",0.00583650907097122
"145",2022-05-18,"0-17 years",0.00583650907097122
"146",2022-05-19,"0-17 years",0.00583650907097122
"147",2022-05-20,"0-17 years",0.00583650907097122
"148",2022-05-21,"0-17 years",0.00583650907097122
"149",2022-05-22,"0-17 years",0.00571752577228888
"150",2022-05-23,"0-17 years",0.00571752577228888
"151",2022-05-24,"0-17 years",0.00571752577228888
"152",2022-05-25,"0-17 years",0.00571752577228888
"153",2022-05-26,"0-17 years",0.00571752577228888
"154",2022-05-27,"0-17 years",0.00571752577228888
"155",2022-05-28,"0-17 years",0.00571752577228888
"156",2022-05-29,"0-17 years",0.00446503741835595
"157",2022-05-30,"0-17 years",0.00446503741835595
"158",2022-05-31,"0-17 years",0.00446503741835595
"159",2022-06-01,"0-17 years",0.00446503741835595
"160",2022-06-02,"0-17 years",0.00446503741835595
"161",2022-06-03,"0-17 years",0.00446503741835595
"162",2022-06-04,"0-17 years",0.00446503741835595
"163",2022-06-05,"0-17 years",0.00416489688919426
"164",2022-06-06,"0-17 years",0.00416489688919426
"165",2022-06-07,"0-17 years",0.00416489688919426
"166",2022-06-08,"0-17 years",0.00416489688919426
"167",2022-06-09,"0-17 years",0.00416489688919426
"168",2022-06-10,"0-17 years",0.00416489688919426
"169",2022-06-11,"0-17 years",0.00416489688919426
"170",2022-06-12,"0-17 years",0.0035260322293907
"171",2022-06-13,"0-17 years",0.0035260322293907
"172",2022-06-14,"0-17 years",0.0035260322293907
"173",2022-06-15,"0-17 years",0.0035260322293907
"174",2022-06-16,"0-17 years",0.0035260322293907
"175",2022-06-17,"0-17 years",0.0035260322293907
"176",2022-06-18,"0-17 years",0.0035260322293907
"177",2022-06-19,"0-17 years",0.00301144665670789
"178",2022-06-20,"0-17 years",0.00301144665670789
"179",2022-06-21,"0-17 years",0.00301144665670789
"180",2022-06-22,"0-17 years",0.00301144665670789
"181",2022-06-23,"0-17 years",0.00301144665670789
"182",2022-06-24,"0-17 years",0.00301144665670789
"183",2022-06-25,"0-17 years",0.00301144665670789
"184",2022-06-26,"0-17 years",0.00276488300018988
"185",2022-06-27,"0-17 years",0.00276488300018988
"186",2022-06-28,"0-17 years",0.00276488300018988
"187",2022-06-29,"0-17 years",0.00276488300018988
"188",2022-06-30,"0-17 years",0.00276488300018988
"189",2022-07-01,"0-17 years",0.00276488300018988
"190",2022-07-02,"0-17 years",0.00276488300018988
"191",2022-07-03,"0-17 years",0.00254727423890035
"192",2022-07-04,"0-17 years",0.00254727423890035
"193",2022-07-05,"0-17 years",0.00254727423890035
"194",2022-07-06,"0-17 years",0.00254727423890035
"195",2022-07-07,"0-17 years",0.00254727423890035
"196",2022-07-08,"0-17 years",0.00254727423890035
"197",2022-07-09,"0-17 years",0.00254727423890035
"198",2022-07-10,"0-17 years",0.00386448125413969
"199",2022-07-11,"0-17 years",0.00386448125413969
"200",2022-07-12,"0-17 years",0.00386448125413969
"201",2022-07-13,"0-17 years",0.00386448125413969
"202",2022-07-14,"0-17 years",0.00386448125413969
"203",2022-07-15,"0-17 years",0.00386448125413969
"204",2022-07-16,"0-17 years",0.00386448125413969
"205",2022-07-17,"0-17 years",0.00379322882787674
