"","week","age_group","perc_doses"
"1",2021-12-26,"0-17 years",0
"2",2022-01-02,"0-17 years",0
"3",2022-01-09,"0-17 years",0
"4",2022-01-16,"0-17 years",0
"5",2022-01-23,"0-17 years",0
"6",2022-01-30,"0-17 years",0
"7",2022-02-06,"0-17 years",0
"8",2022-02-13,"0-17 years",0
"9",2022-02-20,"0-17 years",0
"10",2022-02-27,"0-17 years",0
"11",2022-03-06,"0-17 years",0
"12",2022-03-13,"0-17 years",0
"13",2022-03-20,"0-17 years",0
"14",2022-03-27,"0-17 years",0
"15",2022-04-03,"0-17 years",0
"16",2022-04-10,"0-17 years",0.0430111530789164
"17",2022-04-17,"0-17 years",0.0385521204539005
"18",2022-04-24,"0-17 years",0.0402826685401522
"19",2022-05-01,"0-17 years",0.0377023322996897
"20",2022-05-08,"0-17 years",0.03887925985723
"21",2022-05-15,"0-17 years",0.0410676095345314
"22",2022-05-22,"0-17 years",0.040230403665064
"23",2022-05-29,"0-17 years",0.0314174810703414
"24",2022-06-05,"0-17 years",0.0293055929695578
"25",2022-06-12,"0-17 years",0.0248103297779496
"26",2022-06-19,"0-17 years",0.0211895353760103
"27",2022-06-26,"0-17 years",0.0194546318835014
"28",2022-07-03,"0-17 years",0.0179234646170305
"29",2022-07-10,"0-17 years",0.0271917691326599
"30",2022-07-17,"0-17 years",0.0266904134790367
"31",2022-07-24,"0-17 years",0.0195054449565038
"32",2022-07-31,"0-17 years",0.0143341259269497
"33",2022-08-07,"0-17 years",0.0107660803341274
"34",2022-08-14,"0-17 years",0.00985483255828517
"35",2022-08-21,"0-17 years",0.00812718807620523
"36",2022-08-28,"0-17 years",0.00420006343416596
"37",2022-09-04,"0-17 years",0.00792635545433878
"38",2022-09-11,"0-17 years",0.0178460351724554
"39",2022-09-18,"0-17 years",0.0214498918833938
"40",2022-09-25,"0-17 years",0.0234974167583745
"41",2022-10-02,"0-17 years",0.0258014266685097
"42",2022-10-09,"0-17 years",0.0279738065228676
"43",2022-10-16,"0-17 years",0.0288748916841093
"44",2022-10-23,"0-17 years",0.0291879970006095
"45",2022-10-30,"0-17 years",0.0260714618564651
