"","day","age_group","perc_doses"
"1",2020-12-15,"0-17 years",1.06895394305041e-06
"2",2020-12-15,"18-29 years",1.21524208162284e-05
"3",2020-12-15,"50-64 years",1.71504529859647e-05
"4",2020-12-15,"65-74 years",1.53552797013521e-05
"5",2020-12-15,"75+ years",8.28074065816383e-06
"6",2020-12-16,"0-17 years",1.06895394305041e-06
"7",2020-12-16,"18-29 years",1.21524208162284e-05
"8",2020-12-16,"50-64 years",1.71504529859647e-05
"9",2020-12-16,"65-74 years",1.53552797013521e-05
"10",2020-12-16,"75+ years",8.28074065816383e-06
"11",2020-12-17,"0-17 years",1.06895394305041e-06
"12",2020-12-17,"18-29 years",1.21524208162284e-05
"13",2020-12-17,"50-64 years",1.71504529859647e-05
"14",2020-12-17,"65-74 years",1.53552797013521e-05
"15",2020-12-17,"75+ years",8.28074065816383e-06
"16",2020-12-18,"0-17 years",1.06895394305041e-06
"17",2020-12-18,"18-29 years",1.21524208162284e-05
"18",2020-12-18,"50-64 years",1.71504529859647e-05
"19",2020-12-18,"65-74 years",1.53552797013521e-05
"20",2020-12-18,"75+ years",8.28074065816383e-06
"21",2020-12-19,"0-17 years",1.06895394305041e-06
"22",2020-12-19,"18-29 years",1.21524208162284e-05
"23",2020-12-19,"50-64 years",1.71504529859647e-05
"24",2020-12-19,"65-74 years",1.53552797013521e-05
"25",2020-12-19,"75+ years",8.28074065816383e-06
"26",2020-12-20,"0-17 years",2.67238485762603e-07
"27",2020-12-20,"18-29 years",9.07034559346607e-06
"28",2020-12-20,"50-64 years",9.67764853026073e-06
"29",2020-12-20,"65-74 years",4.1211338167196e-06
"30",2020-12-20,"75+ years",2.57106398634979e-06
"31",2020-12-21,"0-17 years",2.67238485762603e-07
"32",2020-12-21,"18-29 years",9.07034559346607e-06
"33",2020-12-21,"50-64 years",9.67764853026073e-06
"34",2020-12-21,"65-74 years",4.1211338167196e-06
"35",2020-12-21,"75+ years",2.57106398634979e-06
"36",2020-12-22,"0-17 years",2.67238485762603e-07
"37",2020-12-22,"18-29 years",9.07034559346607e-06
"38",2020-12-22,"50-64 years",9.67764853026073e-06
"39",2020-12-22,"65-74 years",4.1211338167196e-06
"40",2020-12-22,"75+ years",2.57106398634979e-06
"41",2020-12-23,"0-17 years",2.67238485762603e-07
"42",2020-12-23,"18-29 years",9.07034559346607e-06
"43",2020-12-23,"50-64 years",9.67764853026073e-06
"44",2020-12-23,"65-74 years",4.1211338167196e-06
"45",2020-12-23,"75+ years",2.57106398634979e-06
"46",2020-12-24,"0-17 years",2.67238485762603e-07
"47",2020-12-24,"18-29 years",9.07034559346607e-06
"48",2020-12-24,"50-64 years",9.67764853026073e-06
"49",2020-12-24,"65-74 years",4.1211338167196e-06
"50",2020-12-24,"75+ years",2.57106398634979e-06
"51",2020-12-25,"0-17 years",2.67238485762603e-07
"52",2020-12-25,"18-29 years",9.07034559346607e-06
"53",2020-12-25,"50-64 years",9.67764853026073e-06
"54",2020-12-25,"65-74 years",4.1211338167196e-06
"55",2020-12-25,"75+ years",2.57106398634979e-06
"56",2020-12-26,"0-17 years",2.67238485762603e-07
"57",2020-12-26,"18-29 years",9.07034559346607e-06
"58",2020-12-26,"50-64 years",9.67764853026073e-06
"59",2020-12-26,"65-74 years",4.1211338167196e-06
"60",2020-12-26,"75+ years",2.57106398634979e-06
"61",2020-12-27,"0-17 years",6.27192364544884e-07
"62",2020-12-27,"18-29 years",2.34041399072281e-05
"63",2020-12-27,"50-64 years",2.8371706534911e-05
"64",2020-12-27,"65-74 years",2.03507057990991e-05
"65",2020-12-27,"75+ years",2.12933331209927e-05
"66",2020-12-28,"0-17 years",6.27192364544884e-07
"67",2020-12-28,"18-29 years",2.34041399072281e-05
"68",2020-12-28,"50-64 years",2.8371706534911e-05
"69",2020-12-28,"65-74 years",2.03507057990991e-05
"70",2020-12-28,"75+ years",2.12933331209927e-05
"71",2020-12-29,"0-17 years",6.27192364544884e-07
"72",2020-12-29,"18-29 years",2.34041399072281e-05
"73",2020-12-29,"50-64 years",2.8371706534911e-05
"74",2020-12-29,"65-74 years",2.03507057990991e-05
"75",2020-12-29,"75+ years",2.12933331209927e-05
"76",2020-12-30,"0-17 years",6.27192364544884e-07
"77",2020-12-30,"18-29 years",2.34041399072281e-05
"78",2020-12-30,"50-64 years",2.8371706534911e-05
"79",2020-12-30,"65-74 years",2.03507057990991e-05
"80",2020-12-30,"75+ years",2.12933331209927e-05
"81",2020-12-31,"0-17 years",6.27192364544884e-07
"82",2020-12-31,"18-29 years",2.34041399072281e-05
"83",2020-12-31,"50-64 years",2.8371706534911e-05
"84",2020-12-31,"65-74 years",2.03507057990991e-05
"85",2020-12-31,"75+ years",2.12933331209927e-05
"86",2021-01-01,"0-17 years",6.27192364544884e-07
"87",2021-01-01,"18-29 years",2.34041399072281e-05
"88",2021-01-01,"50-64 years",2.8371706534911e-05
"89",2021-01-01,"65-74 years",2.03507057990991e-05
"90",2021-01-01,"75+ years",2.12933331209927e-05
"91",2021-01-02,"0-17 years",6.27192364544884e-07
"92",2021-01-02,"18-29 years",2.34041399072281e-05
"93",2021-01-02,"50-64 years",2.8371706534911e-05
"94",2021-01-02,"65-74 years",2.03507057990991e-05
"95",2021-01-02,"75+ years",2.12933331209927e-05
"96",2021-01-03,"0-17 years",1.88157709363465e-06
"97",2021-01-03,"18-29 years",0.000977729138029543
"98",2021-01-03,"50-64 years",0.0008603175220688
"99",2021-01-03,"65-74 years",0.000328568866885773
"100",2021-01-03,"75+ years",0.000149504635631787
"101",2021-01-04,"0-17 years",1.88157709363465e-06
"102",2021-01-04,"18-29 years",0.000977729138029543
"103",2021-01-04,"50-64 years",0.0008603175220688
"104",2021-01-04,"65-74 years",0.000328568866885773
"105",2021-01-04,"75+ years",0.000149504635631787
"106",2021-01-05,"0-17 years",1.88157709363465e-06
"107",2021-01-05,"18-29 years",0.000977729138029543
"108",2021-01-05,"50-64 years",0.0008603175220688
"109",2021-01-05,"65-74 years",0.000328568866885773
"110",2021-01-05,"75+ years",0.000149504635631787
"111",2021-01-06,"0-17 years",1.88157709363465e-06
"112",2021-01-06,"18-29 years",0.000977729138029543
"113",2021-01-06,"50-64 years",0.0008603175220688
"114",2021-01-06,"65-74 years",0.000328568866885773
