"","week","age_group","perc_doses"
"1",2020-12-13,"0-17 years",5.34476971525205e-06
"2",2020-12-13,"18-29 years",6.0762104081142e-05
"3",2020-12-13,"50-64 years",8.57522649298235e-05
"4",2020-12-13,"65-74 years",7.67763985067607e-05
"5",2020-12-13,"75+ years",4.1403703290819e-05
"6",2020-12-20,"0-17 years",1.87066940033822e-06
"7",2020-12-20,"18-29 years",6.34924191542624e-05
"8",2020-12-20,"50-64 years",6.77435397118252e-05
"9",2020-12-20,"65-74 years",2.88479367170373e-05
"10",2020-12-20,"75+ years",1.79974479044485e-05
"11",2020-12-27,"0-17 years",4.39034655181418e-06
"12",2020-12-27,"18-29 years",0.000163828979350597
"13",2020-12-27,"50-64 years",0.000198601945744377
"14",2020-12-27,"65-74 years",0.000142454940593694
"15",2020-12-27,"75+ years",0.000149053331846948
"16",2021-01-03,"0-17 years",1.31710396554425e-05
"17",2021-01-03,"18-29 years",0.0068441039662068
"18",2021-01-03,"50-64 years",0.0060222226544816
"19",2021-01-03,"65-74 years",0.00229998206820042
"20",2021-01-03,"75+ years",0.0010465324494225
"21",2021-01-10,"0-17 years",2.42805252778593e-05
"22",2021-01-10,"18-29 years",0.0077672527098226
"23",2021-01-10,"50-64 years",0.00713934454461743
"24",2021-01-10,"65-74 years",0.00337910258060208
"25",2021-01-10,"75+ years",0.00308340318911905
"26",2021-01-17,"0-17 years",6.50916597464624e-05
"27",2021-01-17,"18-29 years",0.0085914048633702
"28",2021-01-17,"50-64 years",0.00910216441640056
"29",2021-01-17,"65-74 years",0.00589361075637992
"30",2021-01-17,"75+ years",0.00865447489549873
"31",2021-01-24,"0-17 years",0.000119379249282808
"32",2021-01-24,"18-29 years",0.0140208126981292
"33",2021-01-24,"50-64 years",0.0154966111177137
"34",2021-01-24,"65-74 years",0.0138262417057314
"35",2021-01-24,"75+ years",0.0231408887608858
"36",2021-01-31,"0-17 years",0.000179546085505931
"37",2021-01-31,"18-29 years",0.0167574749981724
"38",2021-01-31,"50-64 years",0.0191671865959915
"39",2021-01-31,"65-74 years",0.0277949383520566
