"","week","age_group","risk_group","risk_coverage","prop_up_to_date_sim_period"
"1",1,"0-17 years","healthy",0.0311919906515399,0.00117526450531072
"2",2,"0-17 years","healthy",0.0467879859773099,0.00117526450531072
"3",3,"0-17 years","healthy",0.0623839813030798,0.00117526450531072
"4",4,"0-17 years","healthy",0.0779799766288498,0.00117526450531072
"5",5,"0-17 years","healthy",0.0935759719546197,0.00117526450531072
"6",6,"0-17 years","healthy",0.10917196728039,0.00117526450531072
"7",7,"0-17 years","healthy",0.12476796260616,0.00117526450531072
"8",8,"0-17 years","healthy",0.14036395793193,0.00117526450531072
"9",9,"0-17 years","healthy",0.1559599532577,0.00117526450531072
"10",10,"0-17 years","healthy",0.17155594858347,0.00117526450531072
"11",11,"0-17 years","healthy",0.187151943909239,0.00117526450531072
"12",12,"0-17 years","healthy",0.202747939235009,0.00117526450531072
"13",28,"0-17 years","healthy",10.3950647892331,0.00217797550800148
"14",29,"0-17 years","healthy",10.5811346638695,0.0140216327717443
"15",30,"0-17 years","healthy",10.6547964081026,0.00555091429486309
"16",31,"0-17 years","healthy",11.2112085276707,0.0419294441165014
"17",32,"0-17 years","healthy",11.2299561467779,0.00141276082966041
"18",33,"0-17 years","healthy",11.4174323378502,0.0141276082966039
"19",34,"0-17 years","healthy",11.4549275760647,0.0028255216593207
"20",35,"0-17 years","healthy",11.8372994615892,0.0288143267229108
"21",36,"0-17 years","healthy",11.8459701129249,0.00065339265240048
"22",37,"0-17 years","healthy",11.9425984255729,0.0072816016991021
"23",38,"0-17 years","healthy",12.1238254102762,0.0136566880200503
"24",39,"0-17 years","healthy",12.1425730293834,0.00141276082966029
"25",40,"0-17 years","healthy",12.377931763402,0.0177358841375091
"26",41,"0-17 years","healthy",12.3841809697711,0.00047092027655343
"27",42,"0-17 years","healthy",12.3904301761402,0.00047092027655343
"28",43,"0-17 years","healthy",12.4490944784285,0.00442075486482804
"29",44,"0-17 years","healthy",12.765537726765,0.0238461547305416
"30",45,"0-17 years","healthy",12.7924872250626,0.00203082830710791
"31",46,"0-17 years","healthy",12.8049856378007,0.00094184055310686
"32",47,"0-17 years","healthy",12.8049856378007,0
"33",48,"0-17 years","healthy",13.0424554798257,0.0178949705090316
"34",49,"0-17 years","healthy",13.0487046861947,0.000470920276553186
"35",50,"0-17 years","healthy",13.0549538925638,0.00047092027655392
"36",51,"0-17 years","healthy",13.067452305302,0.00094184055310686
"37",52,"0-17 years","healthy",13.067452305302,0
"38",13,"0-17 years","healthy",1.0693933982178,0.0805860784699195
"39",14,"0-17 years","healthy",2.1387867964356,0.0805860784699195
"40",15,"0-17 years","healthy",2.81995029066501,0.0513303101443273
"41",16,"0-17 years","healthy",3.60016354250906,0.0587943842192763
"42",17,"0-17 years","healthy",4.24000403712151,0.0482163405843001
"43",18,"0-17 years","healthy",6.24044506668205,0.150746860838371
"44",19,"0-17 years","healthy",6.6842163031266,0.0334411861363768
"45",20,"0-17 years","healthy",7.37983088291545,0.0524192978983279
"46",21,"0-17 years","healthy",7.59675560149202,0.0163467554806396
"47",22,"0-17 years","healthy",8.84479610426147,0.0940483549434941
"48",23,"0-17 years","healthy",8.98227864438117,0.0103602460841762
"49",24,"0-17 years","healthy",9.03180352318848,0.00373203703747433
"50",25,"0-17 years","healthy",9.33465564601608,0.0228219708253664
"51",26,"0-17 years","healthy",9.40011551105881,0.00493284681741584
"52",27,"0-17 years","healthy",10.3661626181142,0.0727982313193107
"53",1,"18-29 years","healthy",0.0371295131127298,0.00195204549052139
"54",2,"18-29 years","healthy",0.0556942696690947,0.00195204549052139
"55",3,"18-29 years","healthy",0.0742590262254596,0.00195204549052139
"56",4,"18-29 years","healthy",0.0928237827818246,0.00195204549052139
"57",5,"18-29 years","healthy",0.111388539338189,0.00195204549052139
"58",6,"18-29 years","healthy",0.129953295894554,0.00195204549052139
"59",7,"18-29 years","healthy",0.148518052450919,0.00195204549052139
"60",8,"18-29 years","healthy",0.167082809007284,0.00195204549052139
"61",9,"18-29 years","healthy",0.185647565563649,0.00195204549052139
"62",10,"18-29 years","healthy",0.204212322120014,0.00195204549052139
"63",11,"18-29 years","healthy",0.222777078676379,0.00195204549052139
"64",12,"18-29 years","healthy",0.241341835232744,0.00195204549052139
"65",21,"18-29 years","healthy",4.26541274817137,0.0172499718340393
"66",16,"18-29 years","healthy",2.13270637408568,0.0431249295850983
"67",19,"18-29 years","healthy",3.85527690700105,0.0344999436680787
"68",27,"18-29 years","healthy",7.38244514106583,0.120749802838275
"69",14,"18-29 years","healthy",1.31243469174504,0.0689998873361573
