"","date","age_group","perc_up_to_date_week"
"1",2023-07-01,"0-17 years",0.000170645285867896
"2",2023-07-08,"0-17 years",0.000170645285867896
"3",2023-07-15,"0-17 years",0.000170645285867896
"4",2023-07-22,"0-17 years",0.000170645285867896
"5",2023-07-29,"0-17 years",0.000170645285867896
"6",2023-08-05,"0-17 years",0.000170645285867896
"7",2023-08-12,"0-17 years",0.000170645285867896
"8",2023-08-19,"0-17 years",0.000170645285867896
"9",2023-08-26,"0-17 years",0.000170645285867896
"10",2023-09-02,"0-17 years",0.000170645285867896
"11",2023-09-09,"0-17 years",0.000170645285867896
"12",2023-09-16,"0-17 years",0.000170645285867896
"13",2023-09-23,"0-17 years",0.000170645285867896
"14",2023-07-01,"18-29 years",0.000226324484387786
"15",2023-07-08,"18-29 years",0.000226324484387786
"16",2023-07-15,"18-29 years",0.000226324484387786
"17",2023-07-22,"18-29 years",0.000226324484387786
"18",2023-07-29,"18-29 years",0.000226324484387786
"19",2023-08-05,"18-29 years",0.000226324484387786
"20",2023-08-12,"18-29 years",0.000226324484387786
"21",2023-08-19,"18-29 years",0.000226324484387786
"22",2023-08-26,"18-29 years",0.000226324484387786
"23",2023-09-02,"18-29 years",0.000226324484387786
"24",2023-09-09,"18-29 years",0.000226324484387786
"25",2023-09-16,"18-29 years",0.000226324484387786
"26",2023-09-23,"18-29 years",0.000226324484387786
"27",2023-07-01,"30-49 years",0.000144068438682465
"28",2023-07-08,"30-49 years",0.000144068438682465
"29",2023-07-15,"30-49 years",0.000144068438682465
"30",2023-07-22,"30-49 years",0.000144068438682465
"31",2023-07-29,"30-49 years",0.000144068438682465
"32",2023-08-05,"30-49 years",0.000144068438682465
"33",2023-08-12,"30-49 years",0.000144068438682465
"34",2023-08-19,"30-49 years",0.000144068438682465
"35",2023-08-26,"30-49 years",0.000144068438682465
"36",2023-09-02,"30-49 years",0.000144068438682465
"37",2023-09-09,"30-49 years",0.000144068438682465
"38",2023-09-16,"30-49 years",0.000144068438682465
"39",2023-09-23,"30-49 years",0.000144068438682465
"40",2023-07-01,"50-64 years",0.000289536505299553
"41",2023-07-08,"50-64 years",0.000289536505299553
"42",2023-07-15,"50-64 years",0.000289536505299553
"43",2023-07-22,"50-64 years",0.000289536505299553
"44",2023-07-29,"50-64 years",0.000289536505299553
"45",2023-08-05,"50-64 years",0.000289536505299553
"46",2023-08-12,"50-64 years",0.000289536505299553
"47",2023-08-19,"50-64 years",0.000289536505299553
"48",2023-08-26,"50-64 years",0.000289536505299553
"49",2023-09-02,"50-64 years",0.000289536505299553
"50",2023-09-09,"50-64 years",0.000289536505299553
"51",2023-09-16,"50-64 years",0.000289536505299553
"52",2023-09-23,"50-64 years",0.000289536505299553
"53",2023-07-01,"65-74 years",0.00285520652914991
"54",2023-07-08,"65-74 years",0.00285520652914991
"55",2023-07-15,"65-74 years",0.00285520652914991
"56",2023-07-22,"65-74 years",0.00285520652914991
"57",2023-07-29,"65-74 years",0.00285520652914991
"58",2023-08-05,"65-74 years",0.00285520652914991
"59",2023-08-12,"65-74 years",0.00285520652914991
"60",2023-08-19,"65-74 years",0.00285520652914991
"61",2023-08-26,"65-74 years",0.00285520652914991
"62",2023-09-02,"65-74 years",0.00285520652914991
"63",2023-09-09,"65-74 years",0.00285520652914991
"64",2023-09-16,"65-74 years",0.00285520652914991
"65",2023-09-23,"65-74 years",0.00285520652914991
"66",2023-07-01,"75+ years",0.00325171631644836
"67",2023-07-08,"75+ years",0.00325171631644836
"68",2023-07-15,"75+ years",0.00325171631644836
"69",2023-07-22,"75+ years",0.00325171631644836
"70",2023-07-29,"75+ years",0.00325171631644836
"71",2023-08-05,"75+ years",0.00325171631644836
"72",2023-08-12,"75+ years",0.00325171631644836
"73",2023-08-19,"75+ years",0.00325171631644836
"74",2023-08-26,"75+ years",0.00325171631644836
"75",2023-09-02,"75+ years",0.00325171631644836
"76",2023-09-09,"75+ years",0.00325171631644836
"77",2023-09-16,"75+ years",0.00325171631644836
"78",2023-09-23,"75+ years",0.00325171631644836
"79",2023-09-30,"18-29 years",0.8
"80",2023-09-30,"30-49 years",1.05
"81",2023-09-30,"50-64 years",0.798150000000001
"82",2023-09-30,"65-74 years",4.6
