"","week","date","age_group","risk_group","coverage","prop_up_to_date_sim_period"
"1",35,2024-03-02,"0-17 years","healthy",0,0
"2",36,2024-03-09,"0-17 years","healthy",0,0
"3",37,2024-03-16,"0-17 years","healthy",0,0
"4",38,2024-03-23,"0-17 years","healthy",0,0
"5",39,2024-03-30,"0-17 years","healthy",0,0
"6",40,2024-04-06,"0-17 years","healthy",0,0
"7",41,2024-04-13,"0-17 years","healthy",0,0
"8",42,2024-04-20,"0-17 years","healthy",0,0
"9",43,2024-04-27,"0-17 years","healthy",0,0
"10",44,2024-05-04,"0-17 years","healthy",0,0
"11",45,2024-05-11,"0-17 years","healthy",0,0
"12",46,2024-05-18,"0-17 years","healthy",0,0
"13",47,2024-05-25,"0-17 years","healthy",0,0
"14",48,2024-06-01,"0-17 years","healthy",0,0
"15",49,2024-06-08,"0-17 years","healthy",0,0
"16",50,2024-06-15,"0-17 years","healthy",0,0
"17",51,2024-06-22,"0-17 years","healthy",0,0
"18",52,2024-06-29,"0-17 years","healthy",0,0
"19",35,2024-03-02,"18-29 years","healthy",0,0
"20",36,2024-03-09,"18-29 years","healthy",0,0
"21",37,2024-03-16,"18-29 years","healthy",0,0
"22",38,2024-03-23,"18-29 years","healthy",0,0
"23",39,2024-03-30,"18-29 years","healthy",0,0
"24",40,2024-04-06,"18-29 years","healthy",0,0
"25",41,2024-04-13,"18-29 years","healthy",0,0
"26",42,2024-04-20,"18-29 years","healthy",0,0
"27",43,2024-04-27,"18-29 years","healthy",0,0
"28",44,2024-05-04,"18-29 years","healthy",0,0
"29",45,2024-05-11,"18-29 years","healthy",0,0
"30",46,2024-05-18,"18-29 years","healthy",0,0
"31",47,2024-05-25,"18-29 years","healthy",0,0
"32",48,2024-06-01,"18-29 years","healthy",0,0
"33",49,2024-06-08,"18-29 years","healthy",0,0
"34",50,2024-06-15,"18-29 years","healthy",0,0
"35",51,2024-06-22,"18-29 years","healthy",0,0
"36",52,2024-06-29,"18-29 years","healthy",0,0
"37",35,2024-03-02,"30-49 years","healthy",0,0
"38",36,2024-03-09,"30-49 years","healthy",0,0
"39",37,2024-03-16,"30-49 years","healthy",0,0
"40",38,2024-03-23,"30-49 years","healthy",0,0
"41",39,2024-03-30,"30-49 years","healthy",0,0
"42",40,2024-04-06,"30-49 years","healthy",0,0
"43",41,2024-04-13,"30-49 years","healthy",0,0
"44",42,2024-04-20,"30-49 years","healthy",0,0
"45",43,2024-04-27,"30-49 years","healthy",0,0
"46",44,2024-05-04,"30-49 years","healthy",0,0
"47",45,2024-05-11,"30-49 years","healthy",0,0
"48",46,2024-05-18,"30-49 years","healthy",0,0
"49",47,2024-05-25,"30-49 years","healthy",0,0
"50",48,2024-06-01,"30-49 years","healthy",0,0
"51",49,2024-06-08,"30-49 years","healthy",0,0
"52",50,2024-06-15,"30-49 years","healthy",0,0
"53",51,2024-06-22,"30-49 years","healthy",0,0
"54",52,2024-06-29,"30-49 years","healthy",0,0
"55",35,2024-03-02,"50-64 years","healthy",0,0
"56",36,2024-03-09,"50-64 years","healthy",0,0
"57",37,2024-03-16,"50-64 years","healthy",0,0
"58",38,2024-03-23,"50-64 years","healthy",0,0
"59",39,2024-03-30,"50-64 years","healthy",0,0
"60",40,2024-04-06,"50-64 years","healthy",0,0
"61",41,2024-04-13,"50-64 years","healthy",0,0
"62",42,2024-04-20,"50-64 years","healthy",0,0
"63",43,2024-04-27,"50-64 years","healthy",0,0
