"","week","date","age_group","risk_group","risk_coverage","prop_up_to_date_sim_period"
"1",1,2023-07-08,"0-17 years","healthy",0.0311919906515399,0.00117664737720842
"2",2,2023-07-15,"0-17 years","healthy",0.0467879859773099,0.00117664737720842
"3",3,2023-07-22,"0-17 years","healthy",0.0623839813030798,0.00117664737720842
"4",4,2023-07-29,"0-17 years","healthy",0.0779799766288498,0.00117664737720842
"5",5,2023-08-05,"0-17 years","healthy",0.0935759719546197,0.00117664737720842
"6",6,2023-08-12,"0-17 years","healthy",0.10917196728039,0.00117664737720842
"7",7,2023-08-19,"0-17 years","healthy",0.12476796260616,0.00117664737720842
"8",8,2023-08-26,"0-17 years","healthy",0.14036395793193,0.00117664737720842
"9",9,2023-09-02,"0-17 years","healthy",0.1559599532577,0.00117664737720842
"10",10,2023-09-09,"0-17 years","healthy",0.17155594858347,0.00117664737720842
"11",11,2023-09-16,"0-17 years","healthy",0.187151943909239,0.00117664737720842
"12",12,2023-09-23,"0-17 years","healthy",0.202747939235009,0.00117664737720842
"13",28,2024-01-13,"0-17 years","healthy",10.3950647892331,0.00218053821717059
"14",29,2024-01-20,"0-17 years","healthy",10.5811346638695,0.0140381312891694
"15",30,2024-01-27,"0-17 years","healthy",10.6547964081026,0.00555744576360925
"16",31,2024-02-03,"0-17 years","healthy",11.2112085276707,0.0419787802869489
"17",32,2024-02-10,"0-17 years","healthy",11.2299561467779,0.00141442315098526
"18",33,2024-02-17,"0-17 years","healthy",11.4174323378502,0.0141442315098523
"19",34,2024-02-24,"0-17 years","healthy",11.4549275760647,0.00282884630197039
"20",35,2024-03-02,"0-17 years","healthy",11.8372994615892,0.0288482310248754
"21",36,2024-03-09,"0-17 years","healthy",11.8459701129249,0.000654161465151215
"22",37,2024-03-16,"0-17 years","healthy",11.9425984255729,0.00729016957664323
"23",38,2024-03-23,"0-17 years","healthy",12.1238254102762,0.0136727571261905
"24",39,2024-03-30,"0-17 years","healthy",12.1425730293834,0.00141442315098513
"25",40,2024-04-06,"0-17 years","healthy",12.377931763402,0.0177567530190619
"26",41,2024-04-13,"0-17 years","healthy",12.3841809697711,0.000471474383661711
"27",42,2024-04-20,"0-17 years","healthy",12.3904301761402,0.000471474383661711
"28",43,2024-04-27,"0-17 years","healthy",12.4490944784285,0.00442595653444503
"29",44,2024-05-04,"0-17 years","healthy",12.765537726765,0.0238742132459618
"30",45,2024-05-11,"0-17 years","healthy",12.7924872250626,0.00203321787590902
"31",46,2024-05-18,"0-17 years","healthy",12.8049856378007,0.000942948767323422
"32",47,2024-05-25,"0-17 years","healthy",12.8049856378007,0
"33",48,2024-06-01,"0-17 years","healthy",13.0424554798257,0.0179160265791462
"34",49,2024-06-08,"0-17 years","healthy",13.0487046861947,0.000471474383661466
