"","weeks","immuno","prior_inf","prior_vacc","severe_ve","nonsevere_ve"
"1",1,0,0,1,0.957603717326188,0.700898245018099
"2",1,0,1,0,0.96468391839807,0.923674392910673
"3",1,0,1,1,0.975457294476634,0.898822546027083
"4",1,1,0,1,0.807603717326189,0.550898245018099
"5",1,1,1,0,0.81468391839807,0.773674392910673
"6",1,1,1,1,0.923542449827612,0.748822546027083
"7",10,0,0,1,0.802071975843057,0.417682765444623
"8",10,0,1,0,0.901755383373387,0.71252611213589
"9",10,0,1,1,0.942031067718248,0.698990054351422
"10",10,1,0,1,0.652071975843057,0.267682765444623
"11",10,1,1,0,0.751755383373387,0.56252611213589
"12",10,1,1,1,0.872882621228029,0.548990054351422
"13",100,0,0,1,0.0855135508003279,0
"14",100,0,1,0,0.726696613602152,0
"15",100,0,1,1,0.863079597859041,0.104474526472927
"16",100,1,0,1,0,0
"17",100,1,1,0,0.576696613602152,0
"18",100,1,1,1,0.621595132956855,0
"19",101,0,0,1,0.0810742663392159,0
"20",101,0,1,0,0.725485584148838,0
"21",101,0,1,1,0.862570104083369,0.100245345512156
"22",101,1,0,1,0,0
"23",101,1,1,0,0.575485584148838,0
"24",101,1,1,1,0.619170794532161,0
"25",102,0,0,1,0.0766494990224953,0
"26",102,0,1,0,0.724281199165222,0
"27",102,0,1,1,0.862063762106953,0.0960381539386944
"28",102,1,0,1,0,0
"29",102,1,1,0,0.574281199165222,0
"30",102,1,1,1,0.616749607906723,0
"31",103,0,0,1,0.0722390597419618,0
"32",103,0,1,0,0.723083357584761,0
"33",103,0,1,1,0.861560521816439,0.0918526235029847
"34",103,1,0,1,0,0
"35",103,1,1,0,0.573083357584761,0
"36",103,1,1,1,0.614331522967187,0
"37",104,0,0,1,0.067842763662128,0
"38",104,0,1,0,0.721891960841957,0
"39",104,0,1,1,0.861060334372649,0.0876884339869593
"40",104,1,0,1,0,0
"41",104,1,1,0,0.571891960841957,0
"42",104,1,1,1,0.611916490874375,0
"43",11,0,0,1,0.789036935227141,0.401400662736873
"44",11,0,1,0,0.897505388692657,0.696305019099495
"45",11,0,1,1,0.939931599539898,0.685094561084968
"46",11,1,0,1,0.639036935227141,0.251400662736873
"47",11,1,1,0,0.747505388692657,0.546305019099495
