"","weeks","immuno","prior_inf","prior_vacc","severe_ve","nonsevere_ve"
"1",1,0,0,1,0.950064939500602,0.652462720348927
"2",1,0,1,0,0.948863175277702,0.907267891130359
"3",1,0,1,1,0.945061214238921,0.866461576365304
"4",1,1,0,1,0.800064939500602,0.502462720348927
"5",1,1,1,0,0.798863175277702,0.757267891130359
"6",1,1,1,1,0.8931463695899,0.716461576365304
"7",10,0,0,1,0.76687701757144,0.323384285713877
"8",10,0,1,0,0.857744191528034,0.650732422797573
"9",10,0,1,1,0.870236688111113,0.602713924279648
"10",10,1,0,1,0.61687701757144,0.173384285713877
"11",10,1,1,0,0.707744191528034,0.500732422797573
"12",10,1,1,1,0.801088241620894,0.452713924279648
"13",100,0,0,1,0,0
"14",100,0,1,0,0.604263362969648,0
"15",100,0,1,1,0.693504017624253,0
"16",100,1,0,1,0,0
"17",100,1,1,0,0.454263362969648,0
"18",100,1,1,1,0.452019552722067,0
"19",101,0,0,1,0,0
"20",101,0,1,0,0.602509821860934,0
"21",101,0,1,1,0.692363517064458,0
"22",101,1,0,1,0,0
"23",101,1,1,0,0.452509821860934,0
"24",101,1,1,1,0.44896420751325,0
"25",102,0,0,1,0,0
"26",102,0,1,0,0.60076590178227,0
"27",102,0,1,1,0.691230071799523,0
"28",102,1,0,1,0,0
"29",102,1,1,0,0.45076590178227,0
"30",102,1,1,1,0.445915917599292,0
"31",103,0,0,1,0,0
"32",103,0,1,0,0.599031456391766,0
"33",103,0,1,1,0.690103569650827,0
"34",103,1,0,1,0,0
"35",103,1,1,0,0.449031456391766,0
"36",103,1,1,1,0.442874570801575,0
"37",104,0,0,1,0,0
"38",104,0,1,0,0.597306342968986,0
"39",104,0,1,1,0.68898390129199,0
"40",104,1,0,1,0,0
"41",104,1,1,0,0.447306342968986,0
"42",104,1,1,1,0.439840057793716,0
"43",11,0,0,1,0.751524125744207,0.304465514466972
"44",11,0,1,0,0.851590302897101,0.631024539391221
"45",11,0,1,1,0.865537033773791,0.584374045249627
"46",11,1,0,1,0.601524125744207,0.154465514466972
"47",11,1,1,0,0.701590302897102,0.481024539391221
"48",11,1,1,1,0.79447374263455,0.434374045249627
"49",12,0,0,1,0.736626813635591,0.286732500156778
"50",12,0,1,0,0.845740078446475,0.612063200098909
"51",12,0,1,1,0.861098117436789,0.56689276938351
"52",12,1,0,1,0.586626813635591,0.136732500156778
"53",12,1,1,0,0.695740078446476,0.462063200098909
"54",12,1,1,1,0.788119981648527,0.41689276938351
"55",13,0,0,1,0.722135127360154,0.270020729745642
"56",13,0,1,0,0.840154957977143,0.593761150099706
"57",13,0,1,1,0.856885419188533,0.550162982888272
"58",13,1,0,1,0.572135127360153,0.120020729745642
"59",13,1,1,0,0.690154957977142,0.443761150099706
"60",13,1,1,1,0.781992438751249,0.400162982888272
"61",14,0,0,1,0.708007983136861,0.254199164454338
"62",14,0,1,0,0.834803823345923,0.576047189489455
"63",14,0,1,1,0.852871247776072,0.53409803205961
"64",14,1,0,1,0.558007983136861,0.104199164454338
"65",14,1,1,0,0.684803823345923,0.426047189489455
"66",14,1,1,1,0.776063422689766,0.38409803205961
"67",15,0,0,1,0.694211074396541,0.239161562362789
"68",15,0,1,0,0.829661139365939,0.558862292376248
"69",15,0,1,1,0.849033005162486,0.518626648652329
"70",15,1,0,1,0.544211074396541,0.0891615623627888
"71",15,1,1,0,0.679661139365938,0.408862292376248
"72",15,1,1,1,0.770310335427158,0.368626648652329
"73",16,0,0,1,0.680715378850777,0.224820471368571
"74",16,0,1,0,0.824705650968762,0.542156858788512
"75",16,0,1,1,0.845351977152199,0.503689385435637
"76",16,1,0,1,0.530715378850777,0.074820471368571
"77",16,1,1,0,0.674705650968763,0.392156858788512
"78",16,1,1,1,0.764714462767849,0.353689385435637
"79",17,0,0,1,0.667496066858213,0.211102957002045
"80",17,0,1,0,0.819919446077621,0.525888718895653
"81",17,0,1,1,0.841812467996385,0.489236046833588
"82",17,1,0,1,0.517496066858213,0.061102957002045
"83",17,1,1,0,0.669919446077621,0.375888718895653
"84",17,1,1,1,0.759260108963013,0.339236046833588
"85",18,0,0,1,0.654531686013358,0.197947492587156
"86",18,0,1,0,0.815287266220097,0.510021651645963
"87",18,0,1,1,0.838401166842928,0.475223795053112
"88",18,1,0,1,0.504531686013358,0.047947492587156
"89",18,1,1,0,0.665287266220097,0.360021651645963
"90",18,1,1,1,0.753933963160534,0.325223795053112
"91",19,0,0,1,0.641803540639787,0.185301649190028
"92",19,0,1,0,0.810795989365027,0.494524264147683
"93",19,0,1,1,0.835106674603801,0.461615726706931
"94",19,1,0,1,0.491803540639787,0.035301649190028
"95",19,1,1,0,0.660795989365027,0.344524264147683
