"","weeks","immuno","prior_inf","prior_vacc","severe_ve","nonsevere_ve"
"1",1,0,0,1,0.965071270783467,0.7584902815987
"2",1,0,1,0,0.977043454117128,0.940929096770329
"3",1,0,1,1,0.990180620145416,0.9267575872452
"4",1,1,0,1,0.815071270783468,0.6084902815987
"5",1,1,1,0,0.827043454117128,0.790929096770329
"6",1,1,1,1,0.938265775496394,0.7767575872452
"7",10,0,0,1,0.836934421507392,0.529807936612731
"8",10,0,1,0,0.936137959053455,0.777514482247037
"9",10,0,1,1,0.976807000137077,0.782098740215437
"10",10,1,0,1,0.686934421507392,0.379807936612731
"11",10,1,1,0,0.786137959053455,0.627514482247037
"12",10,1,1,1,0.907658553646858,0.632098740215437
"13",100,0,0,1,0.238724583299671,0.084589316173924
"14",100,0,1,0,0.822344341580534,0.162027277332363
"15",100,0,1,1,0.945219020894642,0.351728633317207
"16",100,1,0,1,0.0900541913492495,0
"17",100,1,1,0,0.672344341580535,0.0120272773323627
"18",100,1,1,1,0.703734555992457,0.201728633317207
"19",101,0,0,1,0.2336386735237,0.0819500188060766
"20",101,0,1,0,0.821557134961072,0.157211341484129
"21",101,0,1,1,0.945015175686456,0.34866712696989
"22",101,1,0,1,0.08639682907411,0
"23",101,1,1,0,0.671557134961072,0.00721134148412875
"24",101,1,1,1,0.701615866135248,0.19866712696989
"25",102,0,0,1,0.228569395456562,0.0793292273712718
"26",102,0,1,0,0.820774247452523,0.152415584463866
"27",102,0,1,1,0.944812591493038,0.345621538751743
"28",102,1,0,1,0.0827514269373005,0
"29",102,1,1,0,0.670774247452524,0.00241558446386575
"30",102,1,1,1,0.699498437292808,0.195621538751743
"31",103,0,0,1,0.223516532444587,0.0767266325721391
"32",103,0,1,0,0.819995613358508,0.147639725120898
"33",103,0,1,1,0.944611248264355,0.342591631042738
"34",103,1,0,1,0.0791178291395652,0
"35",103,1,1,0,0.669995613358509,0
"36",103,1,1,1,0.697382249415103,0.192591631042738
"37",104,0,0,1,0.218479872729186,0.0741419332234339
"38",104,0,1,0,0.819221168608404,0.142883488908028
"39",104,0,1,1,0.944411126460164,0.339577172036846
"40",104,1,0,1,0.075495883401783,0
"41",104,1,1,0,0.669221168608404,0
"42",104,1,1,1,0.69526728296189,0.189577172036846
"43",11,0,0,1,0.826195333660876,0.516660952436167
"44",11,0,1,0,0.933375330996643,0.764960443654053
"45",11,0,1,1,0.975967016317193,0.772039785247805
"46",11,1,0,1,0.676195333660876,0.366660952436167
"47",11,1,1,0,0.783375330996643,0.614960443654053
"48",11,1,1,1,0.904903725177952,0.622039785247805
"49",12,0,0,1,0.815774916112723,0.504337971440399
"50",12,0,1,0,0.930749025066323,0.752881958088544
