"","weeks","immuno","severe_inf_ve","severe_vacc_ve","severe_hybrid_ve","nonsevere_inf_ve","nonsevere_vacc_ve","nonsevere_hybrid_ve"
"1",1,0,0.948863175277702,0.950064939500602,0.945061214238921,0.907267891130359,0.652462720348927,0.866461576365304
"2",1,1,0.798863175277702,0.800064939500602,0.8931463695899,0.757267891130359,0.502462720348927,0.716461576365304
"3",10,0,0.857744191528034,0.76687701757144,0.870236688111113,0.650732422797573,0.323384285713877,0.602713924279648
"4",10,1,0.707744191528034,0.61687701757144,0.801088241620894,0.500732422797573,0.173384285713877,0.452713924279648
"5",100,0,0.604263362969648,0,0.693504017624253,0,0,0
"6",100,1,0.454263362969648,0,0.452019552722067,0,0,0
"7",101,0,0.602509821860934,0,0.692363517064458,0,0,0
"8",101,1,0.452509821860934,0,0.44896420751325,0,0,0
"9",102,0,0.60076590178227,0,0.691230071799523,0,0,0
"10",102,1,0.45076590178227,0,0.445915917599292,0,0,0
"11",103,0,0.599031456391766,0,0.690103569650827,0,0,0
"12",103,1,0.449031456391766,0,0.442874570801575,0,0,0
"13",104,0,0.597306342968986,0,0.68898390129199,0,0,0
"14",104,1,0.447306342968986,0,0.439840057793716,0,0,0
"15",11,0,0.851590302897101,0.751524125744207,0.865537033773791,0.631024539391221,0.304465514466972,0.584374045249627
"16",11,1,0.701590302897102,0.601524125744207,0.79447374263455,0.481024539391221,0.154465514466972,0.434374045249627
"17",12,0,0.845740078446475,0.736626813635591,0.861098117436789,0.612063200098909,0.286732500156778,0.56689276938351
"18",12,1,0.695740078446476,0.586626813635591,0.788119981648527,0.462063200098909,0.136732500156778,0.41689276938351
"19",13,0,0.840154957977143,0.722135127360154,0.856885419188533,0.593761150099706,0.270020729745642,0.550162982888272
"20",13,1,0.690154957977142,0.572135127360153,0.781992438751249,0.443761150099706,0.120020729745642,0.400162982888272
"21",14,0,0.834803823345923,0.708007983136861,0.852871247776072,0.576047189489455,0.254199164454338,0.53409803205961
"22",14,1,0.684803823345923,0.558007983136861,0.776063422689766,0.426047189489455,0.104199164454338,0.38409803205961
"23",15,0,0.829661139365939,0.694211074396541,0.849033005162486,0.558862292376248,0.239161562362789,0.518626648652329
"24",15,1,0.679661139365938,0.544211074396541,0.770310335427158,0.408862292376248,0.0891615623627888,0.368626648652329
"25",16,0,0.824705650968762,0.680715378850777,0.845351977152199,0.542156858788512,0.224820471368571,0.503689385435637
"26",16,1,0.674705650968763,0.530715378850777,0.764714462767849,0.392156858788512,0.074820471368571,0.353689385435637
"27",17,0,0.819919446077621,0.667496066858213,0.841812467996385,0.525888718895653,0.211102957002045,0.489236046833588
"28",17,1,0.669919446077621,0.517496066858213,0.759260108963013,0.375888718895653,0.061102957002045,0.339236046833588
"29",18,0,0.815287266220097,0.654531686013358,0.838401166842928,0.510021651645963,0.197947492587156,0.475223795053112
"30",18,1,0.665287266220097,0.504531686013358,0.753933963160534,0.360021651645963,0.047947492587156,0.325223795053112
"31",19,0,0.810795989365027,0.641803540639787,0.835106674603801,0.494524264147683,0.185301649190028,0.461615726706931
"32",19,1,0.660795989365027,0.491803540639787,0.748724626272385,0.344524264147683,0.035301649190028,0.311615726706931
"33",2,0,0.930418738666376,0.92059484726802,0.928838452237279,0.861770167918286,0.575281066498324,0.814585764488572
"34",2,1,0.780418738666376,0.77059484726802,0.875008762939234,0.711770167918286,0.425281066498324,0.664585764488572
"35",20,0,0.806434235225447,0.629295211822207,0.831919144391213,0.479369129670636,0.173120348842583,0.448379784603917
"36",20,1,0.656434235225448,0.479295211822207,0.743622251410776,0.329369129670636,0.023120348842583,0.298379784603917
"37",21,0,0.802192059399079,0.616992180731351,0.828830003996361,0.464532114697621,0.161364522691035,0.435487913085569
"38",21,1,0.652192059399078,0.466992180731351,0.738618266366902,0.314532114697621,0.011364522691035,0.285487913085569
"39",22,0,0.798060713103723,0.604881529166637,0.825831738709405,0.449991846579018,0.150000065587747,0.422915393478365
"40",22,1,0.648060713103723,0.454881529166637,0.733705156430924,0.299991846579018,6.55877470112642e-08,0.272915393478365
"41",23,0,0.794032452119431,0.592951698707375,0.822917719237696,0.435729287388361,0.138997011273509,0.410640314867618
"42",23,1,0.644032452119431,0.442951698707375,0.728876292310193,0.285729287388361,0,0.260640314867618
"43",24,0,0.790100383173775,0.581192294960245,0.820082063820264,0.421727389117955,0.12832887413123,0.398643147990825
"44",24,1,0.640100383173775,0.431192294960245,0.724125792243739,0.271727389117955,0,0.248643147990825
"45",25,0,0.786258339188785,0.569593926937948,0.817319526613116,0.40797081196264,0.117972118400328,0.386906398726314
"46",25,1,0.636258339188785,0.419593926937948,0.719448410387569,0.25797081196264,0,0.236906398726314
"47",26,0,0.782500777037358,0.558148074115474,0.814625406497933,0.394445692098669,0.107905726107891,0.375414323740439
"48",26,1,0.632500777037359,0.408148074115474,0.714839445623364,0.244445692098669,0,0.225414323740439
"49",27,0,0.778822693044045,0.546846975516938,0.811995471941546,0.381139448701537,0.0981108423016238,0.364152695196372
"50",27,1,0.628822693044045,0.396846975516938,0.710294666417956,0.231139448701537,0,0.214152695196372
"51",28,0,0.775219552611941,0.535683536504054,0.80942589859585,0.368040622371427,0.0885704814296896,0.353108604567257
"52",28,1,0.625219552611942,0.385683536504055,0.705810248423238,0.218040622371427,0,0.203108604567257
"53",29,0,0.7716872311973,0.524651249911742,0.806913217103556,0.355138738920693,0.0792692825403312,0.342270297898823
"54",29,1,0.6216872311973,0.374651249911741,0.701382722281922,0.205138738920693,0,0.192270297898823
"55",3,0,0.916682538981274,0.895843746985643,0.917210459124816,0.825410672991263,0.522413560640849,0.775342058555992
"56",3,1,0.766682538981274,0.745843746985642,0.86146592517775,0.675410672991263,0.372413560640849,0.625342058555992
"57",30,0,0.76822196447637,0.51374412890551,0.804454269148859,0.342424193809024,0.0701933037952278,0.331627036575916
"58",30,1,0.61822196447637,0.36374412890551,0.697008929678204,0.192424193809024,0,0.181627036575916
"59",31,0,0.764820306016163,0.502956649486949,0.802046170221189,0.329888153515538,0.0613298488941879,0.321168978931052
"60",31,1,0.614820306016163,0.352956649486949,0.69268598610151,0.179888153515538,0,0.171168978931052
"61",32,0,0.761479091115105,0.492283700995372,0.799686277884744,0.317522470901686,0.0526673195945403,0.310887079007356
"62",32,1,0.611479091115106,0.342283700995372,0.688411249116043,0.167522470901686,0,0.160887079007356
"63",33,0,0.758195405750722,0.481720543279161,0.797372164594329,0.305319612206996,0.0441950897160606,0.300772999534952
"64",33,1,0.608195405750722,0.331720543279161,0.684182291176606,0.155319612206996,0,0.150772999534952
"65",34,0,0.754966559781075,0.47126276946383,0.795101594289017,0.293272593776246,0.035903396950344,0.290819036757451
"66",34,1,0.604966559781075,0.32126276946383,0.679996876222273,0.143272593776246,0,0.140819036757451
"67",35,0,0.751790063710028,0.460906273442838,0.792872502143724,0.28137492697398,0.0277832495131309,0.28101805519574
"68",35,1,0.601790063710028,0.310906273442838,0.675852939427958,0.13137492697398,0,0.13101805519574
"69",36,0,0.748663608454686,0.450647221374654,0.790682976975184,0.269620570024286,0.0198263452406095,0.271363430790603
"70",36,1,0.598663608454685,0.300647221374654,0.671748569610398,0.119620570024286,0,0.121363430790603
"71",37,0,0.745585047654971,0.440482026595122,0.788531245890776,0.258003885737772,0.0120250011738517,0.261849001146379
"72",37,1,0.595585047654971,0.290482026595122,0.667681993876966,0.108003885737772,0,0.111849001146379
"73",38,0,0.74255238214622,0.43040732745492,0.786415660841769,0.246519604267065,0.0043720920271135,0.252469021821866
"74",38,1,0.59255238214622,0.28040732745492,0.663651564178938,0.096519604267065,0,0.102469021821866
"75",39,0,0.739563746280693,0.42041996767327,0.78433468680118,0.235162790176606,0,0.243218127794519
"76",39,1,0.589563746280693,0.27041996767327,0.659655745489327,0.085162790176606,0,0.093218127794519
"77",4,0,0.905321615976931,0.873732439345596,0.90782530392993,0.793949617772638,0.480958783311221,0.742557701412351
"78",4,1,0.755321615976931,0.723732439345596,0.850165925333842,0.643949617772638,0.330958783311221,0.592557701412351
"79",40,0,0.736617395836311,0.410516978865202,0.782286891333563,0.223928813229595,0,0.234091299369358
"80",40,1,0.586617395836311,0.260516978865202,0.655693105372688,0.0739288132295948,0,0.084091299369358
"81",41,0,0.7337116972936,0.400695564953734,0.78027093536237,0.21281332239042,0,0.225083831922203
"82",41,1,0.5837116972936,0.250695564953734,0.651762304752475,0.06281332239042,0,0.075083831922203
"83",42,0,0.730845118296579,0.390953088222723,0.77828556497171,0.201812222619143,0,0.216191308963414
"84",42,1,0.580845118296579,0.240953088222723,0.647862089712792,0.051812222619143,0,0.066191308963414
