"","week","weeks_since","month","year","age_group","inc"
"1",2023-09-30,13,"September","2023","All",4.6
"2",2023-09-23,12,"September","2023","All",4.4
"3",2023-09-16,11,"September","2023","All",4.4
"4",2023-09-09,10,"September","2023","All",4.3
"5",2023-09-02,9,"September","2023","All",4
"6",2023-08-26,8,"August","2023","All",4
"7",2023-08-19,7,"August","2023","All",3.3
"8",2023-08-12,6,"August","2023","All",2.9
"9",2023-08-05,5,"August","2023","All",2.5
"10",2023-07-29,4,"July","2023","All",2.2
"11",2023-07-22,3,"July","2023","All",1.7
"12",2023-07-15,2,"July","2023","All",1.5
"13",2023-07-08,1,"July","2023","All",1.3
"14",2023-07-01,0,"July","2023","All",1.4
"15",2024-09-28,65,"September","2024","All",3.3
"16",2024-09-21,64,"September","2024","All",3.8
"17",2024-09-14,63,"September","2024","All",4.4
"18",2024-09-07,62,"September","2024","All",4.1
"19",2024-08-31,61,"August","2024","All",4.2
"20",2024-08-24,60,"August","2024","All",4.5
"21",2024-08-17,59,"August","2024","All",4.8
"22",2024-08-10,58,"August","2024","All",4.9
"23",2024-08-03,57,"August","2024","All",4.5
"24",2024-07-27,56,"July","2024","All",4.2
"25",2024-07-20,55,"July","2024","All",3.4
"26",2024-07-13,54,"July","2024","All",3.3
"27",2024-07-06,53,"July","2024","All",3.1
"28",2024-06-29,52,"June","2024","All",2.7
"29",2024-06-22,51,"June","2024","All",2.1
"30",2024-06-15,50,"June","2024","All",1.9
"31",2024-06-08,49,"June","2024","All",1.6
"32",2024-06-01,48,"June","2024","All",1.6
"33",2024-05-25,47,"May","2024","All",1.3
"34",2024-05-18,46,"May","2024","All",1.3
"35",2024-05-11,45,"May","2024","All",1.1
"36",2024-05-04,44,"May","2024","All",1.1
"37",2024-04-27,43,"April","2024","All",1.2
"38",2024-04-20,42,"April","2024","All",1.1
"39",2024-04-13,41,"April","2024","All",1.5
"40",2024-04-06,40,"April","2024","All",1.8
"41",2024-03-30,39,"March","2024","All",1.7
"42",2024-03-23,38,"March","2024","All",2
"43",2024-03-16,37,"March","2024","All",2.5
"44",2024-03-09,36,"March","2024","All",2.9
"45",2024-03-02,35,"March","2024","All",3.6
"46",2024-02-24,34,"February","2024","All",4.2
"47",2024-02-17,33,"February","2024","All",4.2
"48",2024-02-10,32,"February","2024","All",4.4
"49",2024-02-03,31,"February","2024","All",4.9
"50",2024-01-27,30,"January","2024","All",5.4
"51",2024-01-20,29,"January","2024","All",6
"52",2024-01-13,28,"January","2024","All",7.2
"53",2024-01-06,27,"January","2024","All",7.7
"54",2023-12-30,26,"December","2023","All",7.8
"55",2023-12-23,25,"December","2023","All",6.6
"56",2023-12-16,24,"December","2023","All",6.1
"57",2023-12-09,23,"December","2023","All",6.1
"58",2023-12-02,22,"December","2023","All",6.1
"59",2023-11-25,21,"November","2023","All",5.1
"60",2023-11-18,20,"November","2023","All",4.9
"61",2023-11-11,19,"November","2023","All",4.7
"62",2023-11-04,18,"November","2023","All",4.1
"63",2023-10-28,17,"October","2023","All",4.2
"64",2023-10-21,16,"October","2023","All",4.1
"65",2023-10-14,15,"October","2023","All",4.2
"66",2023-10-07,14,"October","2023","All",4.5
