Outcome,Vaccine Status,Age,Prior Infection,Month0.5,Month1,Month2,Month3,Month4,Month5,Month6,Month7,Month8,Month9,Month10,Month11,Month12,Month13,Month14,Month15,Month16,References
Severe Outcomes,Unvaccinated,18-49 years,Yes,,,,82.54,81.6,80.65,79.87,79.08,78.14,77.52,76.41,75.63,74.68,73.72,72.87,71.6,70.74,"Bobrovitz et al (Lancet, 2023)"
Severe Outcomes,Unvaccinated,18-49 years,Yes,,,,88.9,88.9,88.9,88.9,88.9,88.9,88.9,88.6,87.1,84.5,81.4,,,,"COVID Forecasting Team (Lancet, 2023)"
Severe Outcomes,Unvaccinated,18-49 years,Yes,,,,,,,85,85,85,80,80,80,76,76,76,73,,"Lee et al. (Clinical Infectious Diseases, 2024)"
Severe Outcomes,Unvaccinated,50-64 years,Yes,,,,82.54,81.6,80.65,79.87,79.08,78.14,77.52,76.41,75.63,74.68,73.72,72.87,71.6,70.74,"Bobrovitz et al (Lancet, 2023)"
Severe Outcomes,Unvaccinated,50-64 years,Yes,,,,88.9,88.9,88.9,88.9,88.9,88.9,88.9,88.6,87.1,84.5,81.4,,,,"COVID Forecasting Team (Lancet, 2023)"
Severe Outcomes,Unvaccinated,50-64 years,Yes,,,,,,,85,85,85,80,80,80,76,76,76,73,,"Lee et al. (Clinical Infectious Diseases, 2024)"
Severe Outcomes,Unvaccinated,65+ years,Yes,,,,82.54,81.6,80.65,79.87,79.08,78.14,77.52,76.41,75.63,74.68,73.72,72.87,71.6,70.74,"Bobrovitz et al (Lancet, 2023)"
Severe Outcomes,Unvaccinated,65+ years,Yes,,,,88.9,88.9,88.9,88.9,88.9,88.9,88.9,88.6,87.1,84.5,81.4,,,,"COVID Forecasting Team (Lancet, 2023)"
Severe Outcomes,Unvaccinated,65+ years,Yes,,,,,,,85,85,85,80,80,80,76,76,76,73,,"Lee et al. (Clinical Infectious Diseases, 2024)"
Severe Outcomes,Boosted,18-49 years,Yes,98,97.6,97.2,96.7,96.09,95.55,95.3,,,,,,,,,,,"Bobrovitz et al (Lancet, 2023)"
Severe Outcomes,Boosted,18-49 years,Yes,93.5,93.5,93.5,92.9,92.9,92.9,91.8,91.8,91.8,84.8,84.8,84.8,,,,,,"Carazo et al (Lancet Healthy Longevity, 2023)"
Severe Outcomes,Boosted,18-49 years,Yes,,,,87.89908257,87.89908257,87.89908257,85.84210526,85.84210526,85.84210526,85.40816327,55,55,49,,,,,"Lee et al. (Clinical Infectious Diseases, 2024)"
Severe Outcomes,Boosted,18-49 years,No,90.7,89.2,87.2,84.9,82.6,79.3,76.5,72.9,69.7,,,,,,,,,"Bobrovitz et al (Lancet, 2023)"
Severe Outcomes,Boosted,18-49 years,No,85,85,85,77,77,33,33,33,38,49,49,29,29,29,29,29,29,"Ferdinands et al (BMJ, 2022)"
Severe Outcomes,Boosted,18-49 years,No,,,70,70,42,,,,,,,,,,,,,"Link-Gelles et al. (JAMA Network Open, 2023)"
Severe Outcomes,Boosted,50-64 years,Yes,98,97.6,97.2,96.7,96.09,95.55,95.3,,,,,,,,,,,"Bobrovitz et al (Lancet, 2023)"
Severe Outcomes,Boosted,50-64 years,Yes,93.5,93.5,93.5,92.9,92.9,92.9,91.8,91.8,91.8,84.8,84.8,84.8,,,,,,"Carazo et al (Lancet Healthy Longevity, 2023)"
Severe Outcomes,Boosted,50-64 years,Yes,,,,87.89908257,87.89908257,87.89908257,85.84210526,85.84210526,85.84210526,85.40816327,55,55,49,,,,,"Lee et al. (Clinical Infectious Diseases, 2024)"
Severe Outcomes,Boosted,50-64 years,No,90.7,89.2,87.2,84.9,82.6,79.3,76.5,72.9,69.7,,,,,,,,,"Bobrovitz et al (Lancet, 2023)"
Severe Outcomes,Boosted,50-64 years,No,89,89,89,83,83,58,58,48,57,58,58,36.00,36.00,32.00,32.00,32.00,32.00,"Ferdinands et al (BMJ, 2022)"
Severe Outcomes,Boosted,50-64 years,No,,,70,70,42,,,,,,,,,,,,,"Link-Gelles et al. (JAMA Network Open, 2023)"
Severe Outcomes,Boosted,65+ years,Yes,98,97.6,97.2,96.7,96.09,95.55,95.3,,,,,,,,,,,"Bobrovitz et al (Lancet, 2023)"
Severe Outcomes,Boosted,65+ years,Yes,93.5,93.5,93.5,92.9,92.9,92.9,91.8,91.8,91.8,84.8,84.8,84.8,,,,,,"Carazo et al (Lancet Healthy Longevity, 2023)"
Severe Outcomes,Boosted,65+ years,Yes,,,,87.89908257,87.89908257,87.89908257,85.84210526,85.84210526,85.84210526,85.40816327,55,55,49,,,,,"Lee et al. (Clinical Infectious Diseases, 2024)"
Severe Outcomes,Boosted,65+ years,No,90.7,89.2,87.2,84.9,82.6,79.3,76.5,72.9,69.7,,,,,,,,,"Bobrovitz et al (Lancet, 2023)"
Severe Outcomes,Boosted,65+ years,No,89,89,89,87,87,70,70,52,47,46,46,59.00,59.00,45.00,45.00,31.00,31.00,"Ferdinands et al (BMJ, 2022)"
Severe Outcomes,Boosted,65+ years,No,,,70,70,42,,,,,,,,,,,,,"Link-Gelles et al. (JAMA Network Open, 2023)"
