Season,Strata,Age Category,Race/Ethnicity,Sex,COVID,ICU,Medical Condition,Mechanical Ventilation,Death,Time Period,Time,Estimate Type,Estimate
2021,Race/Ethnicity,Overall,Unknown,Overall,N/A,N/A,N/A,N/A,N/A,Week,04/10/2021,Counts,107
2021,Race/Ethnicity,Overall,Non-Hispanic A/PI,Overall,N/A,N/A,N/A,N/A,N/A,Week,12/05/2020,Counts,303
2021,Race/Ethnicity,Overall,Non-Hispanic AI/AN,Overall,N/A,N/A,N/A,N/A,N/A,Week,05/01/2021,Counts,27
2021,Race/Ethnicity,Overall,Non-Hispanic White,Overall,N/A,N/A,N/A,N/A,N/A,Week,10/17/2020,Counts,968
2021,Race/Ethnicity,Overall,Non-Hispanic Black,Overall,N/A,N/A,N/A,N/A,N/A,Week,11/07/2020,Counts,729
2021,Race/Ethnicity,Overall,Non-Hispanic Black,Overall,N/A,N/A,N/A,N/A,N/A,Week,06/05/2021,Counts,231
2021,Race/Ethnicity,Overall,Non-Hispanic White,Overall,N/A,N/A,N/A,N/A,N/A,Week,03/06/2021,Counts,942
2021,Race/Ethnicity,Overall,Unknown,Overall,N/A,N/A,N/A,N/A,N/A,Week,01/02/2021,Counts,281
2021,Race/Ethnicity,Overall,Non-Hispanic AI/AN,Overall,N/A,N/A,N/A,N/A,N/A,Week,10/31/2020,Counts,42
2021,Race/Ethnicity,Overall,Hispanic or Latino,Overall,N/A,N/A,N/A,N/A,N/A,Week,02/13/2021,Counts,413
2021,Race/Ethnicity,Overall,Non-Hispanic Black,Overall,N/A,N/A,N/A,N/A,N/A,Week,06/12/2021,Counts,188
2021,Race/Ethnicity,Overall,Multiracial,Overall,N/A,N/A,N/A,N/A,N/A,Week,10/24/2020,Counts,18
2021,Race/Ethnicity,Overall,Hispanic or Latino,Overall,N/A,N/A,N/A,N/A,N/A,Week,11/21/2020,Counts,1029
2021,Race/Ethnicity,Overall,Multiracial,Overall,N/A,N/A,N/A,N/A,N/A,Week,08/07/2021,Counts,11
2021,Race/Ethnicity,Overall,Hispanic or Latino,Overall,N/A,N/A,N/A,N/A,N/A,Week,10/10/2020,Counts,399
2021,Race/Ethnicity,Overall,Non-Hispanic A/PI,Overall,N/A,N/A,N/A,N/A,N/A,Week,05/22/2021,Counts,43
2021,Race/Ethnicity,Overall,Unknown,Overall,N/A,N/A,N/A,N/A,N/A,Week,11/14/2020,Counts,185
2021,Race/Ethnicity,Overall,Non-Hispanic AI/AN,Overall,N/A,N/A,N/A,N/A,N/A,Week,02/27/2021,Counts,17
2021,Race/Ethnicity,Overall,Non-Hispanic A/PI,Overall,N/A,N/A,N/A,N/A,N/A,Week,03/27/2021,Counts,114
2021,Race/Ethnicity,Overall,Multiracial,Overall,N/A,N/A,N/A,N/A,N/A,Week,01/16/2021,Counts,72
2021,Race/Ethnicity,Overall,Non-Hispanic White,Overall,N/A,N/A,N/A,N/A,N/A,Week,03/13/2021,Counts,1048
2021,Race/Ethnicity,Overall,Multiracial,Overall,N/A,N/A,N/A,N/A,N/A,Week,04/03/2021,Counts,11
2021,Race/Ethnicity,Overall,Unknown,Overall,N/A,N/A,N/A,N/A,N/A,Week,09/18/2021,Counts,148
2021,Race/Ethnicity,Overall,Unknown,Overall,N/A,N/A,N/A,N/A,N/A,Week,08/14/2021,Counts,159
2021,Race/Ethnicity,Overall,Non-Hispanic A/PI,Overall,N/A,N/A,N/A,N/A,N/A,Week,03/20/2021,Counts,89
