Month,Numerator,Population,Jurisdiction,Estimate,Age_group_label,Legend,Child_or_adult
AUG,,,Chicago,,13-17 years,"2023-24, Chicago: 13-17 years",Child
AUG,,,Chicago,,18+ years,"2023-24, Chicago: 18+ years",Adult
AUG,,,Chicago,,18-49 years,"2023-24, Chicago: 18-49 years",Adult
AUG,,,Chicago,,2-4 years,"2023-24, Chicago: 2-4 years",Child
AUG,,,Chicago,,5-8 years,"2023-24, Chicago: 5-8 years",Child
AUG,,,Chicago,,50-64 years,"2023-24, Chicago: 50-64 years",Adult
AUG,,,Chicago,,6 months to 17 years,"2023-24, Chicago: 6 months to 17 years",Child
AUG,,,Chicago,,6-23 months,"2023-24, Chicago: 6-23 months",Child
AUG,,,Chicago,,65+ years,"2023-24, Chicago: 65+ years",Adult
AUG,,,Chicago,,9-12 years,"2023-24, Chicago: 9-12 years",Child
AUG,,,Chicago,,Overall,"2023-24, Chicago: Overall",All
AUG,,,Houston,,13-17 years,"2023-24, Houston: 13-17 years",Child
AUG,,,Houston,,18+ years,"2023-24, Houston: 18+ years",Adult
AUG,,,Houston,,18-49 years,"2023-24, Houston: 18-49 years",Adult
AUG,,,Houston,,2-4 years,"2023-24, Houston: 2-4 years",Child
AUG,,,Houston,,5-8 years,"2023-24, Houston: 5-8 years",Child
AUG,,,Houston,,50-64 years,"2023-24, Houston: 50-64 years",Adult
AUG,,,Houston,,6 months to 17 years,"2023-24, Houston: 6 months to 17 years",Child
AUG,,,Houston,,6-23 months,"2023-24, Houston: 6-23 months",Child
AUG,,,Houston,,65+ years,"2023-24, Houston: 65+ years",Adult
AUG,,,Houston,,9-12 years,"2023-24, Houston: 9-12 years",Child
AUG,,,Houston,,Overall,"2023-24, Houston: Overall",All
AUG,,,Kansas,,13-17 years,"2023-24, Kansas: 13-17 years",Child
AUG,,,Kansas,,18+ years,"2023-24, Kansas: 18+ years",Adult
AUG,,,Kansas,,18-49 years,"2023-24, Kansas: 18-49 years",Adult
AUG,,,Kansas,,2-4 years,"2023-24, Kansas: 2-4 years",Child
AUG,,,Kansas,,5-8 years,"2023-24, Kansas: 5-8 years",Child
AUG,,,Kansas,,50-64 years,"2023-24, Kansas: 50-64 years",Adult
AUG,,,Kansas,,6 months to 17 years,"2023-24, Kansas: 6 months to 17 years",Child
AUG,,,Kansas,,6-23 months,"2023-24, Kansas: 6-23 months",Child
AUG,,,Kansas,,65+ years,"2023-24, Kansas: 65+ years",Adult
AUG,,,Kansas,,9-12 years,"2023-24, Kansas: 9-12 years",Child
AUG,,,Kansas,,Overall,"2023-24, Kansas: Overall",All
AUG,,,Massachusetts,,13-17 years,"2023-24, Massachusetts: 13-17 years",Child
AUG,,,Massachusetts,,18+ years,"2023-24, Massachusetts: 18+ years",Adult
