Vaccine,Geographic Level,Geographic Name,Demographic_Level,Demographic Name,Indicator_label,Indicator_category_label,Month_Week,Week_ending,Estimate,CI_Half_width_95pct,Unweighted Sample Size,suppression_flag
COVID,State,Michigan,Overall,6 months-17 years,4-level vaccination and intent,Probably will get a vaccine or are unsure,December Week 1,2023-12-02,0.3767,17.9868,49,0
COVID,State,Michigan,Overall,6 months-17 years,4-level vaccination and intent,Vaccinated,December Week 1,2023-12-02,0.0839,1.8369,1742,0
COVID,State,Michigan,Overall,6 months-17 years,Up-to-date,Yes,December Week 1,2023-12-02,0.0839,1.8369,1742,0
COVID,State,Minnesota,Overall,6 months-17 years,4-level vaccination and intent,Definitely or probably will not get a vaccine,December Week 1,2023-12-02,0.3945,16.2812,79,0
COVID,State,Minnesota,Overall,6 months-17 years,4-level vaccination and intent,Definitely will get a vaccine,December Week 1,2023-12-02,0.1322,8.8117,79,0
COVID,State,Minnesota,Overall,6 months-17 years,4-level vaccination and intent,Probably will get a vaccine or are unsure,December Week 1,2023-12-02,0.3057,15.9047,79,0
COVID,State,Minnesota,Overall,6 months-17 years,4-level vaccination and intent,Vaccinated,December Week 1,2023-12-02,0.1676,2.38,2111,0
COVID,State,Minnesota,Overall,6 months-17 years,Up-to-date,Yes,December Week 1,2023-12-02,0.1676,2.38,2111,0
COVID,State,Mississippi,Overall,6 months-17 years,4-level vaccination and intent,Definitely or probably will not get a vaccine,December Week 1,2023-12-02,0.5975,30.9761,36,0
COVID,State,Mississippi,Overall,6 months-17 years,4-level vaccination and intent,Definitely will get a vaccine,December Week 1,2023-12-02,0.0019,0.3966,36,0
COVID,State,Mississippi,Overall,6 months-17 years,4-level vaccination and intent,Probably will get a vaccine or are unsure,December Week 1,2023-12-02,0.3484,30.935,36,0
COVID,State,Mississippi,Overall,6 months-17 years,4-level vaccination and intent,Vaccinated,December Week 1,2023-12-02,0.0522,1.7567,1727,0
COVID,State,Mississippi,Overall,6 months-17 years,Up-to-date,Yes,December Week 1,2023-12-02,0.0522,1.7567,1727,0
COVID,State,Missouri,Overall,6 months-17 years,4-level vaccination and intent,Definitely or probably will not get a vaccine,December Week 1,2023-12-02,,,11,1
COVID,State,Missouri,Overall,6 months-17 years,4-level vaccination and intent,Definitely will get a vaccine,December Week 1,2023-12-02,,,11,1
COVID,State,Missouri,Overall,6 months-17 years,4-level vaccination and intent,Probably will get a vaccine or are unsure,December Week 1,2023-12-02,,,11,1
COVID,State,Missouri,Overall,6 months-17 years,4-level vaccination and intent,Vaccinated,December Week 1,2023-12-02,,,1744,1
COVID,State,Missouri,Overall,6 months-17 years,Up-to-date,Yes,December Week 1,2023-12-02,0.0859,1.8003,1744,0
COVID,State,Montana,Overall,6 months-17 years,4-level vaccination and intent,Definitely or probably will not get a vaccine,December Week 1,2023-12-02,,,24,1
COVID,State,Montana,Overall,6 months-17 years,4-level vaccination and intent,Definitely will get a vaccine,December Week 1,2023-12-02,,,24,1
COVID,State,Montana,Overall,6 months-17 years,4-level vaccination and intent,Probably will get a vaccine or are unsure,December Week 1,2023-12-02,,,24,1
COVID,State,Montana,Overall,6 months-17 years,4-level vaccination and intent,Vaccinated,December Week 1,2023-12-02,,,1926,1
COVID,State,Montana,Overall,6 months-17 years,Up-to-date,Yes,December Week 1,2023-12-02,0.0826,1.7029,1926,0
COVID,State,Nebraska,Overall,6 months-17 years,4-level vaccination and intent,Definitely or probably will not get a vaccine,December Week 1,2023-12-02,,,25,1
COVID,State,Nebraska,Overall,6 months-17 years,4-level vaccination and intent,Definitely will get a vaccine,December Week 1,2023-12-02,,,25,1
COVID,State,Nebraska,Overall,6 months-17 years,4-level vaccination and intent,Probably will get a vaccine or are unsure,December Week 1,2023-12-02,,,25,1
COVID,State,Nebraska,Overall,6 months-17 years,4-level vaccination and intent,Vaccinated,December Week 1,2023-12-02,,,1281,1
COVID,State,Nebraska,Overall,6 months-17 years,Up-to-date,Yes,December Week 1,2023-12-02,0.0969,2.2436,1281,0
COVID,State,Nevada,Overall,6 months-17 years,4-level vaccination and intent,Definitely or probably will not get a vaccine,December Week 1,2023-12-02,0.6733,16.2733,72,0
COVID,State,Nevada,Overall,6 months-17 years,4-level vaccination and intent,Definitely will get a vaccine,December Week 1,2023-12-02,0.0533,7.4686,72,0
COVID,State,Nevada,Overall,6 months-17 years,4-level vaccination and intent,Probably will get a vaccine or are unsure,December Week 1,2023-12-02,0.2067,13.8063,72,0
COVID,State,Nevada,Overall,6 months-17 years,4-level vaccination and intent,Vaccinated,December Week 1,2023-12-02,0.0668,1.8725,2205,0
COVID,State,Nevada,Overall,6 months-17 years,Up-to-date,Yes,December Week 1,2023-12-02,0.0668,1.8725,2205,0
COVID,State,New Hampshire,Overall,6 months-17 years,4-level vaccination and intent,Definitely or probably will not get a vaccine,December Week 1,2023-12-02,0.3088,23.6901,66,0
COVID,State,New Hampshire,Overall,6 months-17 years,4-level vaccination and intent,Definitely will get a vaccine,December Week 1,2023-12-02,0.1107,8.9838,66,0
COVID,State,New Hampshire,Overall,6 months-17 years,4-level vaccination and intent,Probably will get a vaccine or are unsure,December Week 1,2023-12-02,0.4223,20.8868,66,0
COVID,State,New Hampshire,Overall,6 months-17 years,4-level vaccination and intent,Vaccinated,December Week 1,2023-12-02,0.1582,2.5406,1971,0
COVID,State,New Hampshire,Overall,6 months-17 years,Up-to-date,Yes,December Week 1,2023-12-02,0.1582,2.5406,1971,0
COVID,State,New Jersey,Overall,6 months-17 years,4-level vaccination and intent,Definitely or probably will not get a vaccine,December Week 1,2023-12-02,0.3145,20.2482,46,0
COVID,State,New Jersey,Overall,6 months-17 years,4-level vaccination and intent,Definitely will get a vaccine,December Week 1,2023-12-02,0.1986,18.8585,46,0
COVID,State,New Jersey,Overall,6 months-17 years,4-level vaccination and intent,Probably will get a vaccine or are unsure,December Week 1,2023-12-02,0.3936,20.8177,46,0
