"","weeks","type","age_group","cases","inc"
"1",1,"nonsevere","0-17 years",9058,832.536764705882
"2",1,"nonsevere","18-29 years",5143,655.15923566879
"3",1,"nonsevere","30-49 years",2003,152.84242655475
"4",1,"nonsevere","50-64 years",1328,142.184154175589
"5",1,"nonsevere","65-74 years",731,141.256038647343
"6",1,"nonsevere","75+ years",740,202.739726027397
"7",1,"severe","0-17 years",0,0
"8",1,"severe","18-29 years",0,0
"9",1,"severe","30-49 years",2,0.152613506295307
"10",1,"severe","50-64 years",5,0.535331905781585
"11",1,"severe","65-74 years",2,0.386473429951691
"12",1,"severe","75+ years",14,3.83561643835616
"13",2,"nonsevere","0-17 years",12058,1108.27205882353
"14",2,"nonsevere","18-29 years",8022,1021.91082802548
"15",2,"nonsevere","30-49 years",3017,230.217474246471
"16",2,"nonsevere","50-64 years",2067,221.306209850107
"17",2,"nonsevere","65-74 years",1023,197.68115942029
"18",2,"nonsevere","75+ years",1030,282.191780821918
"19",2,"severe","0-17 years",0,0
"20",2,"severe","18-29 years",2,0.254777070063694
"21",2,"severe","30-49 years",5,0.381533765738268
"22",2,"severe","50-64 years",11,1.17773019271949
"23",2,"severe","65-74 years",12,2.31884057971015
"24",2,"severe","75+ years",23,6.3013698630137
"25",3,"nonsevere","0-17 years",16550,1521.13970588235
"26",3,"nonsevere","18-29 years",12300,1566.87898089172
"27",3,"nonsevere","30-49 years",4564,348.264021365891
"28",3,"nonsevere","50-64 years",3125,334.58244111349
"29",3,"nonsevere","65-74 years",1509,291.594202898551
"30",3,"nonsevere","75+ years",1617,443.013698630137
"31",3,"severe","0-17 years",0,0
"32",3,"severe","18-29 years",3,0.382165605095541
"33",3,"severe","30-49 years",1,0.0763067531476536
"34",3,"severe","50-64 years",9,0.963597430406852
"35",3,"severe","65-74 years",23,4.44444444444444
"36",3,"severe","75+ years",41,11.2328767123288
"37",4,"nonsevere","0-17 years",23798,2187.31617647059
"38",4,"nonsevere","18-29 years",17486,2227.51592356688
"39",4,"nonsevere","30-49 years",6675,509.347577260588
"40",4,"nonsevere","50-64 years",4604,492.933618843683
"41",4,"nonsevere","65-74 years",2109,407.536231884058
"42",4,"nonsevere","75+ years",2333,639.178082191781
"43",4,"severe","0-17 years",0,0
"44",4,"severe","18-29 years",6,0.764331210191083
"45",4,"severe","30-49 years",11,0.839374284624189
"46",4,"severe","50-64 years",18,1.9271948608137
"47",4,"severe","65-74 years",23,4.44444444444444
"48",4,"severe","75+ years",59,16.1643835616438
"49",5,"nonsevere","0-17 years",29082,2672.97794117647
"50",5,"nonsevere","18-29 years",21740,2769.42675159236
"51",5,"nonsevere","30-49 years",8441,644.105303319344
"52",5,"nonsevere","50-64 years",5728,613.276231263383
"53",5,"nonsevere","65-74 years",2678,517.487922705314
"54",5,"nonsevere","75+ years",2944,806.575342465753
"55",5,"severe","0-17 years",0,0
"56",5,"severe","18-29 years",2,0.254777070063694
"57",5,"severe","30-49 years",8,0.610454025181228
"58",5,"severe","50-64 years",22,2.35546038543897
"59",5,"severe","65-74 years",29,5.60386473429952
"60",5,"severe","75+ years",71,19.4520547945205
"61",6,"nonsevere","0-17 years",29890,2747.24264705882
"62",6,"nonsevere","18-29 years",22529,2869.93630573248
"63",6,"nonsevere","30-49 years",8924,680.96146508966
"64",6,"nonsevere","50-64 years",6041,646.78800856531
"65",6,"nonsevere","65-74 years",2805,542.028985507246
"66",6,"nonsevere","75+ years",3065,839.72602739726
"67",6,"severe","0-17 years",0,0
"68",6,"severe","18-29 years",4,0.509554140127389
"69",6,"severe","30-49 years",7,0.534147272033575
"70",6,"severe","50-64 years",24,2.56959314775161
"71",6,"severe","65-74 years",33,6.3768115942029
"72",6,"severe","75+ years",75,20.5479452054795
"73",7,"nonsevere","0-17 years",30367,2791.08455882353
"74",7,"nonsevere","18-29 years",22991,2928.7898089172
"75",7,"nonsevere","30-49 years",9362,714.383822968333
"76",7,"nonsevere","50-64 years",6297,674.197002141328
"77",7,"nonsevere","65-74 years",3163,611.207729468599
"78",7,"nonsevere","75+ years",3133,858.356164383562
"79",7,"severe","0-17 years",0,0
"80",7,"severe","18-29 years",6,0.764331210191083
"81",7,"severe","30-49 years",11,0.839374284624189
"82",7,"severe","50-64 years",20,2.14132762312634
"83",7,"severe","65-74 years",29,5.60386473429952
"84",7,"severe","75+ years",58,15.8904109589041
"85",8,"nonsevere","0-17 years",30449,2798.62132352941
"86",8,"nonsevere","18-29 years",22619,2881.40127388535
"87",8,"nonsevere","30-49 years",9578,730.866081648226
"88",8,"nonsevere","50-64 years",6573,703.747323340471
"89",8,"nonsevere","65-74 years",3121,603.091787439614
"90",8,"nonsevere","75+ years",3314,907.945205479452
"91",8,"severe","0-17 years",0,0
"92",8,"severe","18-29 years",7,0.89171974522293
"93",8,"severe","30-49 years",9,0.686760778328882
"94",8,"severe","50-64 years",30,3.21199143468951
"95",8,"severe","65-74 years",28,5.41062801932367
"96",8,"severe","75+ years",76,20.8219178082192
"97",9,"nonsevere","0-17 years",30408,2794.85294117647
"98",9,"nonsevere","18-29 years",22205,2828.66242038217
"99",9,"nonsevere","30-49 years",10021,764.669973292636
"100",9,"nonsevere","50-64 years",6953,744.432548179872
"101",9,"nonsevere","65-74 years",3214,621.062801932367
"102",9,"nonsevere","75+ years",3348,917.260273972603
"103",9,"severe","0-17 years",0,0
"104",9,"severe","18-29 years",3,0.382165605095541
"105",9,"severe","30-49 years",9,0.686760778328882
"106",9,"severe","50-64 years",36,3.85438972162741
"107",9,"severe","65-74 years",27,5.21739130434783
"108",9,"severe","75+ years",60,16.4383561643836
"109",10,"nonsevere","0-17 years",33461,3075.45955882353
"110",10,"nonsevere","18-29 years",24627,3137.1974522293
"111",10,"nonsevere","30-49 years",11381,868.447157573445
"112",10,"nonsevere","50-64 years",7872,842.826552462527
"113",10,"nonsevere","65-74 years",3722,719.227053140097
"114",10,"nonsevere","75+ years",3987,1092.32876712329
"115",10,"severe","0-17 years",0,0
"116",10,"severe","18-29 years",7,0.89171974522293
"117",10,"severe","30-49 years",8,0.610454025181228
"118",10,"severe","50-64 years",27,2.89079229122056
"119",10,"severe","65-74 years",28,5.41062801932367
"120",10,"severe","75+ years",94,25.7534246575342
"121",11,"nonsevere","0-17 years",35595,3271.59926470588
"122",11,"nonsevere","18-29 years",26383,3360.89171974522
"123",11,"nonsevere","30-49 years",12540,956.886684471576
"124",11,"nonsevere","50-64 years",8710,932.54817987152
"125",11,"nonsevere","65-74 years",4265,824.154589371981
"126",11,"nonsevere","75+ years",4381,1200.27397260274
"127",11,"severe","0-17 years",0,0
"128",11,"severe","18-29 years",7,0.89171974522293
"129",11,"severe","30-49 years",10,0.763067531476536
"130",11,"severe","50-64 years",35,3.74732334047109
"131",11,"severe","65-74 years",30,5.79710144927536
"132",11,"severe","75+ years",86,23.5616438356164
"133",12,"nonsevere","0-17 years",37408,3438.23529411765
"134",12,"nonsevere","18-29 years",27491,3502.03821656051
"135",12,"nonsevere","30-49 years",13457,1026.85997710797
"136",12,"nonsevere","50-64 years",9690,1037.47323340471
"137",12,"nonsevere","65-74 years",4627,894.106280193237
"138",12,"nonsevere","75+ years",4719,1292.87671232877
"139",12,"severe","0-17 years",0,0
"140",12,"severe","18-29 years",4,0.509554140127389
"141",12,"severe","30-49 years",9,0.686760778328882
"142",12,"severe","50-64 years",38,4.06852248394004
"143",12,"severe","65-74 years",45,8.69565217391304
"144",12,"severe","75+ years",107,29.3150684931507
"145",13,"nonsevere","0-17 years",37395,3437.04044117647
"146",13,"nonsevere","18-29 years",27415,3492.35668789809
"147",13,"nonsevere","30-49 years",14400,1098.81724532621
"148",13,"nonsevere","50-64 years",10221,1094.32548179872
"149",13,"nonsevere","65-74 years",4840,935.265700483092
"150",13,"nonsevere","75+ years",5079,1391.50684931507
"151",13,"severe","0-17 years",0,0
"152",13,"severe","18-29 years",7,0.89171974522293
"153",13,"severe","30-49 years",17,1.29721480351011
"154",13,"severe","50-64 years",40,4.28265524625268
"155",13,"severe","65-74 years",44,8.5024154589372
"156",13,"severe","75+ years",93,25.4794520547945
"157",14,"nonsevere","0-17 years",35150,3230.69852941176
"158",14,"nonsevere","18-29 years",25880,3296.8152866242
"159",14,"nonsevere","30-49 years",14135,1078.59595574208
"160",14,"nonsevere","50-64 years",10134,1085.01070663812
"161",14,"nonsevere","65-74 years",4697,907.632850241546
"162",14,"nonsevere","75+ years",4971,1361.91780821918
"163",14,"severe","0-17 years",0,0
"164",14,"severe","18-29 years",1,0.127388535031847
