"","weeks","type","age_group","cases","inc"
"1",1,"nonsevere","0-17 years",10214,938.786764705882
"2",1,"nonsevere","18-29 years",5825,742.03821656051
"3",1,"nonsevere","30-49 years",2314,176.57382678367
"4",1,"nonsevere","50-64 years",1469,157.28051391863
"5",1,"nonsevere","65-74 years",782,151.111111111111
"6",1,"nonsevere","75+ years",877,240.27397260274
"7",1,"severe","0-17 years",0,0
"8",1,"severe","18-29 years",0,0
"9",1,"severe","30-49 years",3,0.228920259442961
"10",1,"severe","50-64 years",3,0.321199143468951
"11",1,"severe","65-74 years",3,0.579710144927536
"12",1,"severe","75+ years",13,3.56164383561644
"13",2,"nonsevere","0-17 years",13990,1285.84558823529
"14",2,"nonsevere","18-29 years",9496,1209.68152866242
"15",2,"nonsevere","30-49 years",3597,274.47539107211
"16",2,"nonsevere","50-64 years",2344,250.963597430407
"17",2,"nonsevere","65-74 years",1179,227.826086956522
"18",2,"nonsevere","75+ years",1260,345.205479452055
"19",2,"severe","0-17 years",0,0
"20",2,"severe","18-29 years",1,0.127388535031847
"21",2,"severe","30-49 years",3,0.228920259442961
"22",2,"severe","50-64 years",7,0.749464668094218
"23",2,"severe","65-74 years",15,2.89855072463768
"24",2,"severe","75+ years",17,4.65753424657534
"25",3,"nonsevere","0-17 years",20489,1883.18014705882
"26",3,"nonsevere","18-29 years",14710,1873.88535031847
"27",3,"nonsevere","30-49 years",5533,422.205265165967
"28",3,"nonsevere","50-64 years",3808,407.708779443255
"29",3,"nonsevere","65-74 years",1845,356.521739130435
"30",3,"nonsevere","75+ years",1936,530.41095890411
"31",3,"severe","0-17 years",0,0
"32",3,"severe","18-29 years",4,0.509554140127389
"33",3,"severe","30-49 years",5,0.381533765738268
"34",3,"severe","50-64 years",15,1.60599571734475
"35",3,"severe","65-74 years",19,3.67149758454106
"36",3,"severe","75+ years",37,10.1369863013699
"37",4,"nonsevere","0-17 years",30194,2775.18382352941
"38",4,"nonsevere","18-29 years",22431,2857.45222929936
"39",4,"nonsevere","30-49 years",8492,647.996947729874
"40",4,"nonsevere","50-64 years",5904,632.119914346895
"41",4,"nonsevere","65-74 years",2830,546.859903381642
"42",4,"nonsevere","75+ years",2985,817.808219178082
"43",4,"severe","0-17 years",0,0
"44",4,"severe","18-29 years",3,0.382165605095541
"45",4,"severe","30-49 years",6,0.457840518885921
"46",4,"severe","50-64 years",22,2.35546038543897
"47",4,"severe","65-74 years",30,5.79710144927536
"48",4,"severe","75+ years",67,18.3561643835616
"49",5,"nonsevere","0-17 years",37181,3417.37132352941
"50",5,"nonsevere","18-29 years",28112,3581.14649681529
"51",5,"nonsevere","30-49 years",11086,845.936665394887
"52",5,"nonsevere","50-64 years",7482,801.070663811563
"53",5,"nonsevere","65-74 years",3578,691.400966183575
"54",5,"nonsevere","75+ years",3785,1036.98630136986
"55",5,"severe","0-17 years",0,0
"56",5,"severe","18-29 years",2,0.254777070063694
"57",5,"severe","30-49 years",8,0.610454025181228
"58",5,"severe","50-64 years",28,2.99785867237687
"59",5,"severe","65-74 years",28,5.41062801932367
"60",5,"severe","75+ years",66,18.0821917808219
"61",6,"nonsevere","0-17 years",38237,3514.43014705882
"62",6,"nonsevere","18-29 years",28276,3602.03821656051
"63",6,"nonsevere","30-49 years",11533,880.045784051889
"64",6,"nonsevere","50-64 years",8071,864.132762312634
"65",6,"nonsevere","65-74 years",3698,714.589371980676
"66",6,"nonsevere","75+ years",3884,1064.1095890411
"67",6,"severe","0-17 years",0,0
"68",6,"severe","18-29 years",9,1.14649681528662
"69",6,"severe","30-49 years",8,0.610454025181228
"70",6,"severe","50-64 years",37,3.96145610278373
"71",6,"severe","65-74 years",24,4.63768115942029
"72",6,"severe","75+ years",78,21.3698630136986
"73",7,"nonsevere","0-17 years",37974,3490.25735294118
"74",7,"nonsevere","18-29 years",28296,3604.58598726115
"75",7,"nonsevere","30-49 years",11880,906.524227394124
"76",7,"nonsevere","50-64 years",8438,903.426124197002
"77",7,"nonsevere","65-74 years",3960,765.217391304348
"78",7,"nonsevere","75+ years",4167,1141.64383561644
"79",7,"severe","0-17 years",0,0
"80",7,"severe","18-29 years",4,0.509554140127389
"81",7,"severe","30-49 years",10,0.763067531476536
"82",7,"severe","50-64 years",32,3.42612419700214
"83",7,"severe","65-74 years",36,6.95652173913043
"84",7,"severe","75+ years",85,23.2876712328767
"85",8,"nonsevere","0-17 years",36750,3377.75735294118
"86",8,"nonsevere","18-29 years",26813,3415.66878980892
"87",8,"nonsevere","30-49 years",12070,921.022510492179
"88",8,"nonsevere","50-64 years",8508,910.920770877944
"89",8,"nonsevere","65-74 years",4044,781.449275362319
"90",8,"nonsevere","75+ years",4115,1127.39726027397
"91",8,"severe","0-17 years",0,0
"92",8,"severe","18-29 years",9,1.14649681528662
"93",8,"severe","30-49 years",10,0.763067531476536
"94",8,"severe","50-64 years",34,3.64025695931477
"95",8,"severe","65-74 years",41,7.92270531400966
"96",8,"severe","75+ years",93,25.4794520547945
"97",9,"nonsevere","0-17 years",34590,3179.22794117647
"98",9,"nonsevere","18-29 years",25561,3256.17834394904
"99",9,"nonsevere","30-49 years",11890,907.287294925601
"100",9,"nonsevere","50-64 years",8311,889.82869379015
"101",9,"nonsevere","65-74 years",4030,778.743961352657
"102",9,"nonsevere","75+ years",4219,1155.8904109589
"103",9,"severe","0-17 years",0,0
"104",9,"severe","18-29 years",4,0.509554140127389
"105",9,"severe","30-49 years",4,0.305227012590614
"106",9,"severe","50-64 years",21,2.24839400428265
"107",9,"severe","65-74 years",33,6.3768115942029
"108",9,"severe","75+ years",103,28.2191780821918
"109",10,"nonsevere","0-17 years",34533,3173.98897058824
"110",10,"nonsevere","18-29 years",25938,3304.20382165605
"111",10,"nonsevere","30-49 years",12494,953.376573826784
"112",10,"nonsevere","50-64 years",8860,948.608137044968
"113",10,"nonsevere","65-74 years",4239,819.130434782609
"114",10,"nonsevere","75+ years",4284,1173.69863013699
"115",10,"severe","0-17 years",0,0
"116",10,"severe","18-29 years",3,0.382165605095541
"117",10,"severe","30-49 years",11,0.839374284624189
"118",10,"severe","50-64 years",28,2.99785867237687
"119",10,"severe","65-74 years",39,7.53623188405797
"120",10,"severe","75+ years",92,25.2054794520548
"121",11,"nonsevere","0-17 years",33621,3090.16544117647
"122",11,"nonsevere","18-29 years",24912,3173.50318471338
"123",11,"nonsevere","30-49 years",12660,966.043494849294
"124",11,"nonsevere","50-64 years",8814,943.683083511777
"125",11,"nonsevere","65-74 years",4215,814.492753623188
"126",11,"nonsevere","75+ years",4278,1172.05479452055
"127",11,"severe","0-17 years",0,0
"128",11,"severe","18-29 years",4,0.509554140127389
"129",11,"severe","30-49 years",13,0.991987790919496
"130",11,"severe","50-64 years",31,3.31905781584582
"131",11,"severe","65-74 years",43,8.30917874396135
"132",11,"severe","75+ years",95,26.027397260274
"133",12,"nonsevere","0-17 years",31425,2888.32720588235
"134",12,"nonsevere","18-29 years",23539,2998.59872611465
"135",12,"nonsevere","30-49 years",12514,954.902708889737
"136",12,"nonsevere","50-64 years",8930,956.10278372591
"137",12,"nonsevere","65-74 years",4120,796.135265700483
"138",12,"nonsevere","75+ years",4365,1195.8904109589
"139",12,"severe","0-17 years",0,0
"140",12,"severe","18-29 years",10,1.27388535031847
"141",12,"severe","30-49 years",11,0.839374284624189
"142",12,"severe","50-64 years",27,2.89079229122056
"143",12,"severe","65-74 years",42,8.11594202898551
"144",12,"severe","75+ years",83,22.7397260273973
"145",13,"nonsevere","0-17 years",28815,2648.4375
"146",13,"nonsevere","18-29 years",21436,2730.70063694267
"147",13,"nonsevere","30-49 years",11961,912.705074399084
"148",13,"nonsevere","50-64 years",8373,896.466809421842
"149",13,"nonsevere","65-74 years",4045,781.642512077295
"150",13,"nonsevere","75+ years",4181,1145.47945205479
"151",13,"severe","0-17 years",0,0
"152",13,"severe","18-29 years",4,0.509554140127389
"153",13,"severe","30-49 years",10,0.763067531476536
"154",13,"severe","50-64 years",30,3.21199143468951
"155",13,"severe","65-74 years",28,5.41062801932367
"156",13,"severe","75+ years",86,23.5616438356164
"157",14,"nonsevere","0-17 years",27324,2511.39705882353
"158",14,"nonsevere","18-29 years",20017,2549.93630573248
"159",14,"nonsevere","30-49 years",11486,876.459366653949
"160",14,"nonsevere","50-64 years",8367,895.824411134904
"161",14,"nonsevere","65-74 years",4003,773.526570048309
"162",14,"nonsevere","75+ years",4016,1100.27397260274
"163",14,"severe","0-17 years",0,0
"164",14,"severe","18-29 years",4,0.509554140127389
"165",14,"severe","30-49 years",11,0.839374284624189
"166",14,"severe","50-64 years",27,2.89079229122056
"167",14,"severe","65-74 years",34,6.57004830917874
"168",14,"severe","75+ years",69,18.9041095890411
"169",15,"nonsevere","0-17 years",25082,2305.33088235294
"170",15,"nonsevere","18-29 years",18785,2392.99363057325
"171",15,"nonsevere","30-49 years",10825,826.02060282335
"172",15,"nonsevere","50-64 years",8015,858.13704496788
"173",15,"nonsevere","65-74 years",3720,718.840579710145
"174",15,"nonsevere","75+ years",3855,1056.16438356164
"175",15,"severe","0-17 years",0,0
"176",15,"severe","18-29 years",2,0.254777070063694
"177",15,"severe","30-49 years",10,0.763067531476536
"178",15,"severe","50-64 years",27,2.89079229122056
"179",15,"severe","65-74 years",31,5.99033816425121
"180",15,"severe","75+ years",69,18.9041095890411
"181",16,"nonsevere","0-17 years",22523,2070.12867647059
"182",16,"nonsevere","18-29 years",16780,2137.5796178344
"183",16,"nonsevere","30-49 years",10039,766.043494849294
"184",16,"nonsevere","50-64 years",7395,791.755888650964
"185",16,"nonsevere","65-74 years",3406,658.16425120773
"186",16,"nonsevere","75+ years",3312,907.397260273973
"187",16,"severe","0-17 years",0,0
"188",16,"severe","18-29 years",4,0.509554140127389
"189",16,"severe","30-49 years",10,0.763067531476536
"190",16,"severe","50-64 years",18,1.9271948608137
"191",16,"severe","65-74 years",33,6.3768115942029
"192",16,"severe","75+ years",55,15.0684931506849
"193",17,"nonsevere","0-17 years",20016,1839.70588235294
"194",17,"nonsevere","18-29 years",15202,1936.56050955414
"195",17,"nonsevere","30-49 years",9221,703.624570774513
"196",17,"nonsevere","50-64 years",6670,714.132762312634
"197",17,"nonsevere","65-74 years",3078,594.782608695652
"198",17,"nonsevere","75+ years",2975,815.068493150685
"199",17,"severe","0-17 years",0,0
"200",17,"severe","18-29 years",3,0.382165605095541
"201",17,"severe","30-49 years",4,0.305227012590614
"202",17,"severe","50-64 years",26,2.78372591006424
"203",17,"severe","65-74 years",28,5.41062801932367
"204",17,"severe","75+ years",73,20
"205",18,"nonsevere","0-17 years",18890,1736.21323529412
"206",18,"nonsevere","18-29 years",14261,1816.68789808917
"207",18,"nonsevere","30-49 years",8620,657.764212132774
"208",18,"nonsevere","50-64 years",6313,675.910064239829
"209",18,"nonsevere","65-74 years",2876,555.748792270531
"210",18,"nonsevere","75+ years",2916,798.904109589041
"211",18,"severe","0-17 years",0,0
"212",18,"severe","18-29 years",4,0.509554140127389
"213",18,"severe","30-49 years",9,0.686760778328882
"214",18,"severe","50-64 years",21,2.24839400428265
"215",18,"severe","65-74 years",20,3.86473429951691
"216",18,"severe","75+ years",58,15.8904109589041
"217",19,"nonsevere","0-17 years",20121,1849.35661764706
"218",19,"nonsevere","18-29 years",15069,1919.6178343949
"219",19,"nonsevere","30-49 years",9142,697.596337275849
"220",19,"nonsevere","50-64 years",6552,701.498929336188
"221",19,"nonsevere","65-74 years",3100,599.033816425121
"222",19,"nonsevere","75+ years",2975,815.068493150685
"223",19,"severe","0-17 years",0,0
"224",19,"severe","18-29 years",2,0.254777070063694
"225",19,"severe","30-49 years",6,0.457840518885921
"226",19,"severe","50-64 years",22,2.35546038543897
"227",19,"severe","65-74 years",24,4.63768115942029
"228",19,"severe","75+ years",54,14.7945205479452
"229",20,"nonsevere","0-17 years",21612,1986.39705882353
"230",20,"nonsevere","18-29 years",16317,2078.59872611465
"231",20,"nonsevere","30-49 years",9696,739.870278519649
"232",20,"nonsevere","50-64 years",6781,726.017130620985
"233",20,"nonsevere","65-74 years",3208,619.903381642512
"234",20,"nonsevere","75+ years",3158,865.205479452055
"235",20,"severe","0-17 years",0,0
"236",20,"severe","18-29 years",3,0.382165605095541
"237",20,"severe","30-49 years",4,0.305227012590614
"238",20,"severe","50-64 years",30,3.21199143468951
"239",20,"severe","65-74 years",27,5.21739130434783
"240",20,"severe","75+ years",56,15.3424657534247
"241",21,"nonsevere","0-17 years",23361,2147.15073529412
"242",21,"nonsevere","18-29 years",17274,2200.50955414013
"243",21,"nonsevere","30-49 years",10571,806.638687523846
"244",21,"nonsevere","50-64 years",7293,780.835117773019
"245",21,"nonsevere","65-74 years",3337,644.830917874396
"246",21,"nonsevere","75+ years",3323,910.41095890411
"247",21,"severe","0-17 years",0,0
"248",21,"severe","18-29 years",3,0.382165605095541
"249",21,"severe","30-49 years",8,0.610454025181228
"250",21,"severe","50-64 years",18,1.9271948608137
"251",21,"severe","65-74 years",34,6.57004830917874
"252",21,"severe","75+ years",65,17.8082191780822
"253",22,"nonsevere","0-17 years",25793,2370.68014705882
"254",22,"nonsevere","18-29 years",19381,2468.91719745223
"255",22,"nonsevere","30-49 years",11327,864.326592903472
"256",22,"nonsevere","50-64 years",8045,861.34903640257
"257",22,"nonsevere","65-74 years",3725,719.806763285024
"258",22,"nonsevere","75+ years",3573,978.904109589041
"259",22,"severe","0-17 years",0,0
"260",22,"severe","18-29 years",4,0.509554140127389
"261",22,"severe","30-49 years",8,0.610454025181228
"262",22,"severe","50-64 years",20,2.14132762312634
"263",22,"severe","65-74 years",27,5.21739130434783
"264",22,"severe","75+ years",54,14.7945205479452
"265",23,"nonsevere","0-17 years",35186,3234.00735294118
"266",23,"nonsevere","18-29 years",25818,3288.91719745223
"267",23,"nonsevere","30-49 years",15157,1156.58145745899
"268",23,"nonsevere","50-64 years",10822,1158.67237687366
"269",23,"nonsevere","65-74 years",4886,944.154589371981
"270",23,"nonsevere","75+ years",4930,1350.68493150685
"271",23,"severe","0-17 years",0,0
"272",23,"severe","18-29 years",4,0.509554140127389
"273",23,"severe","30-49 years",15,1.1446012972148
"274",23,"severe","50-64 years",36,3.85438972162741
"275",23,"severe","65-74 years",29,5.60386473429952
"276",23,"severe","75+ years",109,29.8630136986301
"277",24,"nonsevere","0-17 years",46102,4237.31617647059
"278",24,"nonsevere","18-29 years",34149,4350.19108280255
"279",24,"nonsevere","30-49 years",20787,1586.18847768027
"280",24,"nonsevere","50-64 years",14373,1538.86509635974
"281",24,"nonsevere","65-74 years",6661,1287.14975845411
"282",24,"nonsevere","75+ years",6627,1815.61643835616
"283",24,"severe","0-17 years",0,0
"284",24,"severe","18-29 years",12,1.52866242038217
"285",24,"severe","30-49 years",13,0.991987790919496
"286",24,"severe","50-64 years",48,5.13918629550321
"287",24,"severe","65-74 years",46,8.88888888888889
"288",24,"severe","75+ years",132,36.1643835616438
"289",25,"nonsevere","0-17 years",58010,5331.80147058824
"290",25,"nonsevere","18-29 years",42531,5417.96178343949
"291",25,"nonsevere","30-49 years",26726,2039.37428462419
"292",25,"nonsevere","50-64 years",18890,2022.48394004283
"293",25,"nonsevere","65-74 years",8715,1684.05797101449
"294",25,"nonsevere","75+ years",8590,2353.42465753425
