"","weeks","type","age_group","cases","inc"
"1",1,"nonsevere","0-17 years",9023,829.319852941176
"2",1,"nonsevere","18-29 years",5187,660.764331210191
"3",1,"nonsevere","30-49 years",2053,156.657764212133
"4",1,"nonsevere","50-64 years",1134,121.413276231263
"5",1,"nonsevere","65-74 years",647,125.024154589372
"6",1,"nonsevere","75+ years",730,200
"7",1,"severe","0-17 years",0,0
"8",1,"severe","18-29 years",1,0.127388535031847
"9",1,"severe","30-49 years",4,0.305227012590614
"10",1,"severe","50-64 years",3,0.321199143468951
"11",1,"severe","65-74 years",6,1.15942028985507
"12",1,"severe","75+ years",15,4.10958904109589
"13",2,"nonsevere","0-17 years",11341,1042.37132352941
"14",2,"nonsevere","18-29 years",7574,964.84076433121
"15",2,"nonsevere","30-49 years",2872,219.152995040061
"16",2,"nonsevere","50-64 years",1628,174.304068522484
"17",2,"nonsevere","65-74 years",892,172.367149758454
"18",2,"nonsevere","75+ years",995,272.602739726027
"19",2,"severe","0-17 years",0,0
"20",2,"severe","18-29 years",3,0.382165605095541
"21",2,"severe","30-49 years",1,0.0763067531476536
"22",2,"severe","50-64 years",9,0.963597430406852
"23",2,"severe","65-74 years",9,1.73913043478261
"24",2,"severe","75+ years",23,6.3013698630137
"25",3,"nonsevere","0-17 years",14873,1367.00367647059
"26",3,"nonsevere","18-29 years",11034,1405.6050955414
"27",3,"nonsevere","30-49 years",3930,299.885539870279
"28",3,"nonsevere","50-64 years",2420,259.100642398287
"29",3,"nonsevere","65-74 years",1254,242.31884057971
"30",3,"nonsevere","75+ years",1417,388.219178082192
"31",3,"severe","0-17 years",0,0
"32",3,"severe","18-29 years",2,0.254777070063694
"33",3,"severe","30-49 years",6,0.457840518885921
"34",3,"severe","50-64 years",9,0.963597430406852
"35",3,"severe","65-74 years",13,2.51207729468599
"36",3,"severe","75+ years",26,7.12328767123288
"37",4,"nonsevere","0-17 years",19697,1810.38602941176
"38",4,"nonsevere","18-29 years",14614,1861.65605095541
"39",4,"nonsevere","30-49 years",5445,415.490270888974
"40",4,"nonsevere","50-64 years",3405,364.561027837259
"41",4,"nonsevere","65-74 years",1679,324.444444444444
"42",4,"nonsevere","75+ years",1922,526.575342465753
"43",4,"severe","0-17 years",0,0
"44",4,"severe","18-29 years",4,0.509554140127389
"45",4,"severe","30-49 years",8,0.610454025181228
"46",4,"severe","50-64 years",8,0.856531049250535
"47",4,"severe","65-74 years",14,2.70531400966184
"48",4,"severe","75+ years",35,9.58904109589041
"49",5,"nonsevere","0-17 years",23957,2201.93014705882
"50",5,"nonsevere","18-29 years",18076,2302.67515923567
"51",5,"nonsevere","30-49 years",6775,516.978252575353
"52",5,"nonsevere","50-64 years",4239,453.854389721627
"53",5,"nonsevere","65-74 years",2079,401.739130434783
"54",5,"nonsevere","75+ years",2321,635.890410958904
"55",5,"severe","0-17 years",0,0
"56",5,"severe","18-29 years",4,0.509554140127389
"57",5,"severe","30-49 years",5,0.381533765738268
"58",5,"severe","50-64 years",13,1.39186295503212
"59",5,"severe","65-74 years",23,4.44444444444444
"60",5,"severe","75+ years",42,11.5068493150685
"61",6,"nonsevere","0-17 years",25837,2374.72426470588
"62",6,"nonsevere","18-29 years",19285,2456.68789808917
"63",6,"nonsevere","30-49 years",7481,570.850820297596
"64",6,"nonsevere","50-64 years",4565,488.758029978587
"65",6,"nonsevere","65-74 years",2279,440.386473429952
"66",6,"nonsevere","75+ years",2557,700.547945205479
"67",6,"severe","0-17 years",0,0
"68",6,"severe","18-29 years",5,0.636942675159236
"69",6,"severe","30-49 years",5,0.381533765738268
"70",6,"severe","50-64 years",15,1.60599571734475
"71",6,"severe","65-74 years",18,3.47826086956522
"72",6,"severe","75+ years",62,16.986301369863
