"","weeks","type","age_group","cases","inc"
"1",1,"nonsevere","0-17 years",9962,915.625
"2",1,"nonsevere","18-29 years",5658,720.764331210191
"3",1,"nonsevere","30-49 years",1932,147.424647081267
"4",1,"nonsevere","50-64 years",1194,127.837259100642
"5",1,"nonsevere","65-74 years",636,122.898550724638
"6",1,"nonsevere","75+ years",759,207.945205479452
"7",1,"severe","0-17 years",0,0
"8",1,"severe","18-29 years",1,0.127388535031847
"9",1,"severe","30-49 years",1,0.0763067531476536
"10",1,"severe","50-64 years",4,0.428265524625268
"11",1,"severe","65-74 years",1,0.193236714975845
"12",1,"severe","75+ years",22,6.02739726027397
"13",2,"nonsevere","0-17 years",13448,1236.02941176471
"14",2,"nonsevere","18-29 years",9128,1162.8025477707
"15",2,"nonsevere","30-49 years",3003,229.149179702404
"16",2,"nonsevere","50-64 years",1834,196.359743040685
"17",2,"nonsevere","65-74 years",939,181.449275362319
"18",2,"nonsevere","75+ years",1023,280.27397260274
"19",2,"severe","0-17 years",0,0
"20",2,"severe","18-29 years",1,0.127388535031847
"21",2,"severe","30-49 years",3,0.228920259442961
"22",2,"severe","50-64 years",9,0.963597430406852
"23",2,"severe","65-74 years",5,0.966183574879227
"24",2,"severe","75+ years",21,5.75342465753425
"25",3,"nonsevere","0-17 years",19232,1767.64705882353
"26",3,"nonsevere","18-29 years",14063,1791.46496815287
"27",3,"nonsevere","30-49 years",4508,343.990843189622
"28",3,"nonsevere","50-64 years",2803,300.107066381156
"29",3,"nonsevere","65-74 years",1370,264.734299516908
"30",3,"nonsevere","75+ years",1575,431.506849315069
"31",3,"severe","0-17 years",0,0
"32",3,"severe","18-29 years",2,0.254777070063694
"33",3,"severe","30-49 years",7,0.534147272033575
"34",3,"severe","50-64 years",15,1.60599571734475
"35",3,"severe","65-74 years",7,1.35265700483092
"36",3,"severe","75+ years",34,9.31506849315068
"37",4,"nonsevere","0-17 years",27871,2561.67279411765
"38",4,"nonsevere","18-29 years",20519,2613.88535031847
"39",4,"nonsevere","30-49 years",7005,534.528805799313
"40",4,"nonsevere","50-64 years",4149,444.218415417559
"41",4,"nonsevere","65-74 years",2127,411.014492753623
"42",4,"nonsevere","75+ years",2265,620.547945205479
"43",4,"severe","0-17 years",0,0
"44",4,"severe","18-29 years",10,1.27388535031847
"45",4,"severe","30-49 years",3,0.228920259442961
"46",4,"severe","50-64 years",14,1.49892933618844
"47",4,"severe","65-74 years",12,2.31884057971015
"48",4,"severe","75+ years",43,11.7808219178082
"49",5,"nonsevere","0-17 years",36227,3329.6875
"50",5,"nonsevere","18-29 years",26624,3391.5923566879
"51",5,"nonsevere","30-49 years",9343,712.933994658527
"52",5,"nonsevere","50-64 years",5666,606.638115631692
"53",5,"nonsevere","65-74 years",2872,554.975845410628
"54",5,"nonsevere","75+ years",3034,831.232876712329
"55",5,"severe","0-17 years",0,0
"56",5,"severe","18-29 years",7,0.89171974522293
"57",5,"severe","30-49 years",6,0.457840518885921
"58",5,"severe","50-64 years",14,1.49892933618844
"59",5,"severe","65-74 years",19,3.67149758454106
"60",5,"severe","75+ years",67,18.3561643835616
"61",6,"nonsevere","0-17 years",41561,3819.94485294118
"62",6,"nonsevere","18-29 years",30601,3898.21656050955
"63",6,"nonsevere","30-49 years",11192,854.025181228539
"64",6,"nonsevere","50-64 years",6622,708.993576017131
"65",6,"nonsevere","65-74 years",3368,650.821256038647
"66",6,"nonsevere","75+ years",3616,990.684931506849
"67",6,"severe","0-17 years",0,0
"68",6,"severe","18-29 years",5,0.636942675159236
"69",6,"severe","30-49 years",12,0.915681037771843
"70",6,"severe","50-64 years",26,2.78372591006424
"71",6,"severe","65-74 years",35,6.76328502415459
"72",6,"severe","75+ years",76,20.8219178082192
"73",7,"nonsevere","0-17 years",45180,4152.57352941176
"74",7,"nonsevere","18-29 years",33388,4253.24840764331
"75",7,"nonsevere","30-49 years",12432,948.645555131629
"76",7,"nonsevere","50-64 years",7639,817.880085653105
"77",7,"nonsevere","65-74 years",3806,735.458937198068
"78",7,"nonsevere","75+ years",4152,1137.53424657534
"79",7,"severe","0-17 years",0,0
"80",7,"severe","18-29 years",5,0.636942675159236
"81",7,"severe","30-49 years",12,0.915681037771843
"82",7,"severe","50-64 years",30,3.21199143468951
"83",7,"severe","65-74 years",38,7.34299516908213
"84",7,"severe","75+ years",70,19.1780821917808
"85",8,"nonsevere","0-17 years",47407,4357.26102941176
"86",8,"nonsevere","18-29 years",35040,4463.69426751592
"87",8,"nonsevere","30-49 years",14167,1081.03777184281
"88",8,"nonsevere","50-64 years",8606,921.413276231263
"89",8,"nonsevere","65-74 years",4447,859.323671497584
"90",8,"nonsevere","75+ years",4597,1259.45205479452
"91",8,"severe","0-17 years",0,0
"92",8,"severe","18-29 years",11,1.40127388535032
"93",8,"severe","30-49 years",9,0.686760778328882
"94",8,"severe","50-64 years",42,4.49678800856531
"95",8,"severe","65-74 years",34,6.57004830917874
"96",8,"severe","75+ years",100,27.3972602739726
"97",9,"nonsevere","0-17 years",48424,4450.73529411765
"98",9,"nonsevere","18-29 years",36215,4613.37579617834
"99",9,"nonsevere","30-49 years",15017,1145.89851201831
"100",9,"nonsevere","50-64 years",9269,992.398286937902
"101",9,"nonsevere","65-74 years",4798,927.149758454106
"102",9,"nonsevere","75+ years",5061,1386.57534246575
"103",9,"severe","0-17 years",0,0
"104",9,"severe","18-29 years",12,1.52866242038217
"105",9,"severe","30-49 years",28,2.1365890881343
"106",9,"severe","50-64 years",39,4.17558886509636
"107",9,"severe","65-74 years",41,7.92270531400966
"108",9,"severe","75+ years",119,32.6027397260274
"109",10,"nonsevere","0-17 years",51187,4704.6875
"110",10,"nonsevere","18-29 years",37957,4835.28662420382
"111",10,"nonsevere","30-49 years",17211,1313.31552842427
"112",10,"nonsevere","50-64 years",10649,1140.14989293362
"113",10,"nonsevere","65-74 years",5618,1085.6038647343
"114",10,"nonsevere","75+ years",5879,1610.68493150685
"115",10,"severe","0-17 years",0,0
"116",10,"severe","18-29 years",8,1.01910828025478
"117",10,"severe","30-49 years",24,1.83136207554369
"118",10,"severe","50-64 years",50,5.35331905781585
"119",10,"severe","65-74 years",50,9.66183574879227
"120",10,"severe","75+ years",137,37.5342465753425
"121",11,"nonsevere","0-17 years",50984,4686.02941176471
"122",11,"nonsevere","18-29 years",37763,4810.57324840764
"123",11,"nonsevere","30-49 years",18135,1383.8229683327
"124",11,"nonsevere","50-64 years",11639,1246.14561027837
"125",11,"nonsevere","65-74 years",6068,1172.56038647343
"126",11,"nonsevere","75+ years",6203,1699.45205479452
"127",11,"severe","0-17 years",0,0
"128",11,"severe","18-29 years",6,0.764331210191083
"129",11,"severe","30-49 years",13,0.991987790919496
"130",11,"severe","50-64 years",39,4.17558886509636
"131",11,"severe","65-74 years",50,9.66183574879227
"132",11,"severe","75+ years",141,38.6301369863014
"133",12,"nonsevere","0-17 years",47834,4396.50735294118
"134",12,"nonsevere","18-29 years",35040,4463.69426751592
"135",12,"nonsevere","30-49 years",18342,1399.61846623426
"136",12,"nonsevere","50-64 years",11844,1268.09421841542
"137",12,"nonsevere","65-74 years",6297,1216.8115942029
"138",12,"nonsevere","75+ years",6525,1787.67123287671
"139",12,"severe","0-17 years",0,0
"140",12,"severe","18-29 years",5,0.636942675159236
"141",12,"severe","30-49 years",10,0.763067531476536
"142",12,"severe","50-64 years",40,4.28265524625268
"143",12,"severe","65-74 years",54,10.4347826086957
"144",12,"severe","75+ years",126,34.5205479452055
"145",13,"nonsevere","0-17 years",42509,3907.07720588235
"146",13,"nonsevere","18-29 years",31222,3977.32484076433
"147",13,"nonsevere","30-49 years",17439,1330.71346814193
"148",13,"nonsevere","50-64 years",11273,1206.95931477516
"149",13,"nonsevere","65-74 years",6022,1163.67149758454
"150",13,"nonsevere","75+ years",6165,1689.04109589041
"151",13,"severe","0-17 years",0,0
"152",13,"severe","18-29 years",8,1.01910828025478
"153",13,"severe","30-49 years",18,1.37352155665776
"154",13,"severe","50-64 years",47,5.0321199143469
"155",13,"severe","65-74 years",61,11.7874396135266
"156",13,"severe","75+ years",136,37.2602739726027
"157",14,"nonsevere","0-17 years",35559,3268.29044117647
"158",14,"nonsevere","18-29 years",25922,3302.16560509554
"159",14,"nonsevere","30-49 years",15623,1192.14040442579
"160",14,"nonsevere","50-64 years",10370,1110.27837259101
"161",14,"nonsevere","65-74 years",5448,1052.75362318841
"162",14,"nonsevere","75+ years",5322,1458.08219178082
"163",14,"severe","0-17 years",0,0
"164",14,"severe","18-29 years",4,0.509554140127389
"165",14,"severe","30-49 years",12,0.915681037771843
"166",14,"severe","50-64 years",42,4.49678800856531
"167",14,"severe","65-74 years",58,11.207729468599
"168",14,"severe","75+ years",120,32.8767123287671
"169",15,"nonsevere","0-17 years",28354,2606.06617647059
"170",15,"nonsevere","18-29 years",20998,2674.90445859873
"171",15,"nonsevere","30-49 years",13342,1018.08470049599
"172",15,"nonsevere","50-64 years",8600,920.770877944326
"173",15,"nonsevere","65-74 years",4505,870.531400966184
"174",15,"nonsevere","75+ years",4473,1225.47945205479
"175",15,"severe","0-17 years",0,0
"176",15,"severe","18-29 years",2,0.254777070063694
"177",15,"severe","30-49 years",18,1.37352155665776
"178",15,"severe","50-64 years",29,3.10492505353319
"179",15,"severe","65-74 years",37,7.14975845410628
"180",15,"severe","75+ years",87,23.8356164383562
"181",16,"nonsevere","0-17 years",22056,2027.20588235294
"182",16,"nonsevere","18-29 years",16586,2112.86624203822
"183",16,"nonsevere","30-49 years",10623,810.606638687524
"184",16,"nonsevere","50-64 years",6998,749.250535331906
"185",16,"nonsevere","65-74 years",3519,680
"186",16,"nonsevere","75+ years",3501,959.178082191781
"187",16,"severe","0-17 years",0,0
"188",16,"severe","18-29 years",8,1.01910828025478
"189",16,"severe","30-49 years",5,0.381533765738268
"190",16,"severe","50-64 years",21,2.24839400428265
"191",16,"severe","65-74 years",39,7.53623188405797
"192",16,"severe","75+ years",62,16.986301369863
"193",17,"nonsevere","0-17 years",16815,1545.49632352941
"194",17,"nonsevere","18-29 years",12466,1588.02547770701
"195",17,"nonsevere","30-49 years",8375,639.069057611599
"196",17,"nonsevere","50-64 years",5318,569.379014989293
"197",17,"nonsevere","65-74 years",2800,541.062801932367
"198",17,"nonsevere","75+ years",2742,751.232876712329
"199",17,"severe","0-17 years",0,0
"200",17,"severe","18-29 years",2,0.254777070063694
"201",17,"severe","30-49 years",3,0.228920259442961
"202",17,"severe","50-64 years",20,2.14132762312634
"203",17,"severe","65-74 years",31,5.99033816425121
"204",17,"severe","75+ years",61,16.7123287671233
"205",18,"nonsevere","0-17 years",14367,1320.49632352941
"206",18,"nonsevere","18-29 years",10550,1343.94904458599
"207",18,"nonsevere","30-49 years",7060,538.725677222434
