"","weeks","age_group","inc"
"1",0,"18-29 years",0
"2",0,"30-49 years",0
"3",0,"50-64 years",0.214132762312634
"4",0,"65-74 years",0
"5",0,"75+ years",0.547945205479452
"6",1,"18-29 years",0.254777070063694
"7",1,"30-49 years",0
"8",1,"50-64 years",0.428265524625268
"9",1,"65-74 years",1.15942028985507
"10",1,"75+ years",5.2054794520548
"11",2,"18-29 years",0.764331210191083
"12",2,"30-49 years",0.152613506295307
"13",2,"50-64 years",0.963597430406852
"14",2,"65-74 years",2.89855072463768
"15",2,"75+ years",7.3972602739726
"16",3,"18-29 years",0.382165605095541
"17",3,"30-49 years",0.305227012590614
"18",3,"50-64 years",0.856531049250535
"19",3,"65-74 years",2.31884057971015
"20",3,"75+ years",9.58904109589041
"21",4,"18-29 years",0.509554140127389
"22",4,"30-49 years",0.839374284624189
"23",4,"50-64 years",2.35546038543897
"24",4,"65-74 years",4.83091787439614
"25",4,"75+ years",12.8767123287671
"26",5,"18-29 years",0.89171974522293
"27",5,"30-49 years",0.534147272033575
"28",5,"50-64 years",2.46252676659529
"29",5,"65-74 years",2.89855072463768
"30",5,"75+ years",16.986301369863
"31",6,"18-29 years",0.509554140127389
"32",6,"30-49 years",0.305227012590614
"33",6,"50-64 years",1.82012847965739
"34",6,"65-74 years",4.2512077294686
"35",6,"75+ years",18.9041095890411
"36",7,"18-29 years",0.382165605095541
"37",7,"30-49 years",0.610454025181228
"38",7,"50-64 years",2.03426124197002
"39",7,"65-74 years",4.63768115942029
"40",7,"75+ years",16.986301369863
"41",8,"18-29 years",0.509554140127389
"42",8,"30-49 years",0.839374284624189
"43",8,"50-64 years",2.14132762312634
"44",8,"65-74 years",6.76328502415459
"45",8,"75+ years",16.1643835616438
"46",9,"18-29 years",0.636942675159236
"47",9,"30-49 years",0.381533765738268
"48",9,"50-64 years",1.9271948608137
"49",9,"65-74 years",7.14975845410628
"50",9,"75+ years",18.0821917808219
"51",10,"18-29 years",0.382165605095541
"52",10,"30-49 years",0.686760778328882
"53",10,"50-64 years",2.67665952890792
"54",10,"65-74 years",9.08212560386473
"55",10,"75+ years",23.5616438356164
"56",11,"18-29 years",0.764331210191083
"57",11,"30-49 years",1.1446012972148
"58",11,"50-64 years",3.21199143468951
"59",11,"65-74 years",7.34299516908213
"60",11,"75+ years",25.2054794520548
"61",12,"18-29 years",1.14649681528662
"62",12,"30-49 years",0.991987790919496
"63",12,"50-64 years",3.53319057815846
"64",12,"65-74 years",8.69565217391304
"65",12,"75+ years",29.041095890411
"66",13,"18-29 years",0.254777070063694
"67",13,"30-49 years",0.839374284624189
"68",13,"50-64 years",5.0321199143469
"69",13,"65-74 years",7.14975845410628
"70",13,"75+ years",28.4931506849315
"71",14,"18-29 years",1.52866242038217
"72",14,"30-49 years",1.29721480351011
"73",14,"50-64 years",4.49678800856531
"74",14,"65-74 years",7.53623188405797
"75",14,"75+ years",29.8630136986301
"76",15,"18-29 years",0.509554140127389
"77",15,"30-49 years",1.22090805036246
"78",15,"50-64 years",3.74732334047109
"79",15,"65-74 years",8.5024154589372
"80",15,"75+ years",28.7671232876712
"81",16,"18-29 years",0.636942675159236
"82",16,"30-49 years",0.991987790919496
"83",16,"50-64 years",3.53319057815846
"84",16,"65-74 years",6.3768115942029
"85",16,"75+ years",27.1232876712329
"86",17,"18-29 years",0.636942675159236
"87",17,"30-49 years",0.457840518885921
"88",17,"50-64 years",3.53319057815846
"89",17,"65-74 years",6.3768115942029
"90",17,"75+ years",20.5479452054795
"91",18,"18-29 years",0.636942675159236
"92",18,"30-49 years",0.763067531476536
"93",18,"50-64 years",4.28265524625268
"94",18,"65-74 years",7.72946859903382
"95",18,"75+ years",20.8219178082192
"96",19,"18-29 years",0.509554140127389
"97",19,"30-49 years",1.06829454406715
"98",19,"50-64 years",2.78372591006424
"99",19,"65-74 years",6.18357487922705
"100",19,"75+ years",24.1095890410959
"101",20,"18-29 years",0.382165605095541
"102",20,"30-49 years",0.991987790919496
"103",20,"50-64 years",3.53319057815846
"104",20,"65-74 years",5.79710144927536
"105",20,"75+ years",26.8493150684932
"106",21,"18-29 years",0.89171974522293
"107",21,"30-49 years",1.37352155665776
"108",21,"50-64 years",3.53319057815846
"109",21,"65-74 years",7.34299516908213
"110",21,"75+ years",24.1095890410959
"111",22,"18-29 years",0.764331210191083
"112",22,"30-49 years",1.1446012972148
"113",22,"50-64 years",3.31905781584582
"114",22,"65-74 years",7.14975845410628
"115",22,"75+ years",24.1095890410959
"116",23,"18-29 years",1.14649681528662
"117",23,"30-49 years",0.915681037771843
"118",23,"50-64 years",5.56745182012848
"119",23,"65-74 years",11.7874396135266
"120",23,"75+ years",37.8082191780822
"121",24,"18-29 years",0.764331210191083
"122",24,"30-49 years",1.52613506295307
"123",24,"50-64 years",6.3169164882227
"124",24,"65-74 years",12.1739130434783
"125",24,"75+ years",34.2465753424658
"126",25,"18-29 years",1.01910828025478
"127",25,"30-49 years",1.75505532239603
"128",25,"50-64 years",5.46038543897216
"129",25,"65-74 years",13.5265700483092
"130",25,"75+ years",46.8493150684931
"131",26,"18-29 years",0.509554140127389
"132",26,"30-49 years",2.1365890881343
"133",26,"50-64 years",6.85224839400428
"134",26,"65-74 years",15.2657004830918
"135",26,"75+ years",44.6575342465753
"136",27,"18-29 years",0.764331210191083
"137",27,"30-49 years",1.83136207554369
"138",27,"50-64 years",5.88865096359743
"139",27,"65-74 years",17.0048309178744
"140",27,"75+ years",44.1095890410959
"141",28,"18-29 years",0.89171974522293
"142",28,"30-49 years",1.06829454406715
"143",28,"50-64 years",5.99571734475375
"144",28,"65-74 years",12.3671497584541
"145",28,"75+ years",41.3698630136986
"146",29,"18-29 years",0.764331210191083
"147",29,"30-49 years",1.06829454406715
"148",29,"50-64 years",4.28265524625268
"149",29,"65-74 years",9.46859903381642
"150",29,"75+ years",29.3150684931507
"151",30,"18-29 years",0.764331210191083
"152",30,"30-49 years",1.37352155665776
"153",30,"50-64 years",4.49678800856531
"154",30,"65-74 years",11.4009661835749
"155",30,"75+ years",28.2191780821918
"156",31,"18-29 years",0.764331210191083
"157",31,"30-49 years",0.915681037771843
"158",31,"50-64 years",4.49678800856531
"159",31,"65-74 years",8.69565217391304
"160",31,"75+ years",22.7397260273973
"161",32,"18-29 years",0.127388535031847
"162",32,"30-49 years",0.457840518885921
"163",32,"50-64 years",2.35546038543897
"164",32,"65-74 years",8.11594202898551
"165",32,"75+ years",18.9041095890411
"166",33,"18-29 years",0.509554140127389
"167",33,"30-49 years",0.915681037771843
"168",33,"50-64 years",2.35546038543897
"169",33,"65-74 years",6.18357487922705
"170",33,"75+ years",15.8904109589041
"171",34,"18-29 years",0.764331210191083
"172",34,"30-49 years",0.381533765738268
"173",34,"50-64 years",2.46252676659529
"174",34,"65-74 years",7.34299516908213
"175",34,"75+ years",17.2602739726027
"176",35,"18-29 years",0
"177",35,"30-49 years",0.686760778328882
"178",35,"50-64 years",2.03426124197002
"179",35,"65-74 years",5.79710144927536
"180",35,"75+ years",15.3424657534247
"181",36,"18-29 years",0.509554140127389
"182",36,"30-49 years",0.534147272033575
"183",36,"50-64 years",2.24839400428265
"184",36,"65-74 years",5.79710144927536
"185",36,"75+ years",18.9041095890411
"186",37,"18-29 years",0.254777070063694
"187",37,"30-49 years",0.457840518885921
"188",37,"50-64 years",1.2847965738758
"189",37,"65-74 years",3.09178743961353
"190",37,"75+ years",14.2465753424658
"191",38,"18-29 years",0.127388535031847
"192",38,"30-49 years",0.228920259442961
"193",38,"50-64 years",1.49892933618844
"194",38,"65-74 years",3.47826086956522
"195",38,"75+ years",9.86301369863014
"196",39,"18-29 years",0.254777070063694
"197",39,"30-49 years",0.228920259442961
"198",39,"50-64 years",1.60599571734475
"199",39,"65-74 years",5.41062801932367
"200",39,"75+ years",12.0547945205479
