"","weeks","type","age_group","cases","inc"
"1",1,"nonsevere","0-17 years",8758,804.963235294118
"2",1,"nonsevere","18-29 years",5160,657.324840764331
"3",1,"nonsevere","30-49 years",1960,149.561236169401
"4",1,"nonsevere","50-64 years",1309,140.149892933619
"5",1,"nonsevere","65-74 years",698,134.87922705314
"6",1,"nonsevere","75+ years",777,212.876712328767
"7",1,"severe","0-17 years",0,0
"8",1,"severe","18-29 years",0,0
"9",1,"severe","30-49 years",0,0
"10",1,"severe","50-64 years",4,0.428265524625268
"11",1,"severe","65-74 years",6,1.15942028985507
"12",1,"severe","75+ years",14,3.83561643835616
"13",2,"nonsevere","0-17 years",10623,976.378676470588
"14",2,"nonsevere","18-29 years",7424,945.732484076433
"15",2,"nonsevere","30-49 years",2745,209.462037390309
"16",2,"nonsevere","50-64 years",1926,206.209850107066
"17",2,"nonsevere","65-74 years",888,171.594202898551
"18",2,"nonsevere","75+ years",937,256.712328767123
"19",2,"severe","0-17 years",0,0
"20",2,"severe","18-29 years",0,0
"21",2,"severe","30-49 years",4,0.305227012590614
"22",2,"severe","50-64 years",9,0.963597430406852
"23",2,"severe","65-74 years",6,1.15942028985507
"24",2,"severe","75+ years",21,5.75342465753425
"25",3,"nonsevere","0-17 years",13860,1273.89705882353
"26",3,"nonsevere","18-29 years",10419,1327.26114649682
"27",3,"nonsevere","30-49 years",3819,291.415490270889
"28",3,"nonsevere","50-64 years",2488,266.381156316916
"29",3,"nonsevere","65-74 years",1204,232.657004830918
"30",3,"nonsevere","75+ years",1350,369.86301369863
"31",3,"severe","0-17 years",0,0
"32",3,"severe","18-29 years",4,0.509554140127389
"33",3,"severe","30-49 years",1,0.0763067531476536
"34",3,"severe","50-64 years",6,0.642398286937902
"35",3,"severe","65-74 years",15,2.89855072463768
"36",3,"severe","75+ years",27,7.3972602739726
"37",4,"nonsevere","0-17 years",18679,1716.81985294118
"38",4,"nonsevere","18-29 years",13958,1778.08917197452
"39",4,"nonsevere","30-49 years",5238,399.694772987409
"40",4,"nonsevere","50-64 years",3583,383.618843683084
"41",4,"nonsevere","65-74 years",1687,325.990338164251
"42",4,"nonsevere","75+ years",1801,493.424657534247
"43",4,"severe","0-17 years",0,0
"44",4,"severe","18-29 years",1,0.127388535031847
"45",4,"severe","30-49 years",5,0.381533765738268
"46",4,"severe","50-64 years",14,1.49892933618844
"47",4,"severe","65-74 years",16,3.09178743961353
"48",4,"severe","75+ years",41,11.2328767123288
"49",5,"nonsevere","0-17 years",22794,2095.03676470588
"50",5,"nonsevere","18-29 years",17318,2206.11464968153
"51",5,"nonsevere","30-49 years",6564,500.877527661198
"52",5,"nonsevere","50-64 years",4579,490.256959314775
"53",5,"nonsevere","65-74 years",2123,410.24154589372
"54",5,"nonsevere","75+ years",2204,603.835616438356
"55",5,"severe","0-17 years",0,0
"56",5,"severe","18-29 years",5,0.636942675159236
"57",5,"severe","30-49 years",3,0.228920259442961
"58",5,"severe","50-64 years",14,1.49892933618844
"59",5,"severe","65-74 years",15,2.89855072463768
"60",5,"severe","75+ years",62,16.986301369863
"61",6,"nonsevere","0-17 years",25173,2313.69485294118
"62",6,"nonsevere","18-29 years",18822,2397.70700636943
"63",6,"nonsevere","30-49 years",7325,558.946966806562
"64",6,"nonsevere","50-64 years",5204,557.173447537473
"65",6,"nonsevere","65-74 years",2362,456.425120772947
"66",6,"nonsevere","75+ years",2444,669.58904109589
"67",6,"severe","0-17 years",0,0
"68",6,"severe","18-29 years",4,0.509554140127389
"69",6,"severe","30-49 years",4,0.305227012590614
"70",6,"severe","50-64 years",21,2.24839400428265
"71",6,"severe","65-74 years",24,4.63768115942029
"72",6,"severe","75+ years",51,13.972602739726
"73",7,"nonsevere","0-17 years",27208,2500.73529411765
"74",7,"nonsevere","18-29 years",20320,2588.53503184713
"75",7,"nonsevere","30-49 years",8100,618.084700495994
"76",7,"nonsevere","50-64 years",5611,600.749464668094
"77",7,"nonsevere","65-74 years",2592,500.869565217391
"78",7,"nonsevere","75+ years",2721,745.479452054794
"79",7,"severe","0-17 years",0,0
"80",7,"severe","18-29 years",3,0.382165605095541
"81",7,"severe","30-49 years",5,0.381533765738268
"82",7,"severe","50-64 years",21,2.24839400428265
"83",7,"severe","65-74 years",23,4.44444444444444
"84",7,"severe","75+ years",69,18.9041095890411
"85",8,"nonsevere","0-17 years",29191,2682.99632352941
"86",8,"nonsevere","18-29 years",21581,2749.17197452229
"87",8,"nonsevere","30-49 years",8833,674.017550553224
"88",8,"nonsevere","50-64 years",6228,666.809421841542
"89",8,"nonsevere","65-74 years",2860,552.657004830918
"90",8,"nonsevere","75+ years",3043,833.698630136986
"91",8,"severe","0-17 years",0,0
"92",8,"severe","18-29 years",5,0.636942675159236
"93",8,"severe","30-49 years",6,0.457840518885921
"94",8,"severe","50-64 years",19,2.03426124197002
"95",8,"severe","65-74 years",35,6.76328502415459
"96",8,"severe","75+ years",57,15.6164383561644
"97",9,"nonsevere","0-17 years",30863,2836.67279411765
"98",9,"nonsevere","18-29 years",22692,2890.70063694268
"99",9,"nonsevere","30-49 years",9674,738.191529950401
"100",9,"nonsevere","50-64 years",6850,733.404710920771
"101",9,"nonsevere","65-74 years",3119,602.705314009662
"102",9,"nonsevere","75+ years",3408,933.698630136986
"103",9,"severe","0-17 years",0,0
"104",9,"severe","18-29 years",2,0.254777070063694
"105",9,"severe","30-49 years",11,0.839374284624189
"106",9,"severe","50-64 years",18,1.9271948608137
"107",9,"severe","65-74 years",26,5.02415458937198
"108",9,"severe","75+ years",66,18.0821917808219
"109",10,"nonsevere","0-17 years",35395,3253.21691176471
"110",10,"nonsevere","18-29 years",25904,3299.87261146497
"111",10,"nonsevere","30-49 years",11356,866.539488744754
"112",10,"nonsevere","50-64 years",8042,861.027837259101
"113",10,"nonsevere","65-74 years",3707,716.328502415459
"114",10,"nonsevere","75+ years",4017,1100.54794520548
"115",10,"severe","0-17 years",0,0
"116",10,"severe","18-29 years",5,0.636942675159236
"117",10,"severe","30-49 years",11,0.839374284624189
"118",10,"severe","50-64 years",38,4.06852248394004
"119",10,"severe","65-74 years",35,6.76328502415459
"120",10,"severe","75+ years",75,20.5479452054795
"121",11,"nonsevere","0-17 years",38640,3551.47058823529
"122",11,"nonsevere","18-29 years",28521,3633.24840764331
"123",11,"nonsevere","30-49 years",13028,994.124380007631
"124",11,"nonsevere","50-64 years",9236,988.865096359743
"125",11,"nonsevere","65-74 years",4394,849.082125603865
"126",11,"nonsevere","75+ years",4579,1254.52054794521
"127",11,"severe","0-17 years",0,0
"128",11,"severe","18-29 years",5,0.636942675159236
"129",11,"severe","30-49 years",22,1.67874856924838
"130",11,"severe","50-64 years",34,3.64025695931477
"131",11,"severe","65-74 years",37,7.14975845410628
"132",11,"severe","75+ years",108,29.5890410958904
"133",12,"nonsevere","0-17 years",40862,3755.69852941176
"134",12,"nonsevere","18-29 years",30047,3827.64331210191
"135",12,"nonsevere","30-49 years",14486,1105.37962609691
"136",12,"nonsevere","50-64 years",10388,1112.20556745182
"137",12,"nonsevere","65-74 years",4673,902.995169082126
"138",12,"nonsevere","75+ years",5124,1403.83561643836
"139",12,"severe","0-17 years",0,0
"140",12,"severe","18-29 years",3,0.382165605095541
"141",12,"severe","30-49 years",12,0.915681037771843
"142",12,"severe","50-64 years",49,5.24625267665953
"143",12,"severe","65-74 years",41,7.92270531400966
"144",12,"severe","75+ years",105,28.7671232876712
"145",13,"nonsevere","0-17 years",41683,3831.15808823529
"146",13,"nonsevere","18-29 years",30474,3882.03821656051
"147",13,"nonsevere","30-49 years",15458,1179.54979015643
"148",13,"nonsevere","50-64 years",11100,1188.43683083512
"149",13,"nonsevere","65-74 years",5224,1009.46859903382
"150",13,"nonsevere","75+ years",5293,1450.13698630137
"151",13,"severe","0-17 years",0,0
"152",13,"severe","18-29 years",5,0.636942675159236
"153",13,"severe","30-49 years",13,0.991987790919496
"154",13,"severe","50-64 years",42,4.49678800856531
"155",13,"severe","65-74 years",42,8.11594202898551
"156",13,"severe","75+ years",124,33.972602739726
"157",14,"nonsevere","0-17 years",40036,3679.77941176471
"158",14,"nonsevere","18-29 years",29384,3743.1847133758
"159",14,"nonsevere","30-49 years",15577,1188.630293781
"160",14,"nonsevere","50-64 years",11164,1195.28907922912
"161",14,"nonsevere","65-74 years",5196,1004.05797101449
"162",14,"nonsevere","75+ years",5243,1436.43835616438
"163",14,"severe","0-17 years",0,0
"164",14,"severe","18-29 years",6,0.764331210191083
"165",14,"severe","30-49 years",12,0.915681037771843
"166",14,"severe","50-64 years",40,4.28265524625268
"167",14,"severe","65-74 years",61,11.7874396135266
"168",14,"severe","75+ years",104,28.4931506849315
"169",15,"nonsevere","0-17 years",36953,3396.41544117647
"170",15,"nonsevere","18-29 years",27197,3464.58598726115
"171",15,"nonsevere","30-49 years",15204,1160.16787485692
"172",15,"nonsevere","50-64 years",10770,1153.10492505353
"173",15,"nonsevere","65-74 years",4863,939.710144927536
"174",15,"nonsevere","75+ years",5053,1384.38356164384
"175",15,"severe","0-17 years",0,0
"176",15,"severe","18-29 years",8,1.01910828025478
"177",15,"severe","30-49 years",11,0.839374284624189
"178",15,"severe","50-64 years",44,4.71092077087794
