"","weeks","type","age_group","cases","inc"
"1",1,"nonsevere","0-17 years",8597,790.165441176471
"2",1,"nonsevere","18-29 years",4918,626.496815286624
"3",1,"nonsevere","30-49 years",1916,146.203739030904
"4",1,"nonsevere","50-64 years",1120,119.914346895075
"5",1,"nonsevere","65-74 years",651,125.797101449275
"6",1,"nonsevere","75+ years",757,207.397260273973
"7",1,"severe","0-17 years",0,0
"8",1,"severe","18-29 years",2,0.254777070063694
"9",1,"severe","30-49 years",2,0.152613506295307
"10",1,"severe","50-64 years",6,0.642398286937902
"11",1,"severe","65-74 years",6,1.15942028985507
"12",1,"severe","75+ years",15,4.10958904109589
"13",2,"nonsevere","0-17 years",11040,1014.70588235294
"14",2,"nonsevere","18-29 years",7428,946.24203821656
"15",2,"nonsevere","30-49 years",2700,206.028233498665
"16",2,"nonsevere","50-64 years",1659,177.62312633833
"17",2,"nonsevere","65-74 years",916,177.004830917874
"18",2,"nonsevere","75+ years",981,268.767123287671
"19",2,"severe","0-17 years",0,0
"20",2,"severe","18-29 years",4,0.509554140127389
"21",2,"severe","30-49 years",3,0.228920259442961
"22",2,"severe","50-64 years",4,0.428265524625268
"23",2,"severe","65-74 years",4,0.772946859903382
"24",2,"severe","75+ years",31,8.49315068493151
"25",3,"nonsevere","0-17 years",15138,1391.36029411765
"26",3,"nonsevere","18-29 years",10850,1382.16560509554
"27",3,"nonsevere","30-49 years",4033,307.745135444487
"28",3,"nonsevere","50-64 years",2431,260.278372591006
"29",3,"nonsevere","65-74 years",1254,242.31884057971
"30",3,"nonsevere","75+ years",1365,373.972602739726
"31",3,"severe","0-17 years",0,0
"32",3,"severe","18-29 years",4,0.509554140127389
"33",3,"severe","30-49 years",5,0.381533765738268
"34",3,"severe","50-64 years",2,0.214132762312634
"35",3,"severe","65-74 years",10,1.93236714975845
"36",3,"severe","75+ years",40,10.958904109589
"37",4,"nonsevere","0-17 years",20887,1919.76102941176
"38",4,"nonsevere","18-29 years",15449,1968.02547770701
"39",4,"nonsevere","30-49 years",5684,433.727584891263
"40",4,"nonsevere","50-64 years",3501,374.839400428266
"41",4,"nonsevere","65-74 years",1887,364.63768115942
"42",4,"nonsevere","75+ years",1982,543.013698630137
"43",4,"severe","0-17 years",0,0
"44",4,"severe","18-29 years",5,0.636942675159236
"45",4,"severe","30-49 years",10,0.763067531476536
"46",4,"severe","50-64 years",16,1.71306209850107
"47",4,"severe","65-74 years",20,3.86473429951691
"48",4,"severe","75+ years",51,13.972602739726
"49",5,"nonsevere","0-17 years",25239,2319.76102941176
"50",5,"nonsevere","18-29 years",18877,2404.71337579618
"51",5,"nonsevere","30-49 years",7286,555.971003433804
"52",5,"nonsevere","50-64 years",4339,464.561027837259
"53",5,"nonsevere","65-74 years",2326,449.468599033816
"54",5,"nonsevere","75+ years",2338,640.547945205479
"55",5,"severe","0-17 years",0,0
"56",5,"severe","18-29 years",2,0.254777070063694
"57",5,"severe","30-49 years",7,0.534147272033575
"58",5,"severe","50-64 years",13,1.39186295503212
"59",5,"severe","65-74 years",22,4.2512077294686
"60",5,"severe","75+ years",51,13.972602739726
"61",6,"nonsevere","0-17 years",26110,2399.81617647059
"62",6,"nonsevere","18-29 years",19792,2521.27388535032
"63",6,"nonsevere","30-49 years",7636,582.678367035483
"64",6,"nonsevere","50-64 years",4694,502.569593147752
"65",6,"nonsevere","65-74 years",2519,486.763285024155
"66",6,"nonsevere","75+ years",2615,716.438356164384
"67",6,"severe","0-17 years",0,0
"68",6,"severe","18-29 years",2,0.254777070063694
"69",6,"severe","30-49 years",6,0.457840518885921
"70",6,"severe","50-64 years",14,1.49892933618844
"71",6,"severe","65-74 years",20,3.86473429951691
"72",6,"severe","75+ years",52,14.2465753424658
"73",7,"nonsevere","0-17 years",26993,2480.97426470588
"74",7,"nonsevere","18-29 years",20385,2596.8152866242
"75",7,"nonsevere","30-49 years",8175,623.807706982068
"76",7,"nonsevere","50-64 years",5116,547.751605995717
"77",7,"nonsevere","65-74 years",2616,505.507246376812
"78",7,"nonsevere","75+ years",2745,752.054794520548
"79",7,"severe","0-17 years",0,0
"80",7,"severe","18-29 years",9,1.14649681528662
"81",7,"severe","30-49 years",7,0.534147272033575
"82",7,"severe","50-64 years",16,1.71306209850107
"83",7,"severe","65-74 years",32,6.18357487922705
"84",7,"severe","75+ years",61,16.7123287671233
"85",8,"nonsevere","0-17 years",27677,2543.84191176471
"86",8,"nonsevere","18-29 years",20682,2634.64968152866
"87",8,"nonsevere","30-49 years",8730,666.157954979016
"88",8,"nonsevere","50-64 years",5240,561.027837259101
