"","weeks","type","age_group","cases","inc"
"1",1,"nonsevere","0-17 years",8567,787.408088235294
"2",1,"nonsevere","18-29 years",4960,631.847133757962
"3",1,"nonsevere","30-49 years",1954,149.103395650515
"4",1,"nonsevere","50-64 years",1076,115.203426124197
"5",1,"nonsevere","65-74 years",636,122.898550724638
"6",1,"nonsevere","75+ years",667,182.739726027397
"7",1,"severe","0-17 years",0,0
"8",1,"severe","18-29 years",0,0
"9",1,"severe","30-49 years",2,0.152613506295307
"10",1,"severe","50-64 years",4,0.428265524625268
"11",1,"severe","65-74 years",5,0.966183574879227
"12",1,"severe","75+ years",11,3.01369863013699
"13",2,"nonsevere","0-17 years",11284,1037.13235294118
"14",2,"nonsevere","18-29 years",7550,961.783439490446
"15",2,"nonsevere","30-49 years",2884,220.068676077833
"16",2,"nonsevere","50-64 years",1635,175.053533190578
"17",2,"nonsevere","65-74 years",896,173.140096618357
"18",2,"nonsevere","75+ years",987,270.41095890411
"19",2,"severe","0-17 years",0,0
"20",2,"severe","18-29 years",2,0.254777070063694
"21",2,"severe","30-49 years",1,0.0763067531476536
"22",2,"severe","50-64 years",7,0.749464668094218
"23",2,"severe","65-74 years",11,2.1256038647343
"24",2,"severe","75+ years",25,6.84931506849315
"25",3,"nonsevere","0-17 years",15480,1422.79411764706
"26",3,"nonsevere","18-29 years",11404,1452.73885350318
"27",3,"nonsevere","30-49 years",4085,311.713086608165
"28",3,"nonsevere","50-64 years",2540,271.948608137045
"29",3,"nonsevere","65-74 years",1295,250.24154589372
"30",3,"nonsevere","75+ years",1456,398.904109589041
"31",3,"severe","0-17 years",0,0
"32",3,"severe","18-29 years",1,0.127388535031847
"33",3,"severe","30-49 years",5,0.381533765738268
"34",3,"severe","50-64 years",8,0.856531049250535
"35",3,"severe","65-74 years",17,3.28502415458937
"36",3,"severe","75+ years",32,8.76712328767123
"37",4,"nonsevere","0-17 years",21314,1959.00735294118
"38",4,"nonsevere","18-29 years",15886,2023.69426751592
"39",4,"nonsevere","30-49 years",5935,452.880579931324
"40",4,"nonsevere","50-64 years",3671,393.040685224839
"41",4,"nonsevere","65-74 years",1857,358.840579710145
"42",4,"nonsevere","75+ years",2053,562.465753424658
"43",4,"severe","0-17 years",0,0
"44",4,"severe","18-29 years",2,0.254777070063694
"45",4,"severe","30-49 years",10,0.763067531476536
"46",4,"severe","50-64 years",11,1.17773019271949
"47",4,"severe","65-74 years",15,2.89855072463768
"48",4,"severe","75+ years",42,11.5068493150685
"49",5,"nonsevere","0-17 years",25938,2384.00735294118
"50",5,"nonsevere","18-29 years",19698,2509.29936305732
"51",5,"nonsevere","30-49 years",7349,560.778328882106
"52",5,"nonsevere","50-64 years",4579,490.256959314775
"53",5,"nonsevere","65-74 years",2283,441.159420289855
"54",5,"nonsevere","75+ years",2478,678.904109589041
"55",5,"severe","0-17 years",0,0
"56",5,"severe","18-29 years",2,0.254777070063694
"57",5,"severe","30-49 years",4,0.305227012590614
"58",5,"severe","50-64 years",12,1.2847965738758
"59",5,"severe","65-74 years",22,4.2512077294686
"60",5,"severe","75+ years",58,15.8904109589041
"61",6,"nonsevere","0-17 years",26895,2471.96691176471
"62",6,"nonsevere","18-29 years",20149,2566.75159235669
"63",6,"nonsevere","30-49 years",7967,607.935902327356
"64",6,"nonsevere","50-64 years",4675,500.535331905782
"65",6,"nonsevere","65-74 years",2407,465.12077294686
"66",6,"nonsevere","75+ years",2671,731.780821917808
"67",6,"severe","0-17 years",0,0
"68",6,"severe","18-29 years",4,0.509554140127389
"69",6,"severe","30-49 years",7,0.534147272033575
"70",6,"severe","50-64 years",22,2.35546038543897
"71",6,"severe","65-74 years",26,5.02415458937198
"72",6,"severe","75+ years",63,17.2602739726027
"73",7,"nonsevere","0-17 years",27973,2571.04779411765
"74",7,"nonsevere","18-29 years",20926,2665.73248407643
"75",7,"nonsevere","30-49 years",8289,632.5066768409
"76",7,"nonsevere","50-64 years",5207,557.494646680942
"77",7,"nonsevere","65-74 years",2624,507.053140096618
"78",7,"nonsevere","75+ years",2897,793.698630136986
"79",7,"severe","0-17 years",0,0
"80",7,"severe","18-29 years",8,1.01910828025478
"81",7,"severe","30-49 years",7,0.534147272033575
"82",7,"severe","50-64 years",22,2.35546038543897
"83",7,"severe","65-74 years",25,4.83091787439614
"84",7,"severe","75+ years",78,21.3698630136986
"85",8,"nonsevere","0-17 years",28496,2619.11764705882
"86",8,"nonsevere","18-29 years",21126,2691.2101910828
"87",8,"nonsevere","30-49 years",8806,671.957268218237
"88",8,"nonsevere","50-64 years",5483,587.044967880086
"89",8,"nonsevere","65-74 years",2783,537.777777777778
"90",8,"nonsevere","75+ years",2963,811.780821917808
"91",8,"severe","0-17 years",0,0
"92",8,"severe","18-29 years",4,0.509554140127389
"93",8,"severe","30-49 years",10,0.763067531476536
"94",8,"severe","50-64 years",21,2.24839400428265
"95",8,"severe","65-74 years",18,3.47826086956522
"96",8,"severe","75+ years",63,17.2602739726027
"97",9,"nonsevere","0-17 years",29071,2671.96691176471
"98",9,"nonsevere","18-29 years",21502,2739.10828025478
"99",9,"nonsevere","30-49 years",9291,708.966043494849
"100",9,"nonsevere","50-64 years",5684,608.565310492505
"101",9,"nonsevere","65-74 years",2873,555.169082125604
"102",9,"nonsevere","75+ years",3138,859.72602739726
"103",9,"severe","0-17 years",0,0
"104",9,"severe","18-29 years",8,1.01910828025478
"105",9,"severe","30-49 years",12,0.915681037771843
"106",9,"severe","50-64 years",22,2.35546038543897
"107",9,"severe","65-74 years",33,6.3768115942029
"108",9,"severe","75+ years",86,23.5616438356164
"109",10,"nonsevere","0-17 years",32605,2996.78308823529
"110",10,"nonsevere","18-29 years",24262,3090.70063694267
"111",10,"nonsevere","30-49 years",10739,819.458222052652
"112",10,"nonsevere","50-64 years",6697,717.023554603854
"113",10,"nonsevere","65-74 years",3486,673.623188405797
"114",10,"nonsevere","75+ years",3622,992.328767123288
"115",10,"severe","0-17 years",0,0
"116",10,"severe","18-29 years",5,0.636942675159236
"117",10,"severe","30-49 years",14,1.06829454406715
"118",10,"severe","50-64 years",26,2.78372591006424
"119",10,"severe","65-74 years",30,5.79710144927536
"120",10,"severe","75+ years",82,22.4657534246575
"121",11,"nonsevere","0-17 years",35911,3300.64338235294
"122",11,"nonsevere","18-29 years",26342,3355.66878980892
"123",11,"nonsevere","30-49 years",12103,923.540633346051
"124",11,"nonsevere","50-64 years",7330,784.796573875803
"125",11,"nonsevere","65-74 years",3965,766.183574879227
"126",11,"nonsevere","75+ years",4240,1161.64383561644
"127",11,"severe","0-17 years",0,0
"128",11,"severe","18-29 years",3,0.382165605095541
"129",11,"severe","30-49 years",17,1.29721480351011
"130",11,"severe","50-64 years",35,3.74732334047109
"131",11,"severe","65-74 years",40,7.72946859903382
"132",11,"severe","75+ years",84,23.013698630137
"133",12,"nonsevere","0-17 years",37669,3462.22426470588
"134",12,"nonsevere","18-29 years",27651,3522.4203821656
"135",12,"nonsevere","30-49 years",13423,1024.26554750095
"136",12,"nonsevere","50-64 years",8383,897.537473233405
"137",12,"nonsevere","65-74 years",4473,864.347826086957
"138",12,"nonsevere","75+ years",4564,1250.41095890411
"139",12,"severe","0-17 years",0,0
"140",12,"severe","18-29 years",5,0.636942675159236
"141",12,"severe","30-49 years",16,1.22090805036246
"142",12,"severe","50-64 years",40,4.28265524625268
"143",12,"severe","65-74 years",34,6.57004830917874
"144",12,"severe","75+ years",120,32.8767123287671
"145",13,"nonsevere","0-17 years",38453,3534.28308823529
"146",13,"nonsevere","18-29 years",27953,3560.89171974522
"147",13,"nonsevere","30-49 years",14147,1079.51163677986
"148",13,"nonsevere","50-64 years",9069,970.985010706638
"149",13,"nonsevere","65-74 years",4727,913.429951690821
"150",13,"nonsevere","75+ years",4822,1321.09589041096
"151",13,"severe","0-17 years",0,0
"152",13,"severe","18-29 years",7,0.89171974522293
"153",13,"severe","30-49 years",11,0.839374284624189
"154",13,"severe","50-64 years",40,4.28265524625268
"155",13,"severe","65-74 years",43,8.30917874396135
"156",13,"severe","75+ years",106,29.041095890411
"157",14,"nonsevere","0-17 years",37074,3407.53676470588
"158",14,"nonsevere","18-29 years",27286,3475.92356687898
"159",14,"nonsevere","30-49 years",14348,1094.84929416253
"160",14,"nonsevere","50-64 years",9128,977.301927194861
"161",14,"nonsevere","65-74 years",4691,906.473429951691
"162",14,"nonsevere","75+ years",4965,1360.27397260274
"163",14,"severe","0-17 years",0,0
"164",14,"severe","18-29 years",6,0.764331210191083
"165",14,"severe","30-49 years",21,1.60244181610073
"166",14,"severe","50-64 years",36,3.85438972162741
"167",14,"severe","65-74 years",44,8.5024154589372
"168",14,"severe","75+ years",119,32.6027397260274
"169",15,"nonsevere","0-17 years",34704,3189.70588235294
"170",15,"nonsevere","18-29 years",25250,3216.56050955414
"171",15,"nonsevere","30-49 years",14237,1086.37924456314
"172",15,"nonsevere","50-64 years",9009,964.561027837259
"173",15,"nonsevere","65-74 years",4471,863.961352657005
"174",15,"nonsevere","75+ years",4638,1270.68493150685
"175",15,"severe","0-17 years",0,0
"176",15,"severe","18-29 years",9,1.14649681528662
"177",15,"severe","30-49 years",14,1.06829454406715
"178",15,"severe","50-64 years",40,4.28265524625268
"179",15,"severe","65-74 years",36,6.95652173913043
"180",15,"severe","75+ years",100,27.3972602739726
"181",16,"nonsevere","0-17 years",30883,2838.51102941176
"182",16,"nonsevere","18-29 years",22841,2909.68152866242
"183",16,"nonsevere","30-49 years",13058,996.41358260206
"184",16,"nonsevere","50-64 years",8121,869.48608137045
"185",16,"nonsevere","65-74 years",4145,800.966183574879
"186",16,"nonsevere","75+ years",4211,1153.69863013699
"187",16,"severe","0-17 years",0,0
"188",16,"severe","18-29 years",7,0.89171974522293
"189",16,"severe","30-49 years",19,1.44982830980542
"190",16,"severe","50-64 years",44,4.71092077087794
"191",16,"severe","65-74 years",42,8.11594202898551
"192",16,"severe","75+ years",95,26.027397260274
"193",17,"nonsevere","0-17 years",27272,2506.61764705882
"194",17,"nonsevere","18-29 years",19790,2521.01910828025
"195",17,"nonsevere","30-49 years",11904,908.355589469668
"196",17,"nonsevere","50-64 years",7333,785.117773019272
"197",17,"nonsevere","65-74 years",3792,732.753623188406
"198",17,"nonsevere","75+ years",3672,1006.02739726027
"199",17,"severe","0-17 years",0,0
"200",17,"severe","18-29 years",4,0.509554140127389
"201",17,"severe","30-49 years",15,1.1446012972148
"202",17,"severe","50-64 years",41,4.38972162740899
"203",17,"severe","65-74 years",39,7.53623188405797
"204",17,"severe","75+ years",80,21.9178082191781
"205",18,"nonsevere","0-17 years",25012,2298.89705882353
"206",18,"nonsevere","18-29 years",18663,2377.45222929936
"207",18,"nonsevere","30-49 years",11064,844.257916825639
"208",18,"nonsevere","50-64 years",7189,769.700214132762
"209",18,"nonsevere","65-74 years",3606,696.811594202899
"210",18,"nonsevere","75+ years",3609,988.767123287671
"211",18,"severe","0-17 years",0,0
"212",18,"severe","18-29 years",2,0.254777070063694
"213",18,"severe","30-49 years",5,0.381533765738268
"214",18,"severe","50-64 years",24,2.56959314775161
"215",18,"severe","65-74 years",35,6.76328502415459
"216",18,"severe","75+ years",71,19.4520547945205
"217",19,"nonsevere","0-17 years",26163,2404.6875
"218",19,"nonsevere","18-29 years",19705,2510.19108280255
"219",19,"nonsevere","30-49 years",11832,902.861503243037
"220",19,"nonsevere","50-64 years",7597,813.38329764454
"221",19,"nonsevere","65-74 years",3877,749.178743961353
"222",19,"nonsevere","75+ years",3946,1081.09589041096
