"","weeks","type","age_group","cases","inc"
"1",1,"nonsevere","0-17 years",8807,809.466911764706
"2",1,"nonsevere","18-29 years",4934,628.535031847134
"3",1,"nonsevere","30-49 years",1933,147.500953834414
"4",1,"nonsevere","50-64 years",1043,111.670235546039
"5",1,"nonsevere","65-74 years",680,131.400966183575
"6",1,"nonsevere","75+ years",710,194.520547945205
"7",1,"severe","0-17 years",0,0
"8",1,"severe","18-29 years",0,0
"9",1,"severe","30-49 years",1,0.0763067531476536
"10",1,"severe","50-64 years",6,0.642398286937902
"11",1,"severe","65-74 years",11,2.1256038647343
"12",1,"severe","75+ years",18,4.93150684931507
"13",2,"nonsevere","0-17 years",11176,1027.20588235294
"14",2,"nonsevere","18-29 years",7441,947.898089171974
"15",2,"nonsevere","30-49 years",2857,218.008393742846
"16",2,"nonsevere","50-64 years",1571,168.201284796574
"17",2,"nonsevere","65-74 years",855,165.217391304348
"18",2,"nonsevere","75+ years",981,268.767123287671
"19",2,"severe","0-17 years",0,0
"20",2,"severe","18-29 years",0,0
"21",2,"severe","30-49 years",2,0.152613506295307
"22",2,"severe","50-64 years",1,0.107066381156317
"23",2,"severe","65-74 years",12,2.31884057971015
"24",2,"severe","75+ years",22,6.02739726027397
"25",3,"nonsevere","0-17 years",15139,1391.45220588235
"26",3,"nonsevere","18-29 years",10826,1379.10828025478
"27",3,"nonsevere","30-49 years",3919,299.046165585654
"28",3,"nonsevere","50-64 years",2260,241.970021413276
"29",3,"nonsevere","65-74 years",1315,254.106280193237
"30",3,"nonsevere","75+ years",1356,371.506849315069
"31",3,"severe","0-17 years",0,0
"32",3,"severe","18-29 years",2,0.254777070063694
"33",3,"severe","30-49 years",2,0.152613506295307
"34",3,"severe","50-64 years",10,1.07066381156317
"35",3,"severe","65-74 years",13,2.51207729468599
"36",3,"severe","75+ years",31,8.49315068493151
"37",4,"nonsevere","0-17 years",20809,1912.59191176471
"38",4,"nonsevere","18-29 years",15063,1918.85350318471
"39",4,"nonsevere","30-49 years",5459,416.558565433041
"40",4,"nonsevere","50-64 years",3214,344.111349036403
"41",4,"nonsevere","65-74 years",1756,339.323671497585
"42",4,"nonsevere","75+ years",1862,510.13698630137
"43",4,"severe","0-17 years",0,0
"44",4,"severe","18-29 years",1,0.127388535031847
"45",4,"severe","30-49 years",7,0.534147272033575
"46",4,"severe","50-64 years",9,0.963597430406852
"47",4,"severe","65-74 years",15,2.89855072463768
"48",4,"severe","75+ years",36,9.86301369863014
"49",5,"nonsevere","0-17 years",26105,2399.35661764706
"50",5,"nonsevere","18-29 years",18785,2392.99363057325
"51",5,"nonsevere","30-49 years",6991,533.460511255246
"52",5,"nonsevere","50-64 years",4091,438.008565310492
"53",5,"nonsevere","65-74 years",2263,437.294685990338
"54",5,"nonsevere","75+ years",2387,653.972602739726
"55",5,"severe","0-17 years",0,0
"56",5,"severe","18-29 years",4,0.509554140127389
"57",5,"severe","30-49 years",5,0.381533765738268
"58",5,"severe","50-64 years",24,2.56959314775161
"59",5,"severe","65-74 years",14,2.70531400966184
"60",5,"severe","75+ years",55,15.0684931506849
"61",6,"nonsevere","0-17 years",29205,2684.28308823529
"62",6,"nonsevere","18-29 years",21096,2687.38853503185
"63",6,"nonsevere","30-49 years",8328,635.482640213659
"64",6,"nonsevere","50-64 years",4606,493.147751605996
"65",6,"nonsevere","65-74 years",2535,489.855072463768
"66",6,"nonsevere","75+ years",2803,767.945205479452
"67",6,"severe","0-17 years",0,0
"68",6,"severe","18-29 years",4,0.509554140127389
"69",6,"severe","30-49 years",7,0.534147272033575
"70",6,"severe","50-64 years",25,2.67665952890792
"71",6,"severe","65-74 years",23,4.44444444444444
"72",6,"severe","75+ years",67,18.3561643835616
"73",7,"nonsevere","0-17 years",31917,2933.54779411765
"74",7,"nonsevere","18-29 years",23198,2955.15923566879
"75",7,"nonsevere","30-49 years",9227,704.0824112934
"76",7,"nonsevere","50-64 years",5389,576.980728051392
"77",7,"nonsevere","65-74 years",2972,574.299516908213
