"","weeks","type","age_group","cases","inc"
"1",1,"nonsevere","0-17 years",8762,805.330882352941
"2",1,"nonsevere","18-29 years",5115,651.592356687898
"3",1,"nonsevere","30-49 years",1999,152.537199542159
"4",1,"nonsevere","50-64 years",1197,128.158458244111
"5",1,"nonsevere","65-74 years",724,139.903381642512
"6",1,"nonsevere","75+ years",738,202.191780821918
"7",1,"severe","0-17 years",0,0
"8",1,"severe","18-29 years",2,0.254777070063694
"9",1,"severe","30-49 years",1,0.0763067531476536
"10",1,"severe","50-64 years",6,0.642398286937902
"11",1,"severe","65-74 years",2,0.386473429951691
"12",1,"severe","75+ years",23,6.3013698630137
"13",2,"nonsevere","0-17 years",11090,1019.30147058824
"14",2,"nonsevere","18-29 years",7685,978.980891719745
"15",2,"nonsevere","30-49 years",2824,215.490270888974
"16",2,"nonsevere","50-64 years",1768,189.293361884368
"17",2,"nonsevere","65-74 years",945,182.608695652174
"18",2,"nonsevere","75+ years",1044,286.027397260274
"19",2,"severe","0-17 years",0,0
"20",2,"severe","18-29 years",2,0.254777070063694
"21",2,"severe","30-49 years",3,0.228920259442961
"22",2,"severe","50-64 years",5,0.535331905781585
"23",2,"severe","65-74 years",11,2.1256038647343
"24",2,"severe","75+ years",20,5.47945205479452
"25",3,"nonsevere","0-17 years",14834,1363.41911764706
"26",3,"nonsevere","18-29 years",11022,1404.07643312102
"27",3,"nonsevere","30-49 years",4029,307.439908431896
"28",3,"nonsevere","50-64 years",2420,259.100642398287
"29",3,"nonsevere","65-74 years",1251,241.739130434783
"30",3,"nonsevere","75+ years",1351,370.13698630137
"31",3,"severe","0-17 years",0,0
"32",3,"severe","18-29 years",3,0.382165605095541
"33",3,"severe","30-49 years",5,0.381533765738268
"34",3,"severe","50-64 years",9,0.963597430406852
"35",3,"severe","65-74 years",22,4.2512077294686
"36",3,"severe","75+ years",33,9.04109589041096
"37",4,"nonsevere","0-17 years",19797,1819.57720588235
"38",4,"nonsevere","18-29 years",14793,1884.45859872611
"39",4,"nonsevere","30-49 years",5538,422.586798931705
"40",4,"nonsevere","50-64 years",3498,374.518201284797
"41",4,"nonsevere","65-74 years",1752,338.550724637681
"42",4,"nonsevere","75+ years",1826,500.27397260274
"43",4,"severe","0-17 years",0,0
"44",4,"severe","18-29 years",3,0.382165605095541
"45",4,"severe","30-49 years",5,0.381533765738268
"46",4,"severe","50-64 years",10,1.07066381156317
"47",4,"severe","65-74 years",12,2.31884057971015
"48",4,"severe","75+ years",40,10.958904109589
"49",5,"nonsevere","0-17 years",23930,2199.44852941176
"50",5,"nonsevere","18-29 years",18052,2299.6178343949
"51",5,"nonsevere","30-49 years",6883,525.2193819153
"52",5,"nonsevere","50-64 years",4210,450.749464668094
"53",5,"nonsevere","65-74 years",2226,430.144927536232
"54",5,"nonsevere","75+ years",2230,610.958904109589
"55",5,"severe","0-17 years",0,0
"56",5,"severe","18-29 years",2,0.254777070063694
"57",5,"severe","30-49 years",7,0.534147272033575
"58",5,"severe","50-64 years",19,2.03426124197002
"59",5,"severe","65-74 years",13,2.51207729468599
"60",5,"severe","75+ years",51,13.972602739726
"61",6,"nonsevere","0-17 years",26317,2418.84191176471
"62",6,"nonsevere","18-29 years",19592,2495.79617834395
"63",6,"nonsevere","30-49 years",7701,587.63830599008
"64",6,"nonsevere","50-64 years",4750,508.565310492505
"65",6,"nonsevere","65-74 years",2451,473.623188405797
"66",6,"nonsevere","75+ years",2565,702.739726027397
"67",6,"severe","0-17 years",0,0
"68",6,"severe","18-29 years",1,0.127388535031847
"69",6,"severe","30-49 years",12,0.915681037771843
"70",6,"severe","50-64 years",16,1.71306209850107
"71",6,"severe","65-74 years",18,3.47826086956522
"72",6,"severe","75+ years",57,15.6164383561644
"73",7,"nonsevere","0-17 years",28301,2601.19485294118
"74",7,"nonsevere","18-29 years",21107,2688.7898089172
"75",7,"nonsevere","30-49 years",8482,647.233880198398
"76",7,"nonsevere","50-64 years",5211,557.922912205567
"77",7,"nonsevere","65-74 years",2695,520.772946859903
"78",7,"nonsevere","75+ years",2779,761.369863013699
"79",7,"severe","0-17 years",0,0
"80",7,"severe","18-29 years",7,0.89171974522293
"81",7,"severe","30-49 years",6,0.457840518885921
"82",7,"severe","50-64 years",16,1.71306209850107
"83",7,"severe","65-74 years",25,4.83091787439614
"84",7,"severe","75+ years",49,13.4246575342466
"85",8,"nonsevere","0-17 years",30071,2763.87867647059
"86",8,"nonsevere","18-29 years",22286,2838.98089171975
"87",8,"nonsevere","30-49 years",9149,698.130484547882
"88",8,"nonsevere","50-64 years",5791,620.021413276231
"89",8,"nonsevere","65-74 years",2890,558.454106280193
"90",8,"nonsevere","75+ years",3143,861.095890410959
"91",8,"severe","0-17 years",0,0
"92",8,"severe","18-29 years",3,0.382165605095541
"93",8,"severe","30-49 years",5,0.381533765738268
"94",8,"severe","50-64 years",14,1.49892933618844
"95",8,"severe","65-74 years",30,5.79710144927536
"96",8,"severe","75+ years",70,19.1780821917808
"97",9,"nonsevere","0-17 years",31229,2870.3125
"98",9,"nonsevere","18-29 years",23013,2931.5923566879
"99",9,"nonsevere","30-49 years",9920,756.962991224723
"100",9,"nonsevere","50-64 years",6117,654.925053533191
"101",9,"nonsevere","65-74 years",3180,614.492753623188
"102",9,"nonsevere","75+ years",3441,942.739726027397
"103",9,"severe","0-17 years",0,0
"104",9,"severe","18-29 years",5,0.636942675159236
"105",9,"severe","30-49 years",4,0.305227012590614
"106",9,"severe","50-64 years",24,2.56959314775161
"107",9,"severe","65-74 years",24,4.63768115942029
"108",9,"severe","75+ years",71,19.4520547945205
"109",10,"nonsevere","0-17 years",34409,3162.59191176471
"110",10,"nonsevere","18-29 years",25590,3259.87261146497
"111",10,"nonsevere","30-49 years",11253,858.679893170546
"112",10,"nonsevere","50-64 years",7043,754.06852248394
"113",10,"nonsevere","65-74 years",3632,701.83574879227
"114",10,"nonsevere","75+ years",3896,1067.39726027397
"115",10,"severe","0-17 years",0,0
"116",10,"severe","18-29 years",6,0.764331210191083
"117",10,"severe","30-49 years",12,0.915681037771843
"118",10,"severe","50-64 years",28,2.99785867237687
"119",10,"severe","65-74 years",39,7.53623188405797
"120",10,"severe","75+ years",79,21.6438356164384
"121",11,"nonsevere","0-17 years",37452,3442.27941176471
"122",11,"nonsevere","18-29 years",27703,3529.04458598726
"123",11,"nonsevere","30-49 years",12641,964.593666539489
"124",11,"nonsevere","50-64 years",8065,863.490364025696
"125",11,"nonsevere","65-74 years",4166,805.024154589372
"126",11,"nonsevere","75+ years",4245,1163.01369863014
"127",11,"severe","0-17 years",0,0
"128",11,"severe","18-29 years",4,0.509554140127389
"129",11,"severe","30-49 years",10,0.763067531476536
"130",11,"severe","50-64 years",39,4.17558886509636
"131",11,"severe","65-74 years",30,5.79710144927536
"132",11,"severe","75+ years",92,25.2054794520548
"133",12,"nonsevere","0-17 years",38940,3579.04411764706
"134",12,"nonsevere","18-29 years",28617,3645.47770700637
"135",12,"nonsevere","30-49 years",13988,1067.37886302938
"136",12,"nonsevere","50-64 years",8635,924.518201284797
"137",12,"nonsevere","65-74 years",4637,896.038647342995
"138",12,"nonsevere","75+ years",4804,1316.16438356164
"139",12,"severe","0-17 years",0,0
"140",12,"severe","18-29 years",8,1.01910828025478
"141",12,"severe","30-49 years",6,0.457840518885921
"142",12,"severe","50-64 years",41,4.38972162740899
"143",12,"severe","65-74 years",45,8.69565217391304
"144",12,"severe","75+ years",94,25.7534246575342
"145",13,"nonsevere","0-17 years",39220,3604.77941176471
"146",13,"nonsevere","18-29 years",29018,3696.56050955414
"147",13,"nonsevere","30-49 years",14505,1106.82945440672
"148",13,"nonsevere","50-64 years",9107,975.053533190578
"149",13,"nonsevere","65-74 years",4905,947.826086956522
"150",13,"nonsevere","75+ years",5111,1400.27397260274
"151",13,"severe","0-17 years",0,0
"152",13,"severe","18-29 years",5,0.636942675159236
"153",13,"severe","30-49 years",19,1.44982830980542
"154",13,"severe","50-64 years",24,2.56959314775161
"155",13,"severe","65-74 years",45,8.69565217391304
"156",13,"severe","75+ years",106,29.041095890411
