"","weeks","type","age_group","cases","inc"
"1",1,"nonsevere","0-17 years",7997,735.018382352941
"2",1,"nonsevere","18-29 years",4369,556.56050955414
"3",1,"nonsevere","30-49 years",1709,130.40824112934
"4",1,"nonsevere","50-64 years",1026,109.850107066381
"5",1,"nonsevere","65-74 years",626,120.966183574879
"6",1,"nonsevere","75+ years",707,193.698630136986
"7",1,"severe","0-17 years",0,0
"8",1,"severe","18-29 years",0,0
"9",1,"severe","30-49 years",0,0
"10",1,"severe","50-64 years",4,0.428265524625268
"11",1,"severe","65-74 years",10,1.93236714975845
"12",1,"severe","75+ years",15,4.10958904109589
"13",2,"nonsevere","0-17 years",10250,942.095588235294
"14",2,"nonsevere","18-29 years",6709,854.649681528662
"15",2,"nonsevere","30-49 years",2516,191.987790919496
"16",2,"nonsevere","50-64 years",1615,172.912205567452
"17",2,"nonsevere","65-74 years",805,155.555555555556
"18",2,"nonsevere","75+ years",872,238.904109589041
"19",2,"severe","0-17 years",0,0
"20",2,"severe","18-29 years",5,0.636942675159236
"21",2,"severe","30-49 years",3,0.228920259442961
"22",2,"severe","50-64 years",11,1.17773019271949
"23",2,"severe","65-74 years",8,1.54589371980676
"24",2,"severe","75+ years",29,7.94520547945205
"25",3,"nonsevere","0-17 years",13820,1270.22058823529
"26",3,"nonsevere","18-29 years",9788,1246.87898089172
"27",3,"nonsevere","30-49 years",3787,288.973674170164
"28",3,"nonsevere","50-64 years",2200,235.546038543897
"29",3,"nonsevere","65-74 years",1196,231.111111111111
"30",3,"nonsevere","75+ years",1231,337.260273972603
"31",3,"severe","0-17 years",0,0
"32",3,"severe","18-29 years",3,0.382165605095541
"33",3,"severe","30-49 years",9,0.686760778328882
"34",3,"severe","50-64 years",8,0.856531049250535
"35",3,"severe","65-74 years",13,2.51207729468599
"36",3,"severe","75+ years",31,8.49315068493151
"37",4,"nonsevere","0-17 years",19258,1770.03676470588
"38",4,"nonsevere","18-29 years",13875,1767.51592356688
"39",4,"nonsevere","30-49 years",5278,402.747043113315
"40",4,"nonsevere","50-64 years",3180,340.471092077088
"41",4,"nonsevere","65-74 years",1754,338.937198067633
"42",4,"nonsevere","75+ years",1777,486.849315068493
"43",4,"severe","0-17 years",0,0
"44",4,"severe","18-29 years",4,0.509554140127389
"45",4,"severe","30-49 years",6,0.457840518885921
"46",4,"severe","50-64 years",15,1.60599571734475
"47",4,"severe","65-74 years",21,4.05797101449275
"48",4,"severe","75+ years",41,11.2328767123288
"49",5,"nonsevere","0-17 years",23041,2117.73897058824
"50",5,"nonsevere","18-29 years",16905,2153.50318471338
"51",5,"nonsevere","30-49 years",6223,474.856924837848
"52",5,"nonsevere","50-64 years",3819,408.886509635974
"53",5,"nonsevere","65-74 years",2035,393.236714975845
"54",5,"nonsevere","75+ years",2216,607.123287671233
"55",5,"severe","0-17 years",0,0
"56",5,"severe","18-29 years",4,0.509554140127389
"57",5,"severe","30-49 years",5,0.381533765738268
"58",5,"severe","50-64 years",17,1.82012847965739
"59",5,"severe","65-74 years",23,4.44444444444444
"60",5,"severe","75+ years",63,17.2602739726027
"61",6,"nonsevere","0-17 years",22653,2082.07720588235
"62",6,"nonsevere","18-29 years",16974,2162.29299363057
"63",6,"nonsevere","30-49 years",6488,495.078214421976
"64",6,"nonsevere","50-64 years",3946,422.483940042827
"65",6,"nonsevere","65-74 years",2061,398.260869565217
"66",6,"nonsevere","75+ years",2273,622.739726027397
"67",6,"severe","0-17 years",0,0
"68",6,"severe","18-29 years",2,0.254777070063694
"69",6,"severe","30-49 years",11,0.839374284624189
"70",6,"severe","50-64 years",25,2.67665952890792
"71",6,"severe","65-74 years",18,3.47826086956522
"72",6,"severe","75+ years",61,16.7123287671233
"73",7,"nonsevere","0-17 years",23204,2132.72058823529
"74",7,"nonsevere","18-29 years",16985,2163.69426751592
"75",7,"nonsevere","30-49 years",6700,511.255246089279
"76",7,"nonsevere","50-64 years",4152,444.539614561028
"77",7,"nonsevere","65-74 years",2106,406.95652173913
"78",7,"nonsevere","75+ years",2243,614.520547945205
"79",7,"severe","0-17 years",0,0
"80",7,"severe","18-29 years",3,0.382165605095541
"81",7,"severe","30-49 years",7,0.534147272033575
"82",7,"severe","50-64 years",27,2.89079229122056
"83",7,"severe","65-74 years",22,4.2512077294686
"84",7,"severe","75+ years",56,15.3424657534247
"85",8,"nonsevere","0-17 years",22753,2091.26838235294
"86",8,"nonsevere","18-29 years",16757,2134.64968152866
"87",8,"nonsevere","30-49 years",6869,524.151087371232
"88",8,"nonsevere","50-64 years",4254,455.460385438972
"89",8,"nonsevere","65-74 years",2152,415.845410628019
"90",8,"nonsevere","75+ years",2304,631.232876712329
"91",8,"severe","0-17 years",0,0
"92",8,"severe","18-29 years",3,0.382165605095541
"93",8,"severe","30-49 years",12,0.915681037771843
"94",8,"severe","50-64 years",21,2.24839400428265
