"","weeks","type","age_group","cases","inc"
"1",1,"nonsevere","0-17 years",8915,819.393382352941
"2",1,"nonsevere","18-29 years",5122,652.484076433121
"3",1,"nonsevere","30-49 years",2005,152.995040061045
"4",1,"nonsevere","50-64 years",1007,107.815845824411
"5",1,"nonsevere","65-74 years",627,121.159420289855
"6",1,"nonsevere","75+ years",737,201.917808219178
"7",1,"severe","0-17 years",0,0
"8",1,"severe","18-29 years",1,0.127388535031847
"9",1,"severe","30-49 years",1,0.0763067531476536
"10",1,"severe","50-64 years",6,0.642398286937902
"11",1,"severe","65-74 years",9,1.73913043478261
"12",1,"severe","75+ years",19,5.2054794520548
"13",2,"nonsevere","0-17 years",11406,1048.34558823529
"14",2,"nonsevere","18-29 years",7558,962.802547770701
"15",2,"nonsevere","30-49 years",2873,219.229301793209
"16",2,"nonsevere","50-64 years",1455,155.781584582441
"17",2,"nonsevere","65-74 years",885,171.014492753623
"18",2,"nonsevere","75+ years",995,272.602739726027
"19",2,"severe","0-17 years",0,0
"20",2,"severe","18-29 years",1,0.127388535031847
"21",2,"severe","30-49 years",2,0.152613506295307
"22",2,"severe","50-64 years",8,0.856531049250535
"23",2,"severe","65-74 years",13,2.51207729468599
"24",2,"severe","75+ years",32,8.76712328767123
"25",3,"nonsevere","0-17 years",15129,1390.53308823529
"26",3,"nonsevere","18-29 years",10833,1380
"27",3,"nonsevere","30-49 years",3999,305.150705837467
"28",3,"nonsevere","50-64 years",2147,229.871520342612
"29",3,"nonsevere","65-74 years",1191,230.144927536232
"30",3,"nonsevere","75+ years",1356,371.506849315069
"31",3,"severe","0-17 years",0,0
"32",3,"severe","18-29 years",0,0
"33",3,"severe","30-49 years",2,0.152613506295307
"34",3,"severe","50-64 years",6,0.642398286937902
"35",3,"severe","65-74 years",16,3.09178743961353
"36",3,"severe","75+ years",40,10.958904109589
"37",4,"nonsevere","0-17 years",20878,1918.93382352941
"38",4,"nonsevere","18-29 years",14844,1890.95541401274
"39",4,"nonsevere","30-49 years",5543,422.968332697444
"40",4,"nonsevere","50-64 years",2977,318.736616702355
"41",4,"nonsevere","65-74 years",1736,335.458937198068
"42",4,"nonsevere","75+ years",1920,526.027397260274
"43",4,"severe","0-17 years",0,0
"44",4,"severe","18-29 years",7,0.89171974522293
