"","weeks","type","age_group","cases","inc"
"1",1,"nonsevere","0-17 years",9019,828.952205882353
"2",1,"nonsevere","18-29 years",5079,647.006369426752
"3",1,"nonsevere","30-49 years",2066,157.649752003052
"4",1,"nonsevere","50-64 years",1253,134.154175588865
"5",1,"nonsevere","65-74 years",705,136.231884057971
"6",1,"nonsevere","75+ years",737,201.917808219178
"7",1,"severe","0-17 years",0,0
"8",1,"severe","18-29 years",0,0
"9",1,"severe","30-49 years",3,0.228920259442961
"10",1,"severe","50-64 years",5,0.535331905781585
"11",1,"severe","65-74 years",7,1.35265700483092
"12",1,"severe","75+ years",16,4.38356164383562
"13",2,"nonsevere","0-17 years",11375,1045.49632352941
"14",2,"nonsevere","18-29 years",7824,996.687898089172
"15",2,"nonsevere","30-49 years",2843,216.940099198779
"16",2,"nonsevere","50-64 years",1775,190.042826552463
"17",2,"nonsevere","65-74 years",980,189.371980676328
"18",2,"nonsevere","75+ years",1029,281.917808219178
"19",2,"severe","0-17 years",0,0
"20",2,"severe","18-29 years",2,0.254777070063694
"21",2,"severe","30-49 years",3,0.228920259442961
"22",2,"severe","50-64 years",6,0.642398286937902
"23",2,"severe","65-74 years",15,2.89855072463768
"24",2,"severe","75+ years",23,6.3013698630137
"25",3,"nonsevere","0-17 years",15592,1433.08823529412
"26",3,"nonsevere","18-29 years",11304,1440
"27",3,"nonsevere","30-49 years",4279,326.51659671881
"28",3,"nonsevere","50-64 years",2604,278.800856531049
"29",3,"nonsevere","65-74 years",1344,259.710144927536
"30",3,"nonsevere","75+ years",1495,409.58904109589
"31",3,"severe","0-17 years",0,0
"32",3,"severe","18-29 years",4,0.509554140127389
"33",3,"severe","30-49 years",4,0.305227012590614
"34",3,"severe","50-64 years",7,0.749464668094218
"35",3,"severe","65-74 years",16,3.09178743961353
"36",3,"severe","75+ years",28,7.67123287671233
"37",4,"nonsevere","0-17 years",22072,2028.67647058824
"38",4,"nonsevere","18-29 years",15849,2018.98089171975
"39",4,"nonsevere","30-49 years",6051,461.732163296452
"40",4,"nonsevere","50-64 years",3750,401.498929336188
"41",4,"nonsevere","65-74 years",1914,369.855072463768
"42",4,"nonsevere","75+ years",2042,559.452054794521
"43",4,"severe","0-17 years",0,0
"44",4,"severe","18-29 years",1,0.127388535031847
"45",4,"severe","30-49 years",10,0.763067531476536
"46",4,"severe","50-64 years",12,1.2847965738758
"47",4,"severe","65-74 years",13,2.51207729468599
"48",4,"severe","75+ years",39,10.6849315068493
"49",5,"nonsevere","0-17 years",29172,2681.25
"50",5,"nonsevere","18-29 years",21528,2742.4203821656
"51",5,"nonsevere","30-49 years",8315,634.49065242274
"52",5,"nonsevere","50-64 years",5153,551.713062098501
"53",5,"nonsevere","65-74 years",2622,506.666666666667
"54",5,"nonsevere","75+ years",2840,778.082191780822
"55",5,"severe","0-17 years",0,0
"56",5,"severe","18-29 years",7,0.89171974522293
"57",5,"severe","30-49 years",6,0.457840518885921
"58",5,"severe","50-64 years",16,1.71306209850107
"59",5,"severe","65-74 years",33,6.3768115942029
"60",5,"severe","75+ years",59,16.1643835616438
"61",6,"nonsevere","0-17 years",36214,3328.49264705882
"62",6,"nonsevere","18-29 years",27090,3450.95541401274
"63",6,"nonsevere","30-49 years",10717,817.779473483403
"64",6,"nonsevere","50-64 years",6721,719.593147751606
"65",6,"nonsevere","65-74 years",3207,619.710144927536
"66",6,"nonsevere","75+ years",3539,969.58904109589
"67",6,"severe","0-17 years",0,0
"68",6,"severe","18-29 years",10,1.27388535031847
"69",6,"severe","30-49 years",13,0.991987790919496
"70",6,"severe","50-64 years",24,2.56959314775161
"71",6,"severe","65-74 years",30,5.79710144927536
"72",6,"severe","75+ years",74,20.2739726027397
"73",7,"nonsevere","0-17 years",43930,4037.68382352941
"74",7,"nonsevere","18-29 years",32944,4196.68789808917
"75",7,"nonsevere","30-49 years",13359,1019.3819152995
"76",7,"nonsevere","50-64 years",8363,895.396145610278
"77",7,"nonsevere","65-74 years",4332,837.101449275362
"78",7,"nonsevere","75+ years",4552,1247.12328767123
"79",7,"severe","0-17 years",0,0
"80",7,"severe","18-29 years",10,1.27388535031847
"81",7,"severe","30-49 years",18,1.37352155665776
"82",7,"severe","50-64 years",38,4.06852248394004
"83",7,"severe","65-74 years",51,9.85507246376812
"84",7,"severe","75+ years",104,28.4931506849315
"85",8,"nonsevere","0-17 years",50920,4680.14705882353
"86",8,"nonsevere","18-29 years",38115,4855.41401273885
"87",8,"nonsevere","30-49 years",16620,1268.218237314
"88",8,"nonsevere","50-64 years",10318,1104.71092077088
"89",8,"nonsevere","65-74 years",5262,1016.8115942029
"90",8,"nonsevere","75+ years",5673,1554.24657534247
