"","lambda_1","lambda_2","lambda_3","lambda_4","lambda_5","lambda_6","lambda_7","lambda_8","lambda_9","severity_param"
"11",0.448,0.432,0.487,0.429,0.607,0.828,0.675,0.547,0.518,0.01
"11.1",0.448,0.432,0.487,0.429,0.607,0.828,0.675,0.547,0.518,0.01
"11.2",0.448,0.432,0.487,0.429,0.607,0.828,0.675,0.547,0.518,0.01
"14",0.447,0.42,0.45,0.48,0.56,0.742,0.487,0.642,0.554,0.012
"14.1",0.447,0.42,0.45,0.48,0.56,0.742,0.487,0.642,0.554,0.012
"14.2",0.447,0.42,0.45,0.48,0.56,0.742,0.487,0.642,0.554,0.012
"19",0.497,0.384,0.467,0.448,0.515,0.542,0.587,0.579,0.501,0.013
"19.1",0.497,0.384,0.467,0.448,0.515,0.542,0.587,0.579,0.501,0.013
"19.2",0.497,0.384,0.467,0.448,0.515,0.542,0.587,0.579,0.501,0.013
"26",0.491,0.39,0.459,0.38,0.575,0.681,0.533,0.563,0.541,0.013
"26.1",0.491,0.39,0.459,0.38,0.575,0.681,0.533,0.563,0.541,0.013
"26.2",0.491,0.39,0.459,0.38,0.575,0.681,0.533,0.563,0.541,0.013
"39",0.51,0.417,0.464,0.474,0.549,0.606,0.567,0.615,0.548,0.011
"39.1",0.51,0.417,0.464,0.474,0.549,0.606,0.567,0.615,0.548,0.011
"39.2",0.51,0.417,0.464,0.474,0.549,0.606,0.567,0.615,0.548,0.011
